29507818	T22	org	vitro through attenuation of platelet-derived growth factor (PDGF-BB) signaling. In co-culture, Lrp1-deficient osteoblasts stimulated osteoclastogenesis in a PDGFRbeta-dependent manner and in vivo treatment with the PDGFR tyrosine kinase inhibitor imatinib mesylate limited RANKL production and led to complete remission of the osteoporotic phenotype. These results identify osteoblast Lrp1 as a key regulator of osteoblast-to-osteoclast communication and bone mass through a PDGF-RANKL signaling axis in osteoblasts and open perspectives to further explore the potential of PDGF signaling inhibitors in counteracting bone loss as well as to evaluate the importance of functional LRP1 gene variants in the control of bone mass in 	humans	. DOCEND
8826995	T142	out	by 269 IDU (incidence 33/100 person-years). HIV infection, female gender, prostitution among females, foreign nationality, injection of heroin and cocaine, a high frequency of injecting, and obtaining syringes through the needle exchange program were independently and positively associated with skin abscesses. During follow-up, 17 verified episodes of endocarditis were observed (incidence 1.3/100 person-years). Endocarditis was independently associated with HIV infection and a previous history of endocarditis. Furthermore, women and IDU with a skin abscess appeared to be at an increased risk for endocarditis. CONCLUSIONS: HIV infection is an independent risk factor for skin abscesses and endocarditis. Also, women are at 	an increased risk	 for these injection-related infections. Prevention activities, like promotion of skin cleaning, should be directed at those IDU in whom one or more risk factors have been identified. DOCEND
18656202	T15	che	Silica-polymer hybrid materials (Sil-T1) have been successfully synthesized from a self-assembling polymerizable organogelator; N'-octadecyl-N(alpha)-(4-vinyl)-benzoyl-L-phenylalanineamide (C(18)-L-Phe-St or 1). Telomerization of compound 1 has been done with commonly used silane coupling agent; 3-mercaptopropyltrimethoxysilane (MPS), and the telomer (T1) was grafted onto porous silica surface to prepare a stationary phase (Sil-T1) for reversed-phase high-performance liquid chromatography. The composition of the new hybrid material (Sil-T1) was determined by elemental analysis, DRIFT-IR, TGA and by (13)C and (29)Si (CP/MAS) NMR spectroscopic measurements. The elemental analysis measurements revealed that the surface coverage by organic phase in Sil-T1 is significantly (about 135%) lower than commercial polymeric octadecylsilyalted 	silica	 (ODS-p). In addition, the results of (13)C CP/MAS NMR demonstrated that the N-alkyl moieties of the grafted polymers chain in Sil-T1 remained disordered, amorphous, and mobile represented by gauche conformational form. Furthermore, from the characterization data, the successful grafting process and unagglomerated state of the grafted particles (as observed by scanning electron microscopic, SEM measurements) prove the material to be suitable for HPLC application. The evaluation of chromatographic performance has been done from the retention studies of different size and shape PAHs and aromatic positional isomers. Significantly higher selectivity for PAHs was attributed by Sil-T1 than ODS-p regardless it has
15277262	T10	out	DOCSTART Outcome and prognostic factors in advanced Hodgkin's disease treated with 	high-dose chemotherapy and autologous stem cell transplantation	: a study of 341 patients. BACKGROUND: The reported probability of survival of patients with Hodgkin's disease (HD) following high-dose chemotherapy with autologous stem cell transplantation (HDC/ASCT) is 35-65% at 5 years. The Polish Lymphoma Research Group investigated retrospectively prognostic factors for overall survival (OS) and event-free survival (EFS), and the risk of secondary malignancies in a large series of patients who underwent HDC/ASCT. PATIENTS AND METHODS: The data of 341 consecutive patients treated in 10 centers from 1990 to 2002 were collected and analyzed. RESULTS: The actuarial 5-year OS and EFS were 64% [95% confidence interval (CI) 57% to 71%]
18618400	T2	che	DOCSTART A smelling trip into the past: the influence of synthetic materials on the history of perfumery. Contemporary perfumery has its roots in the work of the past, and many of the perfumes from this time have long since disappeared. What follows is a short account of some of the most famous perfumes from the past which have been inspired by the novel synthetic materials of the time. These important creations include, 'Fougere Royale' by Houbigant (1884) containing coumarin (1), 'Jicky' by Guerlain (1889) containing 	vanillin	 (2) and linalool (3), 'Vera Violetta' by Roger & Gallet (1892) containing alpha- and beta-ionone (4 and 5, resp.), 'Trefle Incarnat' by Piver (1898) containing isoamyl salicylate (6), 'La Rose Jacqueminot' of Coty (1904) containing Rhodinol (7), 'Apres l'Ondee' by Guerlain (1906) containing para-anisaldehyde (8), 'Quelques Fleurs' by Houbigant (1912) containing hydroxycitronellal (9), 'N degrees 5' by Chanel (1921) containing the aldehydes C-10 (10), C-110 (11), and C-12 (12), 'Nuit De Noel' by Caron (1922) containing 6-isobutylquinoline (14), and 'Femme' by Rochas (1944) containing the so-called 'aldehyde C-14' (15, gamma-undecalactone). The Osmotheque, the International Conservatory of Perfumes, was launched in 1990
23995065	T7	che	models have been used to further define the injury and to help identify potential mechanisms of this neurotoxicity. RECENT FINDINGS: A recent clinical trial from an Australian birth cohort suggests a single anesthesia exposure as a neonate or infant may increase the risk for language and abstract reasoning deficits later in life, though residual data confounders may remain. Several ongoing clinical trials like Mayo Safety in Kids, Pediatric Anesthesia NeuroDevelopment Assessment, and General Anesthesia and Apoptosis Study will likely offer more clear answers in the future. In the interim, experimental models have described roles for neuroinflammation, mitochondrial damage from reactive 	oxygen	 species, and the presence of several neuronal morphology changes from anesthesia exposure. Additionally, several potential neuroprotective agents and strategies have been tested in the laboratory. SUMMARY: Whether anesthesia-associated neurotoxicity affects the developing human brain and whether this leads to clinically measurable deficits remains unclear. DOCEND
11899541	T43	out	DOCSTART [Chromosome instability syndromes]. We refer 55 cases of the chromosomal instability syndromes (SCI), diagnosed in patients of our genetical clinics. Problems of early diagnosis can be documented by a discrepancy between the expected number of patients and their relative advanced age at the time when SCI was ascertained. We have also shown that NBS patients can be diagnosed earlier and the disease sufficiently confirmed on the basis of congenital microcephaly and on the direct detection of 657de15 mutation in NBS1 gene. Genealogical analysis of families with SCI revealed 	a low risk	 of prenatal selection of affected homozygotes and high cancer prevalence in relative (in NBS families recognized heterozygotes) at young adult age. Due to severe DNA repair disorder and hyperradiosensitivity of affected homozygotes as well as unaffected heterozygotes, conventional diagnostics and treatment protocols of lymphoreticular malignancies in affected homozygotes are prohibited. The use of Nijmegen treatment protocol improved in our patients dramatically their clinical prognosis, which is documented by 6 NBS patients surviving one or two malignancies. Early diagnose of SCI and information for families and their doctors about consequences of DNA repair disorder and about their hyperradiosensitivity is essential for
10997239	T3	dis	DOCSTART Behaviors of children with and without attention deficit hyperactivity disorder during a dental recall visit. Many children are diagnosed with Attention Deficit Hyperactivity Disorder (ADHD), but the impact of this on behavior at a dental visit has not been examined. This study compared the behaviors of children with and without 	ADHD	 during a dental recall visit. Forty-two children with and forty-two without ADHD (fifty-six boys and twenty-eight girls, ages 6.0 through 10.6 years of age) were selected from a chart review at a hospital dental clinic. Every child was observed in the dental chair before and during the dental visit. Tell-show-do was utilized with every patient. Each child was evaluated for compliance or resistance and was rated using the Frankl behavior rating scale. Behavior ratings of children with and without ADHD were not statistically different. This could indicate that children with and without ADHD behave similarly in the dental setting. Use
13905468	T1	che	DOCSTART Conversion of plasma free 	fatty acids	 into triglycerides of plasma lipoprotein fractions in man. DOCEND
23572736	T34	out	DOCSTART Optimization of process parameters for osmotic dehydration of papaya cubes. Process temperature (30, 40 and 50 degrees C), syrup concentration (50, 60 and 70(o) Brix) and process time (4, 5 and 6 h) for osmotic dehydration of papaya (Carica papaya) cubes were optimized for the maximum water loss and optimum sugar gain by using response surface methodology. The peeled and pre-processed papaya cubes of 	1 cm size	 were immersed in sugar syrup at constant temperature water bath having syrup to papaya cubes ratio of 4:1 (w/w). The cubes were removed from bath at pre-decided time, rinsed with water and weighed. Initial moisture content of papaya samples were 87.5-88.5% (wb), which was reduced to 67.6-81.1% after osmotic dehydration in various experiments showing mass reduction, water loss and sugar gain in the range of 20.6-36.4, 23.2-44.5 and 2.5-8.1%, respectively. The weight reduction, water loss and sugar gain data were statistically analyzed and regression equation of second order were found the best fit for all the experimental data. Maximum water
