10598587,s0,T1,T7,Effect of ligand and DNA binding on the interaction between ,human transcription intermediary factor 1alpha, and ,estrogen receptors,". 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s3,T8,T10,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between ",estrogen receptors, (ERs) and the ,transcription intermediary factor hTIF1alpha," (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s3,T8,T11,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between ",estrogen receptors, (ERs) and the transcription intermediary factor hTIF1alpha (,human transcriptional intermediary factor 1alpha,"). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s3,T9,T10,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (",ERs,) and the ,transcription intermediary factor hTIF1alpha," (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s3,T9,T11,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (",ERs,) and the transcription intermediary factor hTIF1alpha (,human transcriptional intermediary factor 1alpha,"). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s3,T10,T11,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the ",transcription intermediary factor hTIF1alpha, (,human transcriptional intermediary factor 1alpha,"). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Not_a_complex
10598587,s3,T8,T9,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between ",estrogen receptors, (,ERs,") and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Not_a_complex
10598587,s7,T12,T2,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of ",hTIF1alpha, is sufficient to interact with ERE-bound ,ERalpha," in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s7,T3,T4,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ",ERalpha, onto DNA does not significantly affect its hormone-dependent association with ,TIF1alpha,". Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s7,T2,T3,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ",ERalpha, in a ligand-dependent manner and showed that binding of ,ERalpha," onto DNA does not significantly affect its hormone-dependent association with TIF1alpha. Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Not_a_complex
10598587,s7,T2,T4,"Effect of ligand and DNA binding on the interaction between human transcription intermediary factor 1alpha and estrogen receptors. 
Hormonal regulation of gene activity is mediated by nuclear receptors acting as ligand-activated transcription factors. To achieve efficient regulation of gene expression, these receptors must interact with different type of molecules: 1) the steroid hormone, 2) the DNA response element, and 3) various proteins acting as transcriptional cofactors. In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha). We first optimized conditions for the coactivator-dependent receptor ligand assay to lower ED50, and we then analyzed the ability of various natural and synthetic estrogens to allow the binding of the two types of proteins. Results were compared with the respective affinities of these ligands for the receptor. We then developed a protein-protein-DNA assay allowing the quantification of cofactor-ER-estrogen response element (ERE) complex formation in the presence of ligand and used measurements of fluorescence anisotropy to define the equilibrium binding parameters of the interaction. We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ",ERalpha, in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with ,TIF1alpha,". Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ERbeta than with ERalpha independently of the presence of ERE. 
",Not_a_complex
