11434923,s0,T17,T1,,Rat protein tyrosine phosphatase eta, physically interacts with the PDZ domains of ,syntenin,". 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s2,T3,T4,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify ",r-PTPeta," interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length ",syntenin," cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s3,T5,T18,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of ",syntenin," to proteins such as syndecan, ",proTGF-alpha,", beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s3,T5,T6,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of ",syntenin, to proteins such as ,syndecan,", proTGF-alpha, beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s3,T5,T7,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of ",syntenin," to proteins such as syndecan, proTGF-alpha, ",beta-ephrins," and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s3,T5,T8,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of ",syntenin," to proteins such as syndecan, proTGF-alpha, beta-ephrins and ",neurofascin,". We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Complex_formation
11434923,s3,T6,T18,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as ",syndecan,", ",proTGF-alpha,", beta-ephrins and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s3,T6,T7,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as ",syndecan,", proTGF-alpha, ",beta-ephrins," and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s3,T6,T8,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as ",syndecan,", proTGF-alpha, beta-ephrins and ",neurofascin,". We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s3,T18,T7,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, ",proTGF-alpha,", ",beta-ephrins," and neurofascin. We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s3,T7,T8,"Rat protein tyrosine phosphatase eta physically interacts with the PDZ domains of syntenin. 
The tyrosine phosphatase r-PTPeta is able to suppress the malignant phenotype of rat thyroid tumorigenic cell lines. To identify r-PTPeta interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length syntenin cDNA was isolated. It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, ",beta-ephrins, and ,neurofascin,". We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta. The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
