11972058,s0,T3,T1,Association and regulation of ,casein kinase 2, activity by ,adenomatous polyposis coli," protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of casein kinase 2 (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s1,T4,T5,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the ",adenomatous polyposis coli, (,APC,") gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of casein kinase 2 (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s2,T6,T7,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of ",APC," protein, we have detected the variable masses of endogenous ",APC," proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of casein kinase 2 (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s3,T8,T9,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated ",APC," were observed in in vitro kinase reaction, indicating association of ",APC," with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of casein kinase 2 (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s4,T10,T11,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with ",APC," was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of ",casein kinase 2," (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s4,T10,T12,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with ",APC," was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of casein kinase 2 (",CK2,"). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s4,T10,T29,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with ",APC, was sensitive to heparin and used ,GTP," as phosphoryl donor, suggesting an involvement of casein kinase 2 (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s4,T11,T12,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of ",casein kinase 2, (,CK2,"). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s4,T29,T11,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used ",GTP," as phosphoryl donor, suggesting an involvement of ",casein kinase 2," (CK2). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s4,T29,T12,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used ",GTP," as phosphoryl donor, suggesting an involvement of casein kinase 2 (",CK2,"). Both CK2alpha- and beta-subunits were found to associate with APC in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Not_a_complex
11972058,s5,T13,T15,"Association and regulation of casein kinase 2 activity by adenomatous polyposis coli protein. 
Mutations in the adenomatous polyposis coli (APC) gene are responsible for familial adenomatous polyposis coli and also sporadic colorectal cancer development. By using antibodies raised against the N-terminal region of APC protein, we have detected the variable masses of endogenous APC proteins in individual cell lines established from human colorectal carcinomas caused by nonsense mutations of the gene. Phosphorylation of immunoprecipitates of full-length and truncated APC were observed in in vitro kinase reaction, indicating association of APC with protein kinase activity. The kinase activity complexed with APC was sensitive to heparin and used GTP as phosphoryl donor, suggesting an involvement of casein kinase 2 (CK2). Both ",CK2alpha,- and beta-subunits were found to associate with ,APC," in immunoprecipitates as well as in pull-down assays, with preferential interaction of APC with tetrameric CK2 holoenzyme. In synchronized cell populations, the association of APC with CK2 was cell cycle dependent, with the highest association in G(2)/M. Unexpectedly, APC immunoprecipitates containing full-length APC protein inhibited CK2 in vitro, whereas immunoprecipitates of truncated APC had little effect. This was confirmed by using recombinant APC, and the inhibitory region was localized to the C terminus of APC between residues 2086 and 2394. Overexpression of this fragment in SW480 cells suppressed cell proliferation rates as well as tumorigenesis. These results demonstrate a previously uncharacterized functional interaction between the tumor suppressor protein APC and CK2 and suggest that growth-inhibitory effects of APC may be regulated by inhibition of CK2. 
",Complex_formation
