12567184,s0,T7,T8,Attenuation of a phosphorylation-dependent activator by an ,HDAC,-,PP1," complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Complex_formation
12567184,s1,T10,T1,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent ",protein phosphatase 1, (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (,CREB,") at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T11,T1,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (",PP1,)-mediated dephosphorylation of the cAMP responsive element binding protein (,CREB,") at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T12,T1,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the ",cAMP responsive element binding protein, (,CREB,") at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T9,T1,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the ",PKA,-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (,CREB,") at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T10,T11,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent ",protein phosphatase 1, (,PP1,")-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T10,T12,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent ",protein phosphatase 1, (PP1)-mediated dephosphorylation of the ,cAMP responsive element binding protein," (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T11,T12,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the PKA-dependent phosphorylation and subsequent protein phosphatase 1 (",PP1,)-mediated dephosphorylation of the ,cAMP responsive element binding protein," (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T9,T10,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the ",PKA,-dependent phosphorylation and subsequent ,protein phosphatase 1," (PP1)-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T9,T11,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the ",PKA,-dependent phosphorylation and subsequent protein phosphatase 1 (,PP1,")-mediated dephosphorylation of the cAMP responsive element binding protein (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
12567184,s1,T9,T12,"Attenuation of a phosphorylation-dependent activator by an HDAC-PP1 complex. 
The second messenger cAMP stimulates transcription with burst-attenuation kinetics that mirror the ",PKA,-dependent phosphorylation and subsequent protein phosphatase 1 (PP1)-mediated dephosphorylation of the ,cAMP responsive element binding protein," (CREB) at Ser133. Phosphorylation of Ser133 promotes recruitment of the co-activator histone acetylase (HAT) paralogs CBP and P300, which in turn stimulate acetylation of promoter-bound histones during the burst phase. Remarkably, histone deacetylase (HDAC) inhibitors seem to potentiate CREB activity by prolonging Ser133 phosphorylation in response to cAMP stimulus, suggesting a potential role for HDAC complexes in silencing CREB activity. Here we show that HDAC1 associates with and blocks Ser133 phosphorylation of CREB during pre-stimulus and attenuation phases of the cAMP response. HDAC1 promotes Ser133 dephosphorylation via a stable interaction with PP1, which we detected in co-immunoprecipitation and co-purification studies. These results illustrate a novel mechanism by which signaling and chromatin-modifying activities act coordinately to repress the activity of a phosphorylation-dependent activator. 
",Not_a_complex
