15282304,s1,T1,T10,"A histone methyltransferase is required for maximal response to female sex hormones. 
",RIZ1, is an ,estrogen receptor (ER) coactivator," but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s1,T1,T12,"A histone methyltransferase is required for maximal response to female sex hormones. 
",RIZ1, is an estrogen receptor (ER) coactivator but is also a ,histone lysine methyltransferase," that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s1,T1,T3,"A histone methyltransferase is required for maximal response to female sex hormones. 
",RIZ1, is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of ,histone H3,", an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s1,T10,T12,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an ",estrogen receptor (ER) coactivator, but is also a ,histone lysine methyltransferase," that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s1,T10,T3,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an ",estrogen receptor (ER) coactivator, but is also a histone lysine methyltransferase that methylates lysine 9 of ,histone H3,", an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s1,T12,T3,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a ",histone lysine methyltransferase, that methylates lysine 9 of ,histone H3,", an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with SRC1 and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s3,T5,T2,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. ",RIZ1, interacted with ,SRC1," and p300, suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Complex_formation
15282304,s3,T5,T13,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. ",RIZ1, interacted with SRC1 and ,p300,", suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Complex_formation
15282304,s3,T2,T13,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with ",SRC1, and ,p300,", suggesting that the coactivator function of RIZ1 may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s3,T2,T6,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. RIZ1 interacted with ",SRC1," and p300, suggesting that the coactivator function of ",RIZ1," may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
15282304,s3,T5,T6,"A histone methyltransferase is required for maximal response to female sex hormones. 
RIZ1 is an estrogen receptor (ER) coactivator but is also a histone lysine methyltransferase that methylates lysine 9 of histone H3, an activity known to repress transcription. We show here that target organs of mice deficient in RIZ1 exhibit decreased response to female sex hormones. ",RIZ1," interacted with SRC1 and p300, suggesting that the coactivator function of ",RIZ1," may be mediated by its interaction with other transcriptional coactivators. In the presence of estrogen, RIZ1 binding to estrogen target genes became less direct and followed the binding of ER to DNA and RIZ1 methyltransferase activity on H3-Lys 9 was inhibited, indicating derepression may play a role in estrogen induction of gene transcription. Reducing RIZ1 level correlated with decreased induction of pS2 gene by estrogen in MCF7 cells. The data suggest that a histone methyltransferase is required for optimal estrogen response in female reproductive tissues and that estrogen-bound ER may turn a transcriptional repressor into a coactivator. 
",Not_a_complex
