17283187,s1,T2,T3,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease ",granzyme B, (,GzmB,") can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s2,T4,T13,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. ",GzmB," can also cleave the BH3-only protein, ",BID,", to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s2,T4,T5,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. ",GzmB, can also cleave the ,BH3-only protein,", BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s2,T5,T13,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the ",BH3-only protein,", ",BID,", to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s4,T7,T14,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse ",GzmB, exhibit radical differences in their ability to cleave ,BID,", as well as several other key substrates, such as ICAD and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s4,T7,T8,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse ",GzmB," exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ",ICAD," and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s4,T7,T9,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse ",GzmB," exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and ",caspase-8,". Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s4,T14,T8,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave ",BID,", as well as several other key substrates, such as ",ICAD," and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s4,T8,T9,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ",ICAD, and ,caspase-8,". Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s4,T14,T9,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave ",BID,", as well as several other key substrates, such as ICAD and ",caspase-8,". Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human GzmB. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
17283187,s5,T10,T11,"Human and murine granzyme B exhibit divergent substrate preferences. 
The cytotoxic lymphocyte protease granzyme B (GzmB) can promote apoptosis through direct processing and activation of members of the caspase family. GzmB can also cleave the BH3-only protein, BID, to promote caspase-independent mitochondrial permeabilization. Although human and mouse forms of GzmB exhibit extensive homology, these proteases diverge at residues predicted to influence substrate binding. We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and caspase-8. Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse ",GzmB,", but failed to do so in response to human ",GzmB,". These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences. Our observations also illustrate how subtle differences in enzyme structure can radically affect substrate selection. 
",Not_a_complex
