18452947,s0,T1,T2,Characterization of ,Dnmt3b,:,thymine-DNA glycosylase," interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Complex_formation
18452947,s0,T1,T14,Characterization of ,Dnmt3b,:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by ,DNA methyltransferase(s)," and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s0,T2,T14,Characterization of Dnmt3b:,thymine-DNA glycosylase, interaction and stimulation of thymine glycosylase-mediated repair by ,DNA methyltransferase(s)," and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s2,T15,T3,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by ",DNA methyltransferases, (,Dnmt1,", Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s2,T3,T4,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (",Dnmt1,", ",Dnmt3a,", and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s2,T3,T5,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (",Dnmt1,", Dnmt3a, and ",Dnmt3b,"). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s2,T15,T4,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by ",DNA methyltransferases," (Dnmt1, ",Dnmt3a,", and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s2,T4,T5,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, ",Dnmt3a,", and ",Dnmt3b,"). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s2,T15,T5,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by ",DNA methyltransferases," (Dnmt1, Dnmt3a, and ",Dnmt3b,"). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s6,T6,T7,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. ",G/T mismatch-specific thymine-DNA glycosylase, (,Tdg,") and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s6,T6,T8,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. ",G/T mismatch-specific thymine-DNA glycosylase, (Tdg) and ,methyl-CpG binding domain protein 4," can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s6,T7,T8,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (",Tdg,) and ,methyl-CpG binding domain protein 4," can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both Tdg and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
18452947,s7,T9,T10,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between ",Dnmt3b, and both ,Tdg," and methyl-CpG binding domain protein 4. Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Complex_formation
18452947,s7,T9,T11,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between ",Dnmt3b, and both Tdg and ,methyl-CpG binding domain protein 4,". Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Complex_formation
18452947,s7,T10,T11,"Characterization of Dnmt3b:thymine-DNA glycosylase interaction and stimulation of thymine glycosylase-mediated repair by DNA methyltransferase(s) and RNA. 
Methylation of cytosine residues in CpG dinucleotides plays an important role in epigenetic regulation of gene expression and chromatin structure/stability in higher eukaryotes. DNA methylation patterns are established and maintained at CpG dinucleotides by DNA methyltransferases (Dnmt1, Dnmt3a, and Dnmt3b). In mammals and many other eukaryotes, the CpG dinucleotide is underrepresented in the genome. This loss is postulated to be the result of unrepaired deamination of cytosine and 5-methylcytosine to uracil and thymine, respectively. Two thymine glycosylases are believed to reduce the impact of 5-methylcytosine deamination. G/T mismatch-specific thymine-DNA glycosylase (Tdg) and methyl-CpG binding domain protein 4 can both excise uracil or thymine at U.G and T.G mismatches to initiate base excision repair. Here, we report the characterization of interactions between Dnmt3b and both ",Tdg, and ,methyl-CpG binding domain protein 4,". Our results demonstrate (1) that both Tdg and Dnmt3b are colocalized to heterochromatin and (2) reduction of T.G mismatch repair efficiency upon loss of DNA methyltransferase expression, as well as a requirement for an RNA component for correct T.G mismatch repair. 
",Not_a_complex
