20856203,s3,T8,T2,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the ",transforming growth factor (TGF)-beta, co-receptor ,endoglin,", an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, integrin, focal adhesion kinase and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Complex_formation
20856203,s7,T11,T12,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, ",integrin,", focal adhesion kinase and ",phosphoinositide-3-kinase," signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T11,T13,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, ",integrin,", ",focal adhesion kinase," and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T14,T11,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient ",bone morphogenetic protein,", ",integrin,", focal adhesion kinase and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T13,T12,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, integrin, ",focal adhesion kinase, and ,phosphoinositide-3-kinase," signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T14,T12,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient ",bone morphogenetic protein,", integrin, focal adhesion kinase and ",phosphoinositide-3-kinase," signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T14,T13,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that endoglin, while interfering with TGF-beta signaling, is required for efficient ",bone morphogenetic protein,", integrin, ",focal adhesion kinase," and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T6,T11,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that ",endoglin,", while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, ",integrin,", focal adhesion kinase and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T6,T12,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that ",endoglin,", while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, integrin, focal adhesion kinase and ",phosphoinositide-3-kinase," signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T6,T13,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that ",endoglin,", while interfering with TGF-beta signaling, is required for efficient bone morphogenetic protein, integrin, ",focal adhesion kinase," and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
20856203,s7,T6,T14,"Critical role of endoglin in tumor cell plasticity of Ewing sarcoma and melanoma. 
Tumor cell plasticity enables certain types of highly malignant tumor cells to dedifferentiate and engage a plastic multipotent embryonic-like phenotype, which enables them to 'adapt' during tumor progression and escape conventional therapeutic strategies. This plastic phenotype of aggressive cancer cells enables them to express endothelial cell-specific markers and form tube-like structures, a phenotype that has been linked to aggressive behavior and poor prognosis. We demonstrate here that the transforming growth factor (TGF)-beta co-receptor endoglin, an endothelial cell marker, is expressed by tumor cells and its expression correlates with tumor cell plasticity in two types of human cancer, Ewing sarcoma and melanoma. Moreover, endoglin expression was significantly associated with worse survival of Ewing sarcoma patients. Endoglin knockdown in tumor cells interferes with tumor cell plasticity and reduces invasiveness and anchorage-independent growth in vitro. Ewing sarcoma and melanoma cells with reduced endoglin levels showed reduced tumor growth in vivo. Mechanistically, we provide evidence that ",endoglin,", while interfering with TGF-beta signaling, is required for efficient ",bone morphogenetic protein,", integrin, focal adhesion kinase and phosphoinositide-3-kinase signaling in order to maintain tumor cell plasticity. The present study delineates an important role of endoglin in tumor cell plasticity and progression of aggressive tumors. 
",Not_a_complex
