2196387,s0,T6,T8,Inducible nuclear factor binding to the ,kappa B, elements of the human immunodeficiency virus enhancer in T cells can be blocked by ,cyclosporin A," in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ",Not_a_complex
2196387,s0,T9,T6,,Inducible nuclear factor, binding to the ,kappa B," elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ",Not_a_complex
2196387,s0,T9,T8,,Inducible nuclear factor, binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by ,cyclosporin A," in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ",Not_a_complex
2196387,s1,T5,T1,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
",Cyclosporin A," (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for ",interleukin-2,". In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ",Not_a_complex
2196387,s1,T7,T1,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (",CsA,") is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for ",interleukin-2,". In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ",Not_a_complex
2196387,s1,T5,T7,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
",Cyclosporin A, (,CsA,") is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ",Not_a_complex
2196387,s4,T11,T12,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The ,kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ,Not_a_complex
2196387,s4,T11,T13,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ,phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ,Not_a_complex
2196387,s4,T11,T14,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ,phorbol myristate acetate,-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ,Not_a_complex
2196387,s4,T12,T13,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ,phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ,Not_a_complex
2196387,s4,T12,T14,"Inducible nuclear factor binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
Cyclosporin A (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2. In addition, the activation of the human immunodeficiency virus (HIV) is partially suppressed. To better understand the molecular mechanisms underlying suppression by CsA, we have investigated the effects of this drug on transcription factors in T cells. Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ,phorbol myristate acetate,-mediated activation is completely insensitive to the drug. This suggests a model in which functionally indistinguishable kappa B complexes can be activated via two separate pathways of signal transduction distinguishable by CsA. ,Not_a_complex
