22153499_7,s0,T1,T2,A recent structural study of ,mCSF-1, in complex with the first three extracellular domains of ,mCSF-1R," (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Complex_formation
22153499_7,s0,T1,T3,A recent structural study of ,mCSF-1, in complex with the first three extracellular domains of mCSF-1R (,mCSF-1RD1-D3,") revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Complex_formation
22153499_7,s0,T4,T5,A recent structural study of mCSF-1 in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of ,mCSF-1, to one ,mCSF-1RD1-D3," molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Complex_formation
22153499_7,s0,T6,T7,"A recent structural study of mCSF-1 in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human ",c-kit, receptors in complex with ,Stem Cell Factor," (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Complex_formation
22153499_7,s0,T6,T8,"A recent structural study of mCSF-1 in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human ",c-kit, receptors in complex with Stem Cell Factor (,SCF,"). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Complex_formation
22153499_7,s0,T1,T4,A recent structural study of ,mCSF-1, in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of ,mCSF-1," to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T1,T5,A recent structural study of ,mCSF-1, in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one ,mCSF-1RD1-D3," molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T1,T6,A recent structural study of ,mCSF-1," in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human ",c-kit," receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T1,T7,A recent structural study of ,mCSF-1," in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with ",Stem Cell Factor," (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T1,T8,A recent structural study of ,mCSF-1," in complex with the first three extracellular domains of mCSF-1R (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (",SCF,"). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T2,T3,A recent structural study of mCSF-1 in complex with the first three extracellular domains of ,mCSF-1R, (,mCSF-1RD1-D3,") revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T2,T4,A recent structural study of mCSF-1 in complex with the first three extracellular domains of ,mCSF-1R, (mCSF-1RD1-D3) revealed unexpected monovalent binding of ,mCSF-1," to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T2,T5,A recent structural study of mCSF-1 in complex with the first three extracellular domains of ,mCSF-1R, (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one ,mCSF-1RD1-D3," molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T2,T6,A recent structural study of mCSF-1 in complex with the first three extracellular domains of ,mCSF-1R," (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human ",c-kit," receptors in complex with Stem Cell Factor (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
22153499_7,s0,T2,T7,A recent structural study of mCSF-1 in complex with the first three extracellular domains of ,mCSF-1R," (mCSF-1RD1-D3) revealed unexpected monovalent binding of mCSF-1 to one mCSF-1RD1-D3 molecule leading to a binary complex, in contrast to predictions based on earlier studies of the homologous murine and human c-kit receptors in complex with ",Stem Cell Factor," (SCF). While this first structural snapshot of a partial mCSF-1R complex is informative in its own right, it cannot be readily extrapolated to represent CSF-1R activation in general, given the complexity of species cross-reactivity in CSF-1R signaling. Furthermore, the reported binary mCSF-1RD1-D3:mCSF-1 complex does not offer realistic insights into possible homotypic receptor interactions, a likely critical element of receptor activation.
",Not_a_complex
