22155231,s0,T18,T1,The Brucella TIR-like protein ,TcpB, interacts with the death domain of ,MyD88,". 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Complex_formation
22155231,s3,T23,T2,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB, interacts directly with ,MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Complex_formation
22155231,s3,T3,T24,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Complex_formation
22155231,s3,T25,T3,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB, with ,TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Complex_formation
22155231,s3,T26,T4,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,-,MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Complex_formation
22155231,s3,T2,T24,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Not_a_complex
22155231,s3,T2,T25,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88, and that this interaction is significantly stronger than the interaction of ,TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Not_a_complex
22155231,s3,T2,T26,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Not_a_complex
22155231,s3,T2,T27,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB," does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Not_a_complex
22155231,s3,T2,T3,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88, and that this interaction is significantly stronger than the interaction of TcpB with ,TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Not_a_complex
22155231,s3,T2,T4,"The Brucella TIR-like protein TcpB interacts with the death domain of MyD88. 
The pathogen Brucella melitensis secretes a Toll/interleukin-1 receptor (TIR) domain containing protein that abrogates host innate immune responses. In this study, we have characterized the biochemical interactions of Brucella TIR-like protein TcpB with host innate immune adaptor proteins. Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88. TcpB disrupts MyD88(DD)-MyD88(DD), MyD88(DD)-MyD88(TIR) and MyD88(DD)-MyD88 interactions but not MyD88-MyD88 or MyD88(TIR)-MyD88(TIR) interactions. Structural models consistent with these results suggest how TcpB might inhibit TLR signaling by targeting MyD88 via a DD-TIR domain interface. 
",Not_a_complex
