22904036,s0,T1,T19,The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the ,Mig1,/,2," transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s0,T23,T1,The filamentous growth ,MAPK, Pathway Responds to Glucose Starvation Through the ,Mig1,"/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s0,T26,T1,The filamentous growth MAPK Pathway Responds to ,Glucose, Starvation Through the ,Mig1,"/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s0,T23,T19,The filamentous growth ,MAPK, Pathway Responds to Glucose Starvation Through the Mig1/,2," transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s0,T26,T19,The filamentous growth MAPK Pathway Responds to ,Glucose, Starvation Through the Mig1/,2," transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s0,T23,T26,The filamentous growth ,MAPK, Pathway Responds to ,Glucose," Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s3,T25,T2,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified ",MAPK," regulatory protein of the filamentous growth pathway, ",Opy2,". A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s4,T3,T4,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of ",Opy2," uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, ",Mig1,", and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Complex_formation
22904036,s4,T3,T5,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of ",Opy2," uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, ",Mig2,". Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Complex_formation
22904036,s4,T3,T28,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of ",Opy2, uncovered new interacting partners including a transcriptional repressor that functions in the ,AMPK," pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s4,T28,T4,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the ",AMPK," pathway, ",Mig1,", and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s4,T4,T5,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, ",Mig1,", and its close functional homolog, ",Mig2,". Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s4,T28,T5,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the ",AMPK," pathway, Mig1, and its close functional homolog, ",Mig2,". Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s5,T27,T29,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to ",glucose," limitation, as did the ",AMP kinase," Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s5,T6,T27,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. ",Mig1, and Mig2 coregulated the filamentous growth pathway in response to ,glucose," limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s5,T6,T29,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. ",Mig1," and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the ",AMP kinase," Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s5,T6,T7,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. ",Mig1, and ,Mig2," coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
