25299333,s0,T2,T24,Proline isomerization of the immune receptor-interacting protein ,RIN4, by a ,cyclophilin," inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector AvrB-induced phosphorylation of the RPM1-interacting protein RIN4 at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s3,T4,T5,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector AvrB-induced phosphorylation of the ",RPM1,-interacting protein ,RIN4," at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Complex_formation
25299333,s3,T3,T1,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor ",RPM1, is activated via bacterial effector ,AvrB,"-induced phosphorylation of the RPM1-interacting protein RIN4 at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s3,T1,T4,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector ",AvrB,-induced phosphorylation of the ,RPM1,"-interacting protein RIN4 at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s3,T1,T5,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector ",AvrB,-induced phosphorylation of the RPM1-interacting protein ,RIN4," at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s3,T3,T4,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor ",RPM1, is activated via bacterial effector AvrB-induced phosphorylation of the ,RPM1,"-interacting protein RIN4 at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s3,T3,T5,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor ",RPM1, is activated via bacterial effector AvrB-induced phosphorylation of the RPM1-interacting protein ,RIN4," at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s4,T6,T7,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector AvrB-induced phosphorylation of the RPM1-interacting protein RIN4 at Threonine 166. We find that ",RIN4, also interacts with the prolyl-peptidyl isomerase (PPIase) ,ROC1,", which is reduced upon RIN4 Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Complex_formation
25299333,s4,T6,T8,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector AvrB-induced phosphorylation of the RPM1-interacting protein RIN4 at Threonine 166. We find that ",RIN4," also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon ",RIN4," Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s4,T7,T8,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector AvrB-induced phosphorylation of the RPM1-interacting protein RIN4 at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ",ROC1,", which is reduced upon ",RIN4," Thr166 phosphorylation. ROC1 suppresses RPM1 immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
25299333,s5,T9,T10,"Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in Arabidopsis. 
In the absence of pathogen infection, plant effector-triggered immune (ETI) receptors are maintained in a preactivation state by intermolecular interactions with other host proteins. Pathogen effector-induced alterations activate the receptor. In Arabidopsis, the ETI receptor RPM1 is activated via bacterial effector AvrB-induced phosphorylation of the RPM1-interacting protein RIN4 at Threonine 166. We find that RIN4 also interacts with the prolyl-peptidyl isomerase (PPIase) ROC1, which is reduced upon RIN4 Thr166 phosphorylation. ",ROC1, suppresses ,RPM1," immunity in a PPIase-dependent manner. Consistent with this, RIN4 Pro149 undergoes cis/trans isomerization in the presence of ROC1. While the RIN4(P149V) mutation abolishes RPM1 resistance, the deletion of Pro149 leads to RPM1 activation in the absence of RIN4 phosphorylation. These results support a model in which RPM1 directly senses conformational changes in RIN4 surrounding Pro149 that is controlled by ROC1. RIN4 Thr166 phosphorylation indirectly regulates RPM1 resistance by modulating the ROC1-mediated RIN4 isomerization. 
",Not_a_complex
