25756347,s0,T16,T1,,Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains, of ,Rad18,". 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s1,T2,T17,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
",Rad18, is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ,ubiquitin,"-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s5,T5,T6,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. ",Rad18,(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for ,diubiquitin,". Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s8,T8,T18,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The ",Rad18,:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ,ubiquitin," moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s8,T8,T9,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The ",Rad18,:linear Ub2 model indicates that ELRM enhances the binding of ,Rad18," with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s8,T9,T18,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of ",Rad18, with linear polyubiquitin by contacting the proximal ,ubiquitin," moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s12,T11,T12,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of ",Rad18, bind linear Ub2 more tightly than those of ,RAP80,", providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s12,T11,T13,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of ",Rad18," bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of ",RAP80," at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s12,T19,T11,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ",ubiquitin,-binding domains of ,Rad18," bind linear Ub2 more tightly than those of RAP80, providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s12,T12,T13,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ubiquitin-binding domains of Rad18 bind linear Ub2 more tightly than those of ",RAP80,", providing a quantitative basis for blockage of ",RAP80," at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
25756347,s12,T19,T12,"Molecular determinants of polyubiquitin recognition by continuous ubiquitin-binding domains of Rad18. 
Rad18 is a key factor in double-strand break DNA damage response (DDR) pathways via its association with K63-linked polyubiquitylated chromatin proteins through its bipartite ubiquitin-binding domains UBZ and LRM with extra residues between them. Rad18 binds K63-linked polyubiquitin chains as well as K48-linked ones and monoubiquitin. However, the detailed molecular basis of polyubiquitin recognition by UBZ and LRM remains unclear. Here, we examined the interaction of Rad18(201-240), including UBZ and LRM, with linear polyubiquitin chains that are structurally similar to the K63-linked ones. Rad18(201-240) binds linear polyubiquitin chains (Ub2-Ub4) with affinity similar to that of a K63-linked one for diubiquitin. Ab initio modeling suggests that LRM and the extra residues at the C-terminus of UBZ (residues 227-237) likely form a continuous helix, termed the ""extended LR motif"" (ELRM). We obtained a molecular envelope for Rad18 UBZ-ELRM:linear Ub2 by small-angle X-ray scattering and derived a structural model for the complex. The Rad18:linear Ub2 model indicates that ELRM enhances the binding of Rad18 with linear polyubiquitin by contacting the proximal ubiquitin moiety. Consistent with the structural analysis, mutational studies showed that residues in ELRM affect binding with linear Ub2, not monoubiquitin. In cell data support the idea that ELRM is crucial in the localization of Rad18 to DNA damage sites. Specifically, E227 seems to be the most critical in polyubiquitin binding and localization to nuclear foci. Finally, we reveal that the ",ubiquitin,-binding domains of Rad18 bind linear Ub2 more tightly than those of ,RAP80,", providing a quantitative basis for blockage of RAP80 at DSB sites. Taken together, our data demonstrate that Rad18(201-240) forms continuous ubiquitin-binding domains, comprising UBZ and ELRM, and provides a structural framework for polyubiquitin recognition by Rad18 in the DDR pathway at a molecular level. 
",Not_a_complex
