8530401,s0,T18,T19,A physiological role for Saccharomyces cerevisiae ,copper/zinc superoxide dismutase, in ,copper," buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s1,T1,T2,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the ",CUP1, metallothionein is suppressed by overexpression of the ,CRS4," gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s1,T20,T1,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The ",copper, toxicity of yeast lacking the ,CUP1," metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s1,T20,T2,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The ",copper, toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the ,CRS4," gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s2,T21,T22,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding ",copper/zinc superoxide dismutase, (,SOD,"). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s2,T3,T21,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that ",CRS4," is equivalent to SOD1, encoding ",copper/zinc superoxide dismutase," (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s2,T3,T22,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that ",CRS4," is equivalent to SOD1, encoding copper/zinc superoxide dismutase (",SOD,"). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s2,T3,T4,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that ",CRS4, is equivalent to ,SOD1,", encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s2,T4,T21,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to ",SOD1,", encoding ",copper/zinc superoxide dismutase," (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s2,T4,T22,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to ",SOD1,", encoding copper/zinc superoxide dismutase (",SOD,"). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T23,T24,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced ",copper," resistance, a deletion of SOD1, but not SOD2 (encoding ",manganese," SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
