10096561,s3,T4,T5,,CD40," expression was confirmed in 7 human MM cell lines established from immunogenic primary tumors or metastases, whereas 11 cell lines established from advanced stages were ",CD40, negative.,Not_a_complex
10096561,s4,T10,T11,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by ,interleukin (IL)-1beta, or ,CD40, triggering.,Not_a_complex
10096561,s4,T6,T10,,CD40, expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by ,interleukin (IL)-1beta, or CD40 triggering.,Not_a_complex
10096561,s4,T6,T11,,CD40, expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or ,CD40, triggering.,Not_a_complex
10096561,s4,T6,T7,,CD40, expression could be enhanced in ,CD40,-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,Not_a_complex
10096561,s4,T6,T8,,CD40, expression could be enhanced in CD40-positive MM by stimulation with ,IFN-gamma, and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,Not_a_complex
10096561,s4,T6,T9,,CD40, expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and ,tumor necrosis factor-alpha, but not by interleukin (IL)-1beta or CD40 triggering.,Not_a_complex
10096561,s4,T7,T10,CD40 expression could be enhanced in ,CD40,-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by ,interleukin (IL)-1beta, or CD40 triggering.,Not_a_complex
10096561,s4,T7,T11,CD40 expression could be enhanced in ,CD40,-positive MM by stimulation with IFN-gamma and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or ,CD40, triggering.,Not_a_complex
10096561,s4,T7,T8,CD40 expression could be enhanced in ,CD40,-positive MM by stimulation with ,IFN-gamma, and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or CD40 triggering.,Not_a_complex
10096561,s4,T7,T9,CD40 expression could be enhanced in ,CD40,-positive MM by stimulation with IFN-gamma and ,tumor necrosis factor-alpha, but not by interleukin (IL)-1beta or CD40 triggering.,Not_a_complex
10096561,s4,T8,T10,CD40 expression could be enhanced in CD40-positive MM by stimulation with ,IFN-gamma, and tumor necrosis factor-alpha but not by ,interleukin (IL)-1beta, or CD40 triggering.,Not_a_complex
10096561,s4,T8,T11,CD40 expression could be enhanced in CD40-positive MM by stimulation with ,IFN-gamma, and tumor necrosis factor-alpha but not by interleukin (IL)-1beta or ,CD40, triggering.,Not_a_complex
10096561,s4,T8,T9,CD40 expression could be enhanced in CD40-positive MM by stimulation with ,IFN-gamma, and ,tumor necrosis factor-alpha, but not by interleukin (IL)-1beta or CD40 triggering.,Not_a_complex
10096561,s4,T9,T10,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and ,tumor necrosis factor-alpha, but not by ,interleukin (IL)-1beta, or CD40 triggering.,Not_a_complex
10096561,s4,T9,T11,CD40 expression could be enhanced in CD40-positive MM by stimulation with IFN-gamma and ,tumor necrosis factor-alpha, but not by interleukin (IL)-1beta or ,CD40, triggering.,Not_a_complex
10096561,s5,T12,T13,,CD40, ligation on MM by ,CD40L,"-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",Not_a_complex
10096561,s5,T12,T14,,CD40, ligation on MM by CD40L-transfected murine L-cells or by a soluble ,CD40L," fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",Not_a_complex
10096561,s5,T12,T15,,CD40, ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of ,intercellular adhesion molecule-1," and MHC class I and class II molecules and their secretion of IL-6, IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",Not_a_complex
10096561,s5,T12,T16,,CD40, ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of ,IL-6,", IL-8, tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",Not_a_complex
10096561,s5,T12,T17,,CD40," ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, ",IL-8,", tumor necrosis factor-a, and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",Not_a_complex
10096561,s5,T12,T18,,CD40," ligation on MM by CD40L-transfected murine L-cells or by a soluble CD40L fusion protein up-regulated their expression of intercellular adhesion molecule-1 and MHC class I and class II molecules and their secretion of IL-6, IL-8, ",tumor necrosis factor-a,", and granulocyte macrophage colony-stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB. Furthermore, CD40 ligation of a HLA-A2+, MelanA/MART1+ MM cell line enhanced its susceptibility to specific lysis by a HLA-A2-restricted, MelanA/MART-1-specific CTL clone.",Not_a_complex
