10395652,s0,T26,T1,Signaling events induced by ,lipopolysaccharide,-activated ,toll-like receptor 2,". 
",Not_a_complex
10395652,s1,T2,T24,Human ,Toll-like receptor 2, (TLR2) is a signaling receptor that responds to LPS and activates ,NF-kappaB,". Here, we investigate further the events triggered by TLR2 in response to LPS.",Not_a_complex
10395652,s1,T2,T25,Human ,Toll-like receptor 2, (TLR2) is a signaling receptor that responds to ,LPS," and activates NF-kappaB. Here, we investigate further the events triggered by TLR2 in response to LPS.",Not_a_complex
10395652,s1,T2,T27,Human ,Toll-like receptor 2," (TLR2) is a signaling receptor that responds to LPS and activates NF-kappaB. Here, we investigate further the events triggered by TLR2 in response to ",LPS,.,Not_a_complex
10395652,s1,T2,T3,Human ,Toll-like receptor 2, (,TLR2,") is a signaling receptor that responds to LPS and activates NF-kappaB. Here, we investigate further the events triggered by TLR2 in response to LPS.",Not_a_complex
10395652,s1,T2,T4,Human ,Toll-like receptor 2," (TLR2) is a signaling receptor that responds to LPS and activates NF-kappaB. Here, we investigate further the events triggered by ",TLR2, in response to LPS.,Not_a_complex
10395652,s1,T25,T24,Human Toll-like receptor 2 (TLR2) is a signaling receptor that responds to ,LPS, and activates ,NF-kappaB,". Here, we investigate further the events triggered by TLR2 in response to LPS.",Not_a_complex
10395652,s1,T24,T27,Human Toll-like receptor 2 (TLR2) is a signaling receptor that responds to LPS and activates ,NF-kappaB,". Here, we investigate further the events triggered by TLR2 in response to ",LPS,.,Not_a_complex
10395652,s1,T25,T27,Human Toll-like receptor 2 (TLR2) is a signaling receptor that responds to ,LPS," and activates NF-kappaB. Here, we investigate further the events triggered by TLR2 in response to ",LPS,.,Not_a_complex
10395652,s1,T3,T24,Human Toll-like receptor 2 (,TLR2,) is a signaling receptor that responds to LPS and activates ,NF-kappaB,". Here, we investigate further the events triggered by TLR2 in response to LPS.",Not_a_complex
10395652,s1,T3,T25,Human Toll-like receptor 2 (,TLR2,) is a signaling receptor that responds to ,LPS," and activates NF-kappaB. Here, we investigate further the events triggered by TLR2 in response to LPS.",Not_a_complex
10395652,s1,T3,T27,Human Toll-like receptor 2 (,TLR2,") is a signaling receptor that responds to LPS and activates NF-kappaB. Here, we investigate further the events triggered by TLR2 in response to ",LPS,.,Not_a_complex
10395652,s1,T3,T4,Human Toll-like receptor 2 (,TLR2,") is a signaling receptor that responds to LPS and activates NF-kappaB. Here, we investigate further the events triggered by ",TLR2, in response to LPS.,Not_a_complex
10395652,s1,T24,T4,Human Toll-like receptor 2 (TLR2) is a signaling receptor that responds to LPS and activates ,NF-kappaB,". Here, we investigate further the events triggered by ",TLR2, in response to LPS.,Not_a_complex
10395652,s1,T25,T4,Human Toll-like receptor 2 (TLR2) is a signaling receptor that responds to ,LPS," and activates NF-kappaB. Here, we investigate further the events triggered by ",TLR2, in response to LPS.,Not_a_complex
10395652,s1,T4,T27,"Human Toll-like receptor 2 (TLR2) is a signaling receptor that responds to LPS and activates NF-kappaB. Here, we investigate further the events triggered by ",TLR2, in response to ,LPS,.,Not_a_complex
10395652,s2,T5,T29,We show that ,TLR2, associates with the high-affinity LPS binding protein membrane CD14 to serve as an ,LPS," receptor complex, and that LPS treatment enhances the oligomerization of TLR2.",Complex_formation
10395652,s2,T5,T6,We show that ,TLR2, associates with the high-affinity LPS binding protein membrane ,CD14," to serve as an LPS receptor complex, and that LPS treatment enhances the oligomerization of TLR2.",Complex_formation
10395652,s2,T6,T29,We show that TLR2 associates with the high-affinity LPS binding protein membrane ,CD14, to serve as an ,LPS," receptor complex, and that LPS treatment enhances the oligomerization of TLR2.",Complex_formation
10395652,s2,T28,T29,We show that TLR2 associates with the high-affinity ,LPS, binding protein membrane CD14 to serve as an ,LPS," receptor complex, and that LPS treatment enhances the oligomerization of TLR2.",Not_a_complex
10395652,s2,T28,T30,We show that TLR2 associates with the high-affinity ,LPS," binding protein membrane CD14 to serve as an LPS receptor complex, and that ",LPS, treatment enhances the oligomerization of TLR2.,Not_a_complex
10395652,s2,T29,T30,We show that TLR2 associates with the high-affinity LPS binding protein membrane CD14 to serve as an ,LPS," receptor complex, and that ",LPS, treatment enhances the oligomerization of TLR2.,Not_a_complex
10395652,s2,T5,T28,We show that ,TLR2, associates with the high-affinity ,LPS," binding protein membrane CD14 to serve as an LPS receptor complex, and that LPS treatment enhances the oligomerization of TLR2.",Not_a_complex
10395652,s2,T5,T30,We show that ,TLR2," associates with the high-affinity LPS binding protein membrane CD14 to serve as an LPS receptor complex, and that ",LPS, treatment enhances the oligomerization of TLR2.,Not_a_complex
10395652,s2,T5,T7,We show that ,TLR2," associates with the high-affinity LPS binding protein membrane CD14 to serve as an LPS receptor complex, and that LPS treatment enhances the oligomerization of ",TLR2,.,Not_a_complex
10395652,s2,T28,T6,We show that TLR2 associates with the high-affinity ,LPS, binding protein membrane ,CD14," to serve as an LPS receptor complex, and that LPS treatment enhances the oligomerization of TLR2.",Not_a_complex
10395652,s2,T6,T30,We show that TLR2 associates with the high-affinity LPS binding protein membrane ,CD14," to serve as an LPS receptor complex, and that ",LPS, treatment enhances the oligomerization of TLR2.,Not_a_complex
10395652,s2,T6,T7,We show that TLR2 associates with the high-affinity LPS binding protein membrane ,CD14," to serve as an LPS receptor complex, and that LPS treatment enhances the oligomerization of ",TLR2,.,Not_a_complex
10395652,s2,T28,T7,We show that TLR2 associates with the high-affinity ,LPS," binding protein membrane CD14 to serve as an LPS receptor complex, and that LPS treatment enhances the oligomerization of ",TLR2,.,Not_a_complex
10395652,s2,T29,T7,We show that TLR2 associates with the high-affinity LPS binding protein membrane CD14 to serve as an ,LPS," receptor complex, and that LPS treatment enhances the oligomerization of ",TLR2,.,Not_a_complex
10395652,s2,T30,T7,"We show that TLR2 associates with the high-affinity LPS binding protein membrane CD14 to serve as an LPS receptor complex, and that ",LPS, treatment enhances the oligomerization of ,TLR2,.,Not_a_complex
10395652,s3,T18,T8,"Concomitant with receptor oligomerization, the IL-1R-associated kinase (",IRAK,) is recruited to the ,TLR2, complex.,Complex_formation
10395652,s3,T19,T8,"Concomitant with receptor oligomerization, the ",IL-1R-associated kinase, (IRAK) is recruited to the ,TLR2, complex.,Complex_formation
10395652,s3,T19,T18,"Concomitant with receptor oligomerization, the ",IL-1R-associated kinase, (,IRAK,) is recruited to the TLR2 complex.,Not_a_complex
10395652,s4,T20,T31,Intracellular deletion variants of TLR2 lacking C-terminal 13 or 141 aa fail to recruit ,IRAK,", which is consistent with the inability of these mutants to transmit ",LPS, cellular signaling.,Not_a_complex
10395652,s4,T9,T20,Intracellular deletion variants of ,TLR2, lacking C-terminal 13 or 141 aa fail to recruit ,IRAK,", which is consistent with the inability of these mutants to transmit LPS cellular signaling.",Not_a_complex
10395652,s4,T9,T31,Intracellular deletion variants of ,TLR2," lacking C-terminal 13 or 141 aa fail to recruit IRAK, which is consistent with the inability of these mutants to transmit ",LPS, cellular signaling.,Not_a_complex
10395652,s5,T10,T11,"Moreover, both deletion mutants could still form complexes with wild-type ",TLR2, and act in a dominant-negative (DN) fashion to block ,TLR2,-mediated signal transduction.,Not_a_complex
10395652,s6,T12,T13,"DN constructs of myeloid differentiation protein, IRAK, ",TNF receptor-associated factor 6,", and ",NF-kappaB-inducing kinase,", when coexpressed with TLR2, abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
10395652,s6,T12,T14,"DN constructs of myeloid differentiation protein, IRAK, ",TNF receptor-associated factor 6,", and NF-kappaB-inducing kinase, when coexpressed with ",TLR2,", abrogate TLR2-mediated NF-kappaB activation.",Not_a_complex
