1682217,s0,T1,T2,,v-erbA, overexpression is required to extinguish ,c-erbA," function in erythroid cell differentiation and regulation of the erbA target gene CAII. 
",Not_a_complex
1682217,s0,T1,T24,,v-erbA, overexpression is required to extinguish c-erbA function in erythroid cell differentiation and regulation of the ,erbA," target gene CAII. 
",Not_a_complex
1682217,s0,T1,T3,,v-erbA, overexpression is required to extinguish c-erbA function in erythroid cell differentiation and regulation of the erbA target gene ,CAII,". 
",Not_a_complex
1682217,s0,T2,T24,v-erbA overexpression is required to extinguish ,c-erbA, function in erythroid cell differentiation and regulation of the ,erbA," target gene CAII. 
",Not_a_complex
1682217,s0,T2,T3,v-erbA overexpression is required to extinguish ,c-erbA, function in erythroid cell differentiation and regulation of the erbA target gene ,CAII,". 
",Not_a_complex
1682217,s0,T24,T3,v-erbA overexpression is required to extinguish c-erbA function in erythroid cell differentiation and regulation of the ,erbA, target gene ,CAII,". 
",Not_a_complex
1682217,s1,T4,T25,The ,v-erbA, oncoprotein represents a retrovirus-transduced oncogenic version of the ,thyroid hormone (T3/T4) receptor, c-erbA (type alpha).,Not_a_complex
1682217,s1,T4,T5,The ,v-erbA, oncoprotein represents a retrovirus-transduced oncogenic version of the thyroid hormone (T3/T4) receptor ,c-erbA, (type alpha).,Not_a_complex
1682217,s1,T25,T5,The v-erbA oncoprotein represents a retrovirus-transduced oncogenic version of the ,thyroid hormone (T3/T4) receptor, ,c-erbA, (type alpha).,Not_a_complex
1682217,s3,T10,T11,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ,CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T10,T12,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ,v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T10,T26,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This ,erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T10,T27,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers ,thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T11,T12,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ",CAII, transcription by the ,v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T26,T11,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ,CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T27,T11,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers ",thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ,CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T26,T12,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ,v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T27,T12,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers ",thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ,v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T26,T27,"Here, we show that v-erbA and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers ,thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T6,T10,"Here, we show that ",v-erbA," and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by ",v-erbA,. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T6,T11,"Here, we show that ",v-erbA," and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of ",CAII, transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T6,T12,"Here, we show that ",v-erbA," and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the ",v-erbA, oncoprotein.,Not_a_complex
1682217,s3,T6,T26,"Here, we show that ",v-erbA," and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This ",erbA,-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T6,T27,"Here, we show that ",v-erbA," and c-erbA bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers ",thyroid hormone, responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.,Not_a_complex
1682217,s3,T6,T7,"Here, we show that ",v-erbA, and ,c-erbA," bind directly to sequences within the promoter of the erythrocyte-specific carbonic anhydrase II (CAII), a gene whose transcription is efficiently suppressed by v-erbA. This erbA-binding site confers thyroid hormone responsiveness to a heterologous promoter in transient expression experiments and is a target for efficient down-regulation of CAII transcription by the v-erbA oncoprotein.",Not_a_complex
