7478534,s0,T1,T2,,ETS1, transactivates the human ,GM-CSF," promoter in Jurkat T cells stimulated with PMA and ionomycin. 
",Not_a_complex
7478534,s0,T1,T31,,ETS1, transactivates the human GM-CSF promoter in Jurkat T cells stimulated with ,PMA," and ionomycin. 
",Not_a_complex
7478534,s0,T1,T32,,ETS1, transactivates the human GM-CSF promoter in Jurkat T cells stimulated with PMA and ,ionomycin,". 
",Not_a_complex
7478534,s0,T2,T31,ETS1 transactivates the human ,GM-CSF, promoter in Jurkat T cells stimulated with ,PMA," and ionomycin. 
",Not_a_complex
7478534,s0,T2,T32,ETS1 transactivates the human ,GM-CSF, promoter in Jurkat T cells stimulated with PMA and ,ionomycin,". 
",Not_a_complex
7478534,s0,T31,T32,ETS1 transactivates the human GM-CSF promoter in Jurkat T cells stimulated with ,PMA, and ,ionomycin,". 
",Not_a_complex
7478534,s2,T3,T4,,Granulocyte-macrophage colony-stimulating factor, (,GM-CSF,) is one such cytokine whose increased expression results partly from increases in transcription.,Not_a_complex
7478534,s3,T18,T19,Cis-acting elements with ,NF kappa B,", ",AP-1," and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ionomycin stimulation.",Not_a_complex
7478534,s3,T18,T20,Cis-acting elements with ,NF kappa B,", AP-1 and ",ETS,"-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ionomycin stimulation.",Not_a_complex
7478534,s3,T18,T33,Cis-acting elements with ,NF kappa B,", AP-1 and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following ",PMA, and ionomycin stimulation.,Not_a_complex
7478534,s3,T18,T34,Cis-acting elements with ,NF kappa B,", AP-1 and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ",ionomycin, stimulation.,Not_a_complex
7478534,s3,T19,T20,"Cis-acting elements with NF kappa B, ",AP-1, and ,ETS,"-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ionomycin stimulation.",Not_a_complex
7478534,s3,T19,T33,"Cis-acting elements with NF kappa B, ",AP-1," and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following ",PMA, and ionomycin stimulation.,Not_a_complex
7478534,s3,T19,T34,"Cis-acting elements with NF kappa B, ",AP-1," and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ",ionomycin, stimulation.,Not_a_complex
7478534,s3,T20,T33,"Cis-acting elements with NF kappa B, AP-1 and ",ETS,"-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following ",PMA, and ionomycin stimulation.,Not_a_complex
7478534,s3,T20,T34,"Cis-acting elements with NF kappa B, AP-1 and ",ETS,"-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following PMA and ",ionomycin, stimulation.,Not_a_complex
7478534,s3,T33,T34,"Cis-acting elements with NF kappa B, AP-1 and ETS-like motifs have been identified in the promoter region of the GM-CSF gene, which are important for transcriptional activity following ",PMA, and ,ionomycin, stimulation.,Not_a_complex
7478534,s3,T18,T5,Cis-acting elements with ,NF kappa B,", AP-1 and ETS-like motifs have been identified in the promoter region of the ",GM-CSF," gene, which are important for transcriptional activity following PMA and ionomycin stimulation.",Not_a_complex
7478534,s3,T19,T5,"Cis-acting elements with NF kappa B, ",AP-1, and ETS-like motifs have been identified in the promoter region of the ,GM-CSF," gene, which are important for transcriptional activity following PMA and ionomycin stimulation.",Not_a_complex
7478534,s3,T20,T5,"Cis-acting elements with NF kappa B, AP-1 and ",ETS,-like motifs have been identified in the promoter region of the ,GM-CSF," gene, which are important for transcriptional activity following PMA and ionomycin stimulation.",Not_a_complex
7478534,s3,T5,T33,"Cis-acting elements with NF kappa B, AP-1 and ETS-like motifs have been identified in the promoter region of the ",GM-CSF," gene, which are important for transcriptional activity following ",PMA, and ionomycin stimulation.,Not_a_complex
7478534,s3,T5,T34,"Cis-acting elements with NF kappa B, AP-1 and ETS-like motifs have been identified in the promoter region of the ",GM-CSF," gene, which are important for transcriptional activity following PMA and ",ionomycin, stimulation.,Not_a_complex
