7492771,s1,T1,T2,Binding of plasma ,Factor VII/VIIa, to the ,tissue factor (TF) receptor, initiates the coagulation protease cascades.,Complex_formation
7492771,s3,T5,T6,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of ,c-Rel,/,p65, heterodimers to a kappa B site in the TF promoter.,Complex_formation
7492771,s3,T19,T17,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial ,lipopolysaccharide, (LPS) is mediated by binding of c-Rel/p65 heterodimers to a ,kappa B, site in the TF promoter.,Not_a_complex
7492771,s3,T20,T17,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (,LPS,) is mediated by binding of c-Rel/p65 heterodimers to a ,kappa B, site in the TF promoter.,Not_a_complex
7492771,s3,T19,T20,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial ,lipopolysaccharide, (,LPS,) is mediated by binding of c-Rel/p65 heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T4,T17,Transcriptional activation of the human ,TF, gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of c-Rel/p65 heterodimers to a ,kappa B, site in the TF promoter.,Not_a_complex
7492771,s3,T4,T19,Transcriptional activation of the human ,TF, gene in monocytic cells exposed to bacterial ,lipopolysaccharide, (LPS) is mediated by binding of c-Rel/p65 heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T4,T20,Transcriptional activation of the human ,TF, gene in monocytic cells exposed to bacterial lipopolysaccharide (,LPS,) is mediated by binding of c-Rel/p65 heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T4,T5,Transcriptional activation of the human ,TF, gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of ,c-Rel,/p65 heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T4,T6,Transcriptional activation of the human ,TF, gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of c-Rel/,p65, heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T4,T7,Transcriptional activation of the human ,TF, gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of c-Rel/p65 heterodimers to a kappa B site in the ,TF, promoter.,Not_a_complex
7492771,s3,T5,T17,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of ,c-Rel,/p65 heterodimers to a ,kappa B, site in the TF promoter.,Not_a_complex
7492771,s3,T19,T5,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial ,lipopolysaccharide, (LPS) is mediated by binding of ,c-Rel,/p65 heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T20,T5,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (,LPS,) is mediated by binding of ,c-Rel,/p65 heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T5,T7,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of ,c-Rel,/p65 heterodimers to a kappa B site in the ,TF, promoter.,Not_a_complex
7492771,s3,T6,T17,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of c-Rel/,p65, heterodimers to a ,kappa B, site in the TF promoter.,Not_a_complex
7492771,s3,T19,T6,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial ,lipopolysaccharide, (LPS) is mediated by binding of c-Rel/,p65, heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T20,T6,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (,LPS,) is mediated by binding of c-Rel/,p65, heterodimers to a kappa B site in the TF promoter.,Not_a_complex
7492771,s3,T6,T7,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of c-Rel/,p65, heterodimers to a kappa B site in the ,TF, promoter.,Not_a_complex
7492771,s3,T17,T7,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (LPS) is mediated by binding of c-Rel/p65 heterodimers to a ,kappa B, site in the ,TF, promoter.,Not_a_complex
7492771,s3,T19,T7,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial ,lipopolysaccharide, (LPS) is mediated by binding of c-Rel/p65 heterodimers to a kappa B site in the ,TF, promoter.,Not_a_complex
7492771,s3,T20,T7,Transcriptional activation of the human TF gene in monocytic cells exposed to bacterial lipopolysaccharide (,LPS,) is mediated by binding of c-Rel/p65 heterodimers to a kappa B site in the ,TF, promoter.,Not_a_complex
7492771,s4,T21,T22,"Here, we report that a family of anti-inflammatory agents, known as the ",salicylates,", inhibited ",LPS, induction of TF activity and TF gene transcription in human monocytes and monocytic THP-1 cells at clinically relevant doses.,Not_a_complex
7492771,s4,T21,T8,"Here, we report that a family of anti-inflammatory agents, known as the ",salicylates,", inhibited LPS induction of ",TF, activity and TF gene transcription in human monocytes and monocytic THP-1 cells at clinically relevant doses.,Not_a_complex
7492771,s4,T22,T8,"Here, we report that a family of anti-inflammatory agents, known as the salicylates, inhibited ",LPS, induction of ,TF, activity and TF gene transcription in human monocytes and monocytic THP-1 cells at clinically relevant doses.,Not_a_complex
7492771,s4,T8,T9,"Here, we report that a family of anti-inflammatory agents, known as the salicylates, inhibited LPS induction of ",TF, activity and ,TF, gene transcription in human monocytes and monocytic THP-1 cells at clinically relevant doses.,Not_a_complex
7492771,s4,T21,T9,"Here, we report that a family of anti-inflammatory agents, known as the ",salicylates,", inhibited LPS induction of TF activity and ",TF, gene transcription in human monocytes and monocytic THP-1 cells at clinically relevant doses.,Not_a_complex
7492771,s4,T22,T9,"Here, we report that a family of anti-inflammatory agents, known as the salicylates, inhibited ",LPS, induction of TF activity and ,TF, gene transcription in human monocytes and monocytic THP-1 cells at clinically relevant doses.,Not_a_complex
7492771,s5,T11,T12,"Furthermore, sodium salicylate blocked the LPS-induced proteolytic degradation of I kappa B alpha, which prevented the nuclear translocation of ",c-Rel,/,p65, heterodimers.,Complex_formation
7492771,s5,T10,T11,"Furthermore, sodium salicylate blocked the LPS-induced proteolytic degradation of ",I kappa B alpha,", which prevented the nuclear translocation of ",c-Rel,/p65 heterodimers.,Not_a_complex
7492771,s5,T10,T12,"Furthermore, sodium salicylate blocked the LPS-induced proteolytic degradation of ",I kappa B alpha,", which prevented the nuclear translocation of c-Rel/",p65, heterodimers.,Not_a_complex
7492771,s5,T23,T10,"Furthermore, ",sodium salicylate, blocked the LPS-induced proteolytic degradation of ,I kappa B alpha,", which prevented the nuclear translocation of c-Rel/p65 heterodimers.",Not_a_complex
7492771,s5,T24,T10,"Furthermore, sodium salicylate blocked the ",LPS,-induced proteolytic degradation of ,I kappa B alpha,", which prevented the nuclear translocation of c-Rel/p65 heterodimers.",Not_a_complex
7492771,s5,T23,T11,"Furthermore, ",sodium salicylate," blocked the LPS-induced proteolytic degradation of I kappa B alpha, which prevented the nuclear translocation of ",c-Rel,/p65 heterodimers.,Not_a_complex
7492771,s5,T24,T11,"Furthermore, sodium salicylate blocked the ",LPS,"-induced proteolytic degradation of I kappa B alpha, which prevented the nuclear translocation of ",c-Rel,/p65 heterodimers.,Not_a_complex
7492771,s5,T23,T12,"Furthermore, ",sodium salicylate," blocked the LPS-induced proteolytic degradation of I kappa B alpha, which prevented the nuclear translocation of c-Rel/",p65, heterodimers.,Not_a_complex
7492771,s5,T24,T12,"Furthermore, sodium salicylate blocked the ",LPS,"-induced proteolytic degradation of I kappa B alpha, which prevented the nuclear translocation of c-Rel/",p65, heterodimers.,Not_a_complex
