7537762,s0,T1,T2,Monocyte tethering by ,P-selectin, regulates ,monocyte chemotactic protein-1, and tumor necrosis factor-alpha secretion.,Not_a_complex
7537762,s0,T1,T3,Monocyte tethering by ,P-selectin, regulates monocyte chemotactic protein-1 and ,tumor necrosis factor-alpha, secretion.,Not_a_complex
7537762,s0,T2,T3,Monocyte tethering by P-selectin regulates ,monocyte chemotactic protein-1, and ,tumor necrosis factor-alpha, secretion.,Not_a_complex
7537762,s2,T4,T5,Adhesion of human monocytes to ,P-selectin,", the most rapidly expressed endothelial tethering factor, increased the secretion of ",monocyte chemotactic protein-1, (MCP-1) and tumor necrosis factor-alpha (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T4,T6,Adhesion of human monocytes to ,P-selectin,", the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (",MCP-1,) and tumor necrosis factor-alpha (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T4,T7,Adhesion of human monocytes to ,P-selectin,", the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (MCP-1) and ",tumor necrosis factor-alpha, (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T4,T8,Adhesion of human monocytes to ,P-selectin,", the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (MCP-1) and tumor necrosis factor-alpha (",TNF-alpha,) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T5,T6,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of ",monocyte chemotactic protein-1, (,MCP-1,) and tumor necrosis factor-alpha (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T5,T7,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of ",monocyte chemotactic protein-1, (MCP-1) and ,tumor necrosis factor-alpha, (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T5,T8,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of ",monocyte chemotactic protein-1, (MCP-1) and tumor necrosis factor-alpha (,TNF-alpha,) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T6,T7,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (",MCP-1,) and ,tumor necrosis factor-alpha, (TNF-alpha) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T6,T8,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (",MCP-1,) and tumor necrosis factor-alpha (,TNF-alpha,) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s2,T7,T8,"Adhesion of human monocytes to P-selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein-1 (MCP-1) and ",tumor necrosis factor-alpha, (,TNF-alpha,) by the leukocytes when they were stimulated with platelet-activating factor.,Not_a_complex
7537762,s3,T10,T11,"Increased cytokine secretion was specifically inhibited by G1, an anti-P-selectin mAb that prevents ",P-selectin, from binding to its ligand (,P-selectin glycoprotein ligand-1,) on myeloid cells.,Complex_formation
7537762,s3,T19,T10,Increased cytokine secretion was specifically inhibited by ,G1,", an anti-P-selectin mAb that prevents ",P-selectin, from binding to its ligand (P-selectin glycoprotein ligand-1) on myeloid cells.,Not_a_complex
7537762,s3,T19,T11,Increased cytokine secretion was specifically inhibited by ,G1,", an anti-P-selectin mAb that prevents P-selectin from binding to its ligand (",P-selectin glycoprotein ligand-1,) on myeloid cells.,Not_a_complex
7537762,s3,T9,T10,"Increased cytokine secretion was specifically inhibited by G1, an anti-",P-selectin, mAb that prevents ,P-selectin, from binding to its ligand (P-selectin glycoprotein ligand-1) on myeloid cells.,Not_a_complex
7537762,s3,T9,T11,"Increased cytokine secretion was specifically inhibited by G1, an anti-",P-selectin, mAb that prevents P-selectin from binding to its ligand (,P-selectin glycoprotein ligand-1,) on myeloid cells.,Not_a_complex
7537762,s3,T19,T9,Increased cytokine secretion was specifically inhibited by ,G1,", an anti-",P-selectin, mAb that prevents P-selectin from binding to its ligand (P-selectin glycoprotein ligand-1) on myeloid cells.,Not_a_complex
7537762,s4,T12,T13,"Moreover, tethering by ",P-selectin," specifically enhanced nuclear translocation of nuclear factor-kappa B (NF-kappa B), a transcription factor required for expression of ",MCP-1,", TNF-alpha, and other immediate-early genes.",Not_a_complex
7537762,s4,T12,T14,"Moreover, tethering by ",P-selectin," specifically enhanced nuclear translocation of nuclear factor-kappa B (NF-kappa B), a transcription factor required for expression of MCP-1, ",TNF-alpha,", and other immediate-early genes.",Not_a_complex
7537762,s4,T12,T16,"Moreover, tethering by ",P-selectin, specifically enhanced nuclear translocation of ,nuclear factor-kappa B," (NF-kappa B), a transcription factor required for expression of MCP-1, TNF-alpha, and other immediate-early genes.",Not_a_complex
7537762,s4,T12,T17,"Moreover, tethering by ",P-selectin, specifically enhanced nuclear translocation of nuclear factor-kappa B (,NF-kappa B,"), a transcription factor required for expression of MCP-1, TNF-alpha, and other immediate-early genes.",Not_a_complex
7537762,s4,T13,T14,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of nuclear factor-kappa B (NF-kappa B), a transcription factor required for expression of ",MCP-1,", ",TNF-alpha,", and other immediate-early genes.",Not_a_complex
7537762,s4,T16,T13,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of ",nuclear factor-kappa B," (NF-kappa B), a transcription factor required for expression of ",MCP-1,", TNF-alpha, and other immediate-early genes.",Not_a_complex
7537762,s4,T17,T13,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of nuclear factor-kappa B (",NF-kappa B,"), a transcription factor required for expression of ",MCP-1,", TNF-alpha, and other immediate-early genes.",Not_a_complex
7537762,s4,T16,T14,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of ",nuclear factor-kappa B," (NF-kappa B), a transcription factor required for expression of MCP-1, ",TNF-alpha,", and other immediate-early genes.",Not_a_complex
7537762,s4,T17,T14,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of nuclear factor-kappa B (",NF-kappa B,"), a transcription factor required for expression of MCP-1, ",TNF-alpha,", and other immediate-early genes.",Not_a_complex
7537762,s4,T16,T17,"Moreover, tethering by P-selectin specifically enhanced nuclear translocation of ",nuclear factor-kappa B, (,NF-kappa B,"), a transcription factor required for expression of MCP-1, TNF-alpha, and other immediate-early genes.",Not_a_complex
