7747447,s0,T15,T1,I,nduction of Sp1 phosphorylation and NF-kappa B-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid.,,Sp1," phosphorylation and NF-kappa B-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid. 
",Not_a_complex
7747447,s0,T1,T19,Induction of ,Sp1, phosphorylation and ,NF-kappa B,"-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid. 
",Not_a_complex
7747447,s0,T15,T19,I,nduction of Sp1 phosphorylation and NF-kappa B-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid.,,NF-kappa B,"-independent HIV promoter domain activity in T lymphocytes stimulated by okadaic acid. 
",Not_a_complex
7747447,s1,T11,T16,In contrast to the purely enhancer-dependent effect of cytokines such as ,TNF," on the activity of the HIV regulatory region (LTR), we observed that okadaic acid (OKA) activates HIV transcription through both the enhancer, responding to the factor ",NF-kappa B,", and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T11,T20,In contrast to the purely enhancer-dependent effect of cytokines such as ,TNF," on the activity of the HIV regulatory region (LTR), we observed that ",okadaic acid," (OKA) activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T11,T21,In contrast to the purely enhancer-dependent effect of cytokines such as ,TNF," on the activity of the HIV regulatory region (LTR), we observed that okadaic acid (",OKA,") activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T11,T22,In contrast to the purely enhancer-dependent effect of cytokines such as ,TNF," on the activity of the HIV regulatory region (LTR), we observed that okadaic acid (OKA) activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the ",LTR,.,Not_a_complex
7747447,s1,T11,T23,In contrast to the purely enhancer-dependent effect of cytokines such as ,TNF, on the activity of the HIV regulatory region (,LTR,"), we observed that okadaic acid (OKA) activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T20,T16,"In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (LTR), we observed that ",okadaic acid," (OKA) activates HIV transcription through both the enhancer, responding to the factor ",NF-kappa B,", and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T21,T16,"In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (LTR), we observed that okadaic acid (",OKA,") activates HIV transcription through both the enhancer, responding to the factor ",NF-kappa B,", and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T16,T22,"In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (LTR), we observed that okadaic acid (OKA) activates HIV transcription through both the enhancer, responding to the factor ",NF-kappa B,", and the promoter domain of the ",LTR,.,Not_a_complex
7747447,s1,T23,T16,In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (,LTR,"), we observed that okadaic acid (OKA) activates HIV transcription through both the enhancer, responding to the factor ",NF-kappa B,", and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T20,T21,"In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (LTR), we observed that ",okadaic acid, (,OKA,") activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T20,T22,"In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (LTR), we observed that ",okadaic acid," (OKA) activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the ",LTR,.,Not_a_complex
7747447,s1,T23,T20,In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (,LTR,"), we observed that ",okadaic acid," (OKA) activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T21,T22,"In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (LTR), we observed that okadaic acid (",OKA,") activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the ",LTR,.,Not_a_complex
7747447,s1,T23,T21,In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (,LTR,"), we observed that okadaic acid (",OKA,") activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the LTR.",Not_a_complex
7747447,s1,T23,T22,In contrast to the purely enhancer-dependent effect of cytokines such as TNF on the activity of the HIV regulatory region (,LTR,"), we observed that okadaic acid (OKA) activates HIV transcription through both the enhancer, responding to the factor NF-kappa B, and the promoter domain of the ",LTR,.,Not_a_complex
7747447,s2,T24,T12,The inducibility of HIV ,LTR,-driven luciferase expression constructs in lymphoblastoid cells stimulated by OKA depended on both functional Sp1 binding elements and the ability of the TATA box to bind the protein ,TBP,.,Not_a_complex
7747447,s2,T25,T12,The inducibility of HIV LTR-driven luciferase expression constructs in lymphoblastoid cells stimulated by ,OKA, depended on both functional Sp1 binding elements and the ability of the TATA box to bind the protein ,TBP,.,Not_a_complex
7747447,s2,T2,T12,The inducibility of HIV LTR-driven luciferase expression constructs in lymphoblastoid cells stimulated by OKA depended on both functional ,Sp1, binding elements and the ability of the TATA box to bind the protein ,TBP,.,Not_a_complex
7747447,s2,T24,T2,The inducibility of HIV ,LTR,-driven luciferase expression constructs in lymphoblastoid cells stimulated by OKA depended on both functional ,Sp1, binding elements and the ability of the TATA box to bind the protein TBP.,Not_a_complex
7747447,s2,T25,T2,The inducibility of HIV LTR-driven luciferase expression constructs in lymphoblastoid cells stimulated by ,OKA, depended on both functional ,Sp1, binding elements and the ability of the TATA box to bind the protein TBP.,Not_a_complex
7747447,s2,T24,T25,The inducibility of HIV ,LTR,-driven luciferase expression constructs in lymphoblastoid cells stimulated by ,OKA, depended on both functional Sp1 binding elements and the ability of the TATA box to bind the protein TBP.,Not_a_complex
7747447,s3,T26,T13,"In both transformed and normal lymphocytes, ",OKA," stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by ",TNF,", phorbol ester, or PHA and interleukin 2.",Not_a_complex
7747447,s3,T27,T13,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of ",OKA, not shared by ,TNF,", phorbol ester, or PHA and interleukin 2.",Not_a_complex
7747447,s3,T13,T28,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by ",TNF,", ",phorbol ester,", or PHA and interleukin 2.",Not_a_complex
7747447,s3,T26,T27,"In both transformed and normal lymphocytes, ",OKA," stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of ",OKA," not shared by TNF, phorbol ester, or PHA and interleukin 2.",Not_a_complex
7747447,s3,T26,T28,"In both transformed and normal lymphocytes, ",OKA," stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of OKA not shared by TNF, ",phorbol ester,", or PHA and interleukin 2.",Not_a_complex
7747447,s3,T27,T28,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed Sp1 protein in the nucleus, a property of ",OKA," not shared by TNF, ",phorbol ester,", or PHA and interleukin 2.",Not_a_complex
7747447,s3,T3,T13,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed ",Sp1," protein in the nucleus, a property of OKA not shared by ",TNF,", phorbol ester, or PHA and interleukin 2.",Not_a_complex
7747447,s3,T26,T3,"In both transformed and normal lymphocytes, ",OKA, stimulation induced intense phosphorylation of the constitutively expressed ,Sp1," protein in the nucleus, a property of OKA not shared by TNF, phorbol ester, or PHA and interleukin 2.",Not_a_complex
7747447,s3,T3,T27,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed ",Sp1," protein in the nucleus, a property of ",OKA," not shared by TNF, phorbol ester, or PHA and interleukin 2.",Not_a_complex
7747447,s3,T3,T28,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed ",Sp1," protein in the nucleus, a property of OKA not shared by TNF, ",phorbol ester,", or PHA and interleukin 2.",Not_a_complex
7747447,s3,T3,T4,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed ",Sp1," protein in the nucleus, a property of OKA not shared by TNF, phorbol ester, or ",PHA, and interleukin 2.,Not_a_complex
7747447,s3,T3,T5,"In both transformed and normal lymphocytes, OKA stimulation induced intense phosphorylation of the constitutively expressed ",Sp1," protein in the nucleus, a property of OKA not shared by TNF, phorbol ester, or PHA and ",interleukin 2,.,Not_a_complex
