7760810,s0,T1,T2,Ligand-dependent repression of the erythroid transcription factor ,GATA-1, by the ,estrogen receptor,". 
",Not_a_complex
7760810,s3,T22,T23,"This delay is associated with down-regulation of many erythroid cell-specific genes, including alpha- and beta-globin, ",band 3,", ",band 4.1,", and the erythroid cell-specific histone H5.",Not_a_complex
7760810,s3,T3,T22,"This delay is associated with down-regulation of many erythroid cell-specific genes, including ",alpha-," and beta-globin, ",band 3,", band 4.1, and the erythroid cell-specific histone H5.",Not_a_complex
7760810,s3,T3,T23,"This delay is associated with down-regulation of many erythroid cell-specific genes, including ",alpha-," and beta-globin, band 3, ",band 4.1,", and the erythroid cell-specific histone H5.",Not_a_complex
7760810,s3,T3,T4,"This delay is associated with down-regulation of many erythroid cell-specific genes, including ",alpha-, and ,beta-globin,", band 3, band 4.1, and the erythroid cell-specific histone H5.",Not_a_complex
7760810,s3,T3,T5,"This delay is associated with down-regulation of many erythroid cell-specific genes, including ",alpha-," and beta-globin, band 3, band 4.1, and the erythroid cell-specific histone ",H5,.,Not_a_complex
7760810,s3,T4,T22,"This delay is associated with down-regulation of many erythroid cell-specific genes, including alpha- and ",beta-globin,", ",band 3,", band 4.1, and the erythroid cell-specific histone H5.",Not_a_complex
7760810,s3,T4,T23,"This delay is associated with down-regulation of many erythroid cell-specific genes, including alpha- and ",beta-globin,", band 3, ",band 4.1,", and the erythroid cell-specific histone H5.",Not_a_complex
7760810,s3,T4,T5,"This delay is associated with down-regulation of many erythroid cell-specific genes, including alpha- and ",beta-globin,", band 3, band 4.1, and the erythroid cell-specific histone ",H5,.,Not_a_complex
7760810,s3,T22,T5,"This delay is associated with down-regulation of many erythroid cell-specific genes, including alpha- and beta-globin, ",band 3,", band 4.1, and the erythroid cell-specific histone ",H5,.,Not_a_complex
7760810,s3,T23,T5,"This delay is associated with down-regulation of many erythroid cell-specific genes, including alpha- and beta-globin, band 3, ",band 4.1,", and the erythroid cell-specific histone ",H5,.,Not_a_complex
7760810,s5,T27,T6,To address potential mechanisms by which ,estrogens," suppress erythropoiesis, we have examined their effects on ",GATA-1,", an erythroid transcription factor that participates in the regulation of the majority of erythroid cell-specific genes and is necessary for full maturation of erythrocytes.",Not_a_complex
7760810,s6,T7,T8,We demonstrate that the transcriptional activity of ,GATA-1, is strongly repressed by the ,estrogen receptor, (ER) in a ligand-dependent manner and that this repression is reversible in the presence of 4-hydroxytamoxifen.,Not_a_complex
7760810,s6,T7,T9,We demonstrate that the transcriptional activity of ,GATA-1, is strongly repressed by the estrogen receptor (,ER,) in a ligand-dependent manner and that this repression is reversible in the presence of 4-hydroxytamoxifen.,Not_a_complex
7760810,s6,T8,T9,We demonstrate that the transcriptional activity of GATA-1 is strongly repressed by the ,estrogen receptor, (,ER,) in a ligand-dependent manner and that this repression is reversible in the presence of 4-hydroxytamoxifen.,Not_a_complex
7760810,s7,T10,T11,,ER,-mediated repression of ,GATA-1," activity occurs on an artificial promoter containing a single GATA-binding site, as well as in the context of an intact promoter which is normally regulated by GATA-1.",Not_a_complex
7760810,s7,T10,T12,,ER,"-mediated repression of GATA-1 activity occurs on an artificial promoter containing a single GATA-binding site, as well as in the context of an intact promoter which is normally regulated by ",GATA-1,.,Not_a_complex
7760810,s7,T11,T12,ER-mediated repression of ,GATA-1," activity occurs on an artificial promoter containing a single GATA-binding site, as well as in the context of an intact promoter which is normally regulated by ",GATA-1,.,Not_a_complex
7760810,s8,T13,T14,,GATA-1, and ,ER, bind to each other in vitro in the absence of DNA.,Complex_formation
7760810,s9,T15,T16,"In coimmunoprecipitation experiments using transfected COS cells, ",GATA-1, and ,ER, associate in a ligand-dependent manner.,Complex_formation
7760810,s10,T17,T18,Mapping experiments indicate that ,GATA-1, and the ,ER," form at least two contacts, which involve the finger region and the N-terminal activation domain of GATA-1.",Complex_formation
7760810,s10,T17,T19,Mapping experiments indicate that ,GATA-1," and the ER form at least two contacts, which involve the finger region and the N-terminal activation domain of ",GATA-1,.,Not_a_complex
7760810,s10,T18,T19,Mapping experiments indicate that GATA-1 and the ,ER," form at least two contacts, which involve the finger region and the N-terminal activation domain of ",GATA-1,.,Not_a_complex
7760810,s11,T20,T21,We speculate that estrogens exert effects on erythropoiesis by modulating ,GATA-1, activity through protein-protein interaction with the ,ER,.,Complex_formation
7760810,s11,T28,T20,We speculate that ,estrogens, exert effects on erythropoiesis by modulating ,GATA-1, activity through protein-protein interaction with the ER.,Not_a_complex
7760810,s11,T28,T21,We speculate that ,estrogens, exert effects on erythropoiesis by modulating GATA-1 activity through protein-protein interaction with the ,ER,.,Not_a_complex
