8649779,s0,T1,T19,Inhibition of ,p105, processing by ,NF-kappaB," proteins in transiently transfected cells. 
",Not_a_complex
8649779,s1,T20,T2,Regulation of the transcription factor ,NF-kappaB, involves proteasome-mediated processing of the ,NF-kappaB1," p105 precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T2,T21,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ,NF-kappaB1," p105 precursor protein, which generates the p50 subunit of ",NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T2,T3,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ,NF-kappaB1, ,p105," precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T2,T4,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ,NF-kappaB1," p105 precursor protein, which generates the ",p50," subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T2,T5,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ,NF-kappaB1," p105 precursor protein, which generates the p50 subunit of NF-kappaB. The processing of ",p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T20,T21,Regulation of the transcription factor ,NF-kappaB," involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the p50 subunit of ",NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T20,T3,Regulation of the transcription factor ,NF-kappaB, involves proteasome-mediated processing of the NF-kappaB1 ,p105," precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T3,T21,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 ,p105," precursor protein, which generates the p50 subunit of ",NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T3,T4,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 ,p105," precursor protein, which generates the ",p50," subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T3,T5,Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 ,p105," precursor protein, which generates the p50 subunit of NF-kappaB. The processing of ",p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T20,T4,Regulation of the transcription factor ,NF-kappaB," involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the ",p50," subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T4,T21,"Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the ",p50, subunit of ,NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T4,T5,"Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the ",p50, subunit of NF-kappaB. The processing of ,p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T20,T5,Regulation of the transcription factor ,NF-kappaB," involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the p50 subunit of NF-kappaB. The processing of ",p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s1,T21,T5,"Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the p50 subunit of ",NF-kappaB,. The processing of ,p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear.",Not_a_complex
8649779,s3,T7,T8,Transient transfection studies performed in COS7 cells revealed that the newly synthesized ,p105, protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product ,p50,.,Not_a_complex
8649779,s4,T10,T13,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with ",p50," or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with ",p105,.,Complex_formation
8649779,s4,T11,T13,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including ",RelA," and c-Rel, that physically interact with ",p105,.,Complex_formation
8649779,s4,T12,T13,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and ",c-Rel,", that physically interact with ",p105,.,Complex_formation
8649779,s4,T10,T11,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with ",p50," or other NF-kappaB subunits, including ",RelA," and c-Rel, that physically interact with p105.",Not_a_complex
8649779,s4,T10,T12,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with ",p50," or other NF-kappaB subunits, including RelA and ",c-Rel,", that physically interact with p105.",Not_a_complex
8649779,s4,T10,T22,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with ",p50, or other ,NF-kappaB," subunits, including RelA and c-Rel, that physically interact with p105.",Not_a_complex
8649779,s4,T11,T12,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including ",RelA, and ,c-Rel,", that physically interact with p105.",Not_a_complex
8649779,s4,T22,T11,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other ",NF-kappaB," subunits, including ",RelA," and c-Rel, that physically interact with p105.",Not_a_complex
8649779,s4,T22,T12,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other ",NF-kappaB," subunits, including RelA and ",c-Rel,", that physically interact with p105.",Not_a_complex
8649779,s4,T22,T13,"Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other ",NF-kappaB," subunits, including RelA and c-Rel, that physically interact with ",p105,.,Not_a_complex
8649779,s4,T9,T10,"Interestingly, the processing rate of ",p105, is markedly inhibited in cells co-transfected with ,p50," or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105.",Not_a_complex
8649779,s4,T9,T11,"Interestingly, the processing rate of ",p105," is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including ",RelA," and c-Rel, that physically interact with p105.",Not_a_complex
8649779,s4,T9,T12,"Interestingly, the processing rate of ",p105," is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and ",c-Rel,", that physically interact with p105.",Not_a_complex
8649779,s4,T9,T13,"Interestingly, the processing rate of ",p105," is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with ",p105,.,Not_a_complex
8649779,s4,T9,T22,"Interestingly, the processing rate of ",p105, is markedly inhibited in cells co-transfected with p50 or other ,NF-kappaB," subunits, including RelA and c-Rel, that physically interact with p105.",Not_a_complex
8649779,s5,T14,T23,These findings suggest that the processing of ,p105, is subject to negative regulation by the various ,NF-kappaB, subunits.,Not_a_complex
8649779,s7,T16,T17,"However, the inducible degradation of ",p105, is not coupled with the generation of ,p50,.,Not_a_complex
