9356494,s0,T1,T2,The Epstein-Barr virus oncogene product ,latent membrane protein 1, engages the ,tumor necrosis factor receptor,"-associated death domain protein to mediate B lymphocyte growth transformation and activate NF-kappaB. 
The Epstein-Barr virus latent membrane protein 1 (LMP1) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.",Complex_formation
9356494,s0,T1,T18,The Epstein-Barr virus oncogene product ,latent membrane protein 1, engages the tumor necrosis factor receptor-associated death domain protein to mediate B lymphocyte growth transformation and activate ,NF-kappaB,". 
The Epstein-Barr virus latent membrane protein 1 (LMP1) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.",Not_a_complex
9356494,s0,T1,T3,The Epstein-Barr virus oncogene product ,latent membrane protein 1," engages the tumor necrosis factor receptor-associated death domain protein to mediate B lymphocyte growth transformation and activate NF-kappaB. 
The Epstein-Barr virus ",latent membrane protein 1, (LMP1) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s0,T1,T4,The Epstein-Barr virus oncogene product ,latent membrane protein 1," engages the tumor necrosis factor receptor-associated death domain protein to mediate B lymphocyte growth transformation and activate NF-kappaB. 
The Epstein-Barr virus latent membrane protein 1 (",LMP1,) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s0,T2,T18,The Epstein-Barr virus oncogene product latent membrane protein 1 engages the ,tumor necrosis factor receptor,-associated death domain protein to mediate B lymphocyte growth transformation and activate ,NF-kappaB,". 
The Epstein-Barr virus latent membrane protein 1 (LMP1) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.",Not_a_complex
9356494,s0,T2,T3,The Epstein-Barr virus oncogene product latent membrane protein 1 engages the ,tumor necrosis factor receptor,"-associated death domain protein to mediate B lymphocyte growth transformation and activate NF-kappaB. 
The Epstein-Barr virus ",latent membrane protein 1, (LMP1) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s0,T2,T4,The Epstein-Barr virus oncogene product latent membrane protein 1 engages the ,tumor necrosis factor receptor,"-associated death domain protein to mediate B lymphocyte growth transformation and activate NF-kappaB. 
The Epstein-Barr virus latent membrane protein 1 (",LMP1,) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s0,T18,T3,The Epstein-Barr virus oncogene product latent membrane protein 1 engages the tumor necrosis factor receptor-associated death domain protein to mediate B lymphocyte growth transformation and activate ,NF-kappaB,". 
The Epstein-Barr virus ",latent membrane protein 1, (LMP1) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s0,T3,T4,"The Epstein-Barr virus oncogene product latent membrane protein 1 engages the tumor necrosis factor receptor-associated death domain protein to mediate B lymphocyte growth transformation and activate NF-kappaB. 
The Epstein-Barr virus ",latent membrane protein 1, (,LMP1,) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s0,T18,T4,The Epstein-Barr virus oncogene product latent membrane protein 1 engages the tumor necrosis factor receptor-associated death domain protein to mediate B lymphocyte growth transformation and activate ,NF-kappaB,". 
The Epstein-Barr virus latent membrane protein 1 (",LMP1,) is essential for the transformation of B lymphocytes into lymphoblastoid cell lines.,Not_a_complex
9356494,s5,T21,T6,A yeast two-hybrid screen identified ,TES2," interacting proteins, including the ",tumor necrosis factor receptor-associated death domain protein, (TRADD).,Complex_formation
