9852070,s0,T1,T33,The involvement of multiple tumor necrosis factor receptor (TNFR)-associated factors in the signaling mechanisms of ,receptor activator of NF-kappaB,", a member of the ",TNFR," superfamily. 
",Not_a_complex
9852070,s0,T34,T1,The involvement of multiple ,tumor necrosis factor receptor, (TNFR)-associated factors in the signaling mechanisms of ,receptor activator of NF-kappaB,", a member of the TNFR superfamily. 
",Not_a_complex
9852070,s0,T35,T1,The involvement of multiple tumor necrosis factor receptor (,TNFR,)-associated factors in the signaling mechanisms of ,receptor activator of NF-kappaB,", a member of the TNFR superfamily. 
",Not_a_complex
9852070,s0,T34,T33,The involvement of multiple ,tumor necrosis factor receptor," (TNFR)-associated factors in the signaling mechanisms of receptor activator of NF-kappaB, a member of the ",TNFR," superfamily. 
",Not_a_complex
9852070,s0,T35,T33,The involvement of multiple tumor necrosis factor receptor (,TNFR,")-associated factors in the signaling mechanisms of receptor activator of NF-kappaB, a member of the ",TNFR," superfamily. 
",Not_a_complex
9852070,s0,T34,T35,The involvement of multiple ,tumor necrosis factor receptor, (,TNFR,")-associated factors in the signaling mechanisms of receptor activator of NF-kappaB, a member of the TNFR superfamily. 
",Not_a_complex
9852070,s1,T2,T3,,Receptor activator of NF-kappaB, (,RANK,) is a recently identified member of the tumor necrosis factor receptor superfamily and is expressed on activated T cells and dendritic cells.,Not_a_complex
9852070,s1,T2,T36,,Receptor activator of NF-kappaB, (RANK) is a recently identified member of the ,tumor necrosis factor receptor, superfamily and is expressed on activated T cells and dendritic cells.,Not_a_complex
9852070,s1,T3,T36,Receptor activator of NF-kappaB (,RANK,) is a recently identified member of the ,tumor necrosis factor receptor, superfamily and is expressed on activated T cells and dendritic cells.,Not_a_complex
9852070,s3,T5,T10,We demonstrate here the interaction of ,RANK," with tumor necrosis factor receptor-associated factors (TRAFs) 1, 2, 3, 5, and ",6, both in vitro and in cells.,Complex_formation
9852070,s3,T5,T6,We demonstrate here the interaction of ,RANK, with ,tumor necrosis factor receptor-associated factors (TRAFs) 1,", 2, 3, 5, and 6 both in vitro and in cells.",Complex_formation
9852070,s3,T5,T7,We demonstrate here the interaction of ,RANK," with tumor necrosis factor receptor-associated factors (TRAFs) 1, ",2,", 3, 5, and 6 both in vitro and in cells.",Complex_formation
9852070,s3,T5,T8,We demonstrate here the interaction of ,RANK," with tumor necrosis factor receptor-associated factors (TRAFs) 1, 2, ",3,", 5, and 6 both in vitro and in cells.",Complex_formation
9852070,s3,T5,T9,We demonstrate here the interaction of ,RANK," with tumor necrosis factor receptor-associated factors (TRAFs) 1, 2, 3, ",5,", and 6 both in vitro and in cells.",Complex_formation
9852070,s3,T6,T10,We demonstrate here the interaction of RANK with ,tumor necrosis factor receptor-associated factors (TRAFs) 1,", 2, 3, 5, and ",6, both in vitro and in cells.,Not_a_complex
9852070,s3,T6,T7,We demonstrate here the interaction of RANK with ,tumor necrosis factor receptor-associated factors (TRAFs) 1,", ",2,", 3, 5, and 6 both in vitro and in cells.",Not_a_complex
9852070,s3,T6,T8,We demonstrate here the interaction of RANK with ,tumor necrosis factor receptor-associated factors (TRAFs) 1,", 2, ",3,", 5, and 6 both in vitro and in cells.",Not_a_complex
9852070,s3,T6,T9,We demonstrate here the interaction of RANK with ,tumor necrosis factor receptor-associated factors (TRAFs) 1,", 2, 3, ",5,", and 6 both in vitro and in cells.",Not_a_complex
9852070,s3,T7,T10,"We demonstrate here the interaction of RANK with tumor necrosis factor receptor-associated factors (TRAFs) 1, ",2,", 3, 5, and ",6, both in vitro and in cells.,Not_a_complex
9852070,s3,T7,T8,"We demonstrate here the interaction of RANK with tumor necrosis factor receptor-associated factors (TRAFs) 1, ",2,", ",3,", 5, and 6 both in vitro and in cells.",Not_a_complex
9852070,s3,T7,T9,"We demonstrate here the interaction of RANK with tumor necrosis factor receptor-associated factors (TRAFs) 1, ",2,", 3, ",5,", and 6 both in vitro and in cells.",Not_a_complex
9852070,s3,T8,T10,"We demonstrate here the interaction of RANK with tumor necrosis factor receptor-associated factors (TRAFs) 1, 2, ",3,", 5, and ",6, both in vitro and in cells.,Not_a_complex
9852070,s3,T8,T9,"We demonstrate here the interaction of RANK with tumor necrosis factor receptor-associated factors (TRAFs) 1, 2, ",3,", ",5,", and 6 both in vitro and in cells.",Not_a_complex
9852070,s3,T9,T10,"We demonstrate here the interaction of RANK with tumor necrosis factor receptor-associated factors (TRAFs) 1, 2, 3, ",5,", and ",6, both in vitro and in cells.,Not_a_complex
9852070,s4,T26,T11,Mapping of the structural requirements for ,TRAF,/,RANK, interaction revealed multiple TRAF binding sites clustered in two distinct domains in the RANK cytoplasmic tail.,Complex_formation
9852070,s4,T27,T12,Mapping of the structural requirements for TRAF/RANK interaction revealed multiple ,TRAF, binding sites clustered in two distinct domains in the ,RANK, cytoplasmic tail.,Complex_formation
9852070,s4,T11,T12,Mapping of the structural requirements for TRAF/,RANK, interaction revealed multiple TRAF binding sites clustered in two distinct domains in the ,RANK, cytoplasmic tail.,Not_a_complex
9852070,s4,T11,T27,Mapping of the structural requirements for TRAF/,RANK, interaction revealed multiple ,TRAF, binding sites clustered in two distinct domains in the RANK cytoplasmic tail.,Not_a_complex
9852070,s4,T26,T12,Mapping of the structural requirements for ,TRAF,/RANK interaction revealed multiple TRAF binding sites clustered in two distinct domains in the ,RANK, cytoplasmic tail.,Not_a_complex
9852070,s4,T26,T27,Mapping of the structural requirements for ,TRAF,/RANK interaction revealed multiple ,TRAF, binding sites clustered in two distinct domains in the RANK cytoplasmic tail.,Not_a_complex
9852070,s5,T13,T14,These TRAF binding domains were shown to be functionally important for the ,RANK,-dependent induction of NF-kappaB and ,c-Jun, NH2-terminal kinase activities.,Not_a_complex
9852070,s5,T28,T13,These ,TRAF, binding domains were shown to be functionally important for the ,RANK,-dependent induction of NF-kappaB and c-Jun NH2-terminal kinase activities.,Not_a_complex
9852070,s5,T13,T31,These TRAF binding domains were shown to be functionally important for the ,RANK,-dependent induction of ,NF-kappaB, and c-Jun NH2-terminal kinase activities.,Not_a_complex
9852070,s5,T28,T14,These ,TRAF, binding domains were shown to be functionally important for the RANK-dependent induction of NF-kappaB and ,c-Jun, NH2-terminal kinase activities.,Not_a_complex
9852070,s5,T31,T14,These TRAF binding domains were shown to be functionally important for the RANK-dependent induction of ,NF-kappaB, and ,c-Jun, NH2-terminal kinase activities.,Not_a_complex
9852070,s5,T28,T31,These ,TRAF, binding domains were shown to be functionally important for the RANK-dependent induction of ,NF-kappaB, and c-Jun NH2-terminal kinase activities.,Not_a_complex
9852070,s6,T29,T30,Site-directed mutagenesis demonstrated that these ,TRAF, binding sites exhibited selective binding for different ,TRAF, proteins.,Not_a_complex
