10080948,s0,T1,T2,Phosphorylation of ,TRAF2, inhibits binding to the ,CD40," cytoplasmic domain. 
",Complex_formation
10080948,s1,T3,T4,,TRAF2, is a signal transducing adaptor molecule which binds to the ,CD40, cytoplasmic domain.,Complex_formation
10080948,s4,T10,T11,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of ",TRAF2, to ,CD40,.,Complex_formation
10080948,s4,T6,T7,"Furthermore, the phosphorylation status of ",TRAF2, had significant effects on the ability of the protein to bind to ,CD40,", as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.",Complex_formation
10080948,s4,T8,T9,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the ",CD40, cytoplasmic domain interacted preferentially with underphosphorylated ,TRAF2, and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.,Complex_formation
10080948,s4,T6,T10,"Furthermore, the phosphorylation status of ",TRAF2," had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of ",TRAF2, to CD40.,Not_a_complex
10080948,s4,T6,T11,"Furthermore, the phosphorylation status of ",TRAF2," had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to ",CD40,.,Not_a_complex
10080948,s4,T6,T8,"Furthermore, the phosphorylation status of ",TRAF2," had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the ",CD40, cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.,Not_a_complex
10080948,s4,T6,T9,"Furthermore, the phosphorylation status of ",TRAF2," had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated ",TRAF2, and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.,Not_a_complex
10080948,s4,T7,T10,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to ",CD40,", as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of ",TRAF2, to CD40.,Not_a_complex
10080948,s4,T7,T11,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to ",CD40,", as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to ",CD40,.,Not_a_complex
10080948,s4,T7,T8,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to ",CD40,", as evidenced by our observations that the ",CD40, cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.,Not_a_complex
10080948,s4,T7,T9,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to ",CD40,", as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated ",TRAF2, and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.,Not_a_complex
10080948,s4,T8,T10,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the ",CD40, cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of ,TRAF2, to CD40.,Not_a_complex
10080948,s4,T8,T11,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the ",CD40, cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to ,CD40,.,Not_a_complex
10080948,s4,T9,T10,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated ",TRAF2, and that phosphatase treatment significantly enhanced the binding of ,TRAF2, to CD40.,Not_a_complex
10080948,s4,T9,T11,"Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated ",TRAF2, and that phosphatase treatment significantly enhanced the binding of TRAF2 to ,CD40,.,Not_a_complex
10080948,s5,T13,T14,We conclude from these studies that the phosphorylation of TRAF2 is likely to play an important role in regulating signaling by virtue of its ability to influence the ,CD40,-,TRAF2, interaction.,Complex_formation
10080948,s5,T12,T13,We conclude from these studies that the phosphorylation of ,TRAF2, is likely to play an important role in regulating signaling by virtue of its ability to influence the ,CD40,-TRAF2 interaction.,Not_a_complex
10080948,s5,T12,T14,We conclude from these studies that the phosphorylation of ,TRAF2, is likely to play an important role in regulating signaling by virtue of its ability to influence the CD40-,TRAF2, interaction.,Not_a_complex
