10228026,s0,T1,T2,,Thrombin,-induced ,p65," homodimer binding to downstream NF-kappa B site of the promoter mediates endothelial ICAM-1 expression and neutrophil adhesion. 
",Not_a_complex
10228026,s0,T1,T3,,Thrombin,-induced p65 homodimer binding to downstream NF-kappa B site of the promoter mediates endothelial ,ICAM-1," expression and neutrophil adhesion. 
",Not_a_complex
10228026,s0,T1,T32,,Thrombin,-induced p65 homodimer binding to downstream ,NF-kappa B," site of the promoter mediates endothelial ICAM-1 expression and neutrophil adhesion. 
",Not_a_complex
10228026,s0,T2,T3,Thrombin-induced ,p65, homodimer binding to downstream NF-kappa B site of the promoter mediates endothelial ,ICAM-1," expression and neutrophil adhesion. 
",Not_a_complex
10228026,s0,T2,T32,Thrombin-induced ,p65, homodimer binding to downstream ,NF-kappa B," site of the promoter mediates endothelial ICAM-1 expression and neutrophil adhesion. 
",Not_a_complex
10228026,s0,T32,T3,Thrombin-induced p65 homodimer binding to downstream ,NF-kappa B, site of the promoter mediates endothelial ,ICAM-1," expression and neutrophil adhesion. 
",Not_a_complex
10228026,s1,T4,T5,"We investigated the mechanisms by which proinflammatory mediator, ",thrombin,", released during intravascular coagulation and tissue injury, induces ",ICAM-1, (CD54) expression in endothelial cells.,Not_a_complex
10228026,s1,T4,T6,"We investigated the mechanisms by which proinflammatory mediator, ",thrombin,", released during intravascular coagulation and tissue injury, induces ICAM-1 (",CD54,) expression in endothelial cells.,Not_a_complex
10228026,s1,T5,T6,"We investigated the mechanisms by which proinflammatory mediator, thrombin, released during intravascular coagulation and tissue injury, induces ",ICAM-1, (,CD54,) expression in endothelial cells.,Not_a_complex
10228026,s2,T7,T8,Stimulation of HUVEC with ,thrombin, resulted in dose- and time-dependent increases in ,ICAM-1, mRNA and cell surface expression and in ICAM-1-dependent endothelial adhesivity toward polymorphonuclear leukocytes.,Not_a_complex
10228026,s2,T7,T9,Stimulation of HUVEC with ,thrombin, resulted in dose- and time-dependent increases in ICAM-1 mRNA and cell surface expression and in ,ICAM-1,-dependent endothelial adhesivity toward polymorphonuclear leukocytes.,Not_a_complex
10228026,s2,T8,T9,Stimulation of HUVEC with thrombin resulted in dose- and time-dependent increases in ,ICAM-1, mRNA and cell surface expression and in ,ICAM-1,-dependent endothelial adhesivity toward polymorphonuclear leukocytes.,Not_a_complex
10228026,s3,T10,T11,Transient transfection of endothelial cells with ,ICAM-1, promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on ,thrombin," responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T10,T12,Transient transfection of endothelial cells with ,ICAM-1," promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ",ICAM-1," promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T10,T13,Transient transfection of endothelial cells with ,ICAM-1," promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for ",thrombin, inducibility.,Not_a_complex
10228026,s3,T10,T33,Transient transfection of endothelial cells with ,ICAM-1, promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream ,NF-kappa B," site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T10,T34,Transient transfection of endothelial cells with ,ICAM-1," promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream ",NF-kappa B," site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T10,T35,Transient transfection of endothelial cells with ,ICAM-1," promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream ",NF-kappa B, site is critical for thrombin inducibility.,Not_a_complex
10228026,s3,T11,T12,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on ,thrombin," responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ",ICAM-1," promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T11,T13,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on ,thrombin," responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for ",thrombin, inducibility.,Not_a_complex
10228026,s3,T33,T11,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream ,NF-kappa B, site (-533 bases from translation start site) had no effect on ,thrombin," responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T11,T34,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on ,thrombin," responsiveness, whereas mutation/deletion of downstream ",NF-kappa B," site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
10228026,s3,T11,T35,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on ,thrombin," responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ICAM-1 promoter, indicating that the downstream ",NF-kappa B, site is critical for thrombin inducibility.,Not_a_complex
10228026,s3,T12,T13,"Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream NF-kappa B site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ",ICAM-1," promoter, indicating that the downstream NF-kappa B site is critical for ",thrombin, inducibility.,Not_a_complex
10228026,s3,T33,T12,Transient transfection of endothelial cells with ICAM-1 promoter luciferase reporter gene (ICAM-1LUC) constructs indicated that deletion of upstream ,NF-kappa B," site (-533 bases from translation start site) had no effect on thrombin responsiveness, whereas mutation/deletion of downstream NF-kappa B site (-223 bases from the translation start site) prevented the activation of ",ICAM-1," promoter, indicating that the downstream NF-kappa B site is critical for thrombin inducibility.",Not_a_complex
