10318773,s0,T27,T1,A newly identified member of ,tumor necrosis factor receptor, superfamily (,TR6,") suppresses LIGHT-mediated apoptosis. 
",Not_a_complex
10318773,s0,T1,T28,A newly identified member of tumor necrosis factor receptor superfamily (,TR6,) suppresses ,LIGHT,"-mediated apoptosis. 
",Not_a_complex
10318773,s0,T27,T28,A newly identified member of ,tumor necrosis factor receptor, superfamily (TR6) suppresses ,LIGHT,"-mediated apoptosis. 
",Not_a_complex
10318773,s1,T2,T25,,TR6, (decoy receptor 3 (DcR3)) is a new member of the tumor necrosis factor receptor (,TNFR,) family.,Not_a_complex
10318773,s1,T2,T26,,TR6, (decoy receptor 3 (DcR3)) is a new member of the ,tumor necrosis factor receptor, (TNFR) family.,Not_a_complex
10318773,s1,T2,T3,,TR6, (,decoy receptor 3, (DcR3)) is a new member of the tumor necrosis factor receptor (TNFR) family.,Not_a_complex
10318773,s1,T2,T4,,TR6, (decoy receptor 3 (,DcR3,)) is a new member of the tumor necrosis factor receptor (TNFR) family.,Not_a_complex
10318773,s1,T26,T25,TR6 (decoy receptor 3 (DcR3)) is a new member of the ,tumor necrosis factor receptor, (,TNFR,) family.,Not_a_complex
10318773,s1,T3,T25,TR6 (,decoy receptor 3, (DcR3)) is a new member of the tumor necrosis factor receptor (,TNFR,) family.,Not_a_complex
10318773,s1,T3,T26,TR6 (,decoy receptor 3, (DcR3)) is a new member of the ,tumor necrosis factor receptor, (TNFR) family.,Not_a_complex
10318773,s1,T3,T4,TR6 (,decoy receptor 3, (,DcR3,)) is a new member of the tumor necrosis factor receptor (TNFR) family.,Not_a_complex
10318773,s1,T4,T25,TR6 (decoy receptor 3 (,DcR3,)) is a new member of the tumor necrosis factor receptor (,TNFR,) family.,Not_a_complex
10318773,s1,T4,T26,TR6 (decoy receptor 3 (,DcR3,)) is a new member of the ,tumor necrosis factor receptor, (TNFR) family.,Not_a_complex
10318773,s3,T38,T39,"In addition, the expression of TR6 mRNA was shown in the endothelial cell line and induced by ",phorbol 12-myristate 13-acetate,/,ionomycin, in Jurkat T leukemia cells.,Not_a_complex
10318773,s3,T6,T38,"In addition, the expression of ",TR6, mRNA was shown in the endothelial cell line and induced by ,phorbol 12-myristate 13-acetate,/ionomycin in Jurkat T leukemia cells.,Not_a_complex
10318773,s3,T6,T39,"In addition, the expression of ",TR6, mRNA was shown in the endothelial cell line and induced by phorbol 12-myristate 13-acetate/,ionomycin, in Jurkat T leukemia cells.,Not_a_complex
10318773,s5,T8,T9,Using histidine-tagged recombinant ,TR6,", we screened soluble forms of ",TNF,-ligand proteins with immunoprecipitation.,Not_a_complex
10318773,s6,T10,T11,"Here, we demonstrate that ",TR6," specifically binds two cellular ligands, LIGHT (",herpes virus entry mediator (HVEM)-L,) and Fas ligand (FasL/CD95L).,Complex_formation
10318773,s6,T10,T13,"Here, we demonstrate that ",TR6," specifically binds two cellular ligands, LIGHT (herpes virus entry mediator (HVEM)-L) and Fas ligand (",FasL,/CD95L).,Complex_formation
10318773,s6,T10,T14,"Here, we demonstrate that ",TR6," specifically binds two cellular ligands, LIGHT (herpes virus entry mediator (HVEM)-L) and Fas ligand (FasL/",CD95L,).,Complex_formation
10318773,s6,T10,T29,"Here, we demonstrate that ",TR6," specifically binds two cellular ligands, ",LIGHT, (herpes virus entry mediator (HVEM)-L) and Fas ligand (FasL/CD95L).,Complex_formation
10318773,s6,T10,T30,"Here, we demonstrate that ",TR6," specifically binds two cellular ligands, LIGHT (herpes virus entry mediator (HVEM)-L) and ",Fas ligand, (FasL/CD95L).,Complex_formation
10318773,s6,T11,T13,"Here, we demonstrate that TR6 specifically binds two cellular ligands, LIGHT (",herpes virus entry mediator (HVEM)-L,) and Fas ligand (,FasL,/CD95L).,Not_a_complex
10318773,s6,T11,T14,"Here, we demonstrate that TR6 specifically binds two cellular ligands, LIGHT (",herpes virus entry mediator (HVEM)-L,) and Fas ligand (FasL/,CD95L,).,Not_a_complex
10318773,s6,T29,T11,"Here, we demonstrate that TR6 specifically binds two cellular ligands, ",LIGHT, (,herpes virus entry mediator (HVEM)-L,) and Fas ligand (FasL/CD95L).,Not_a_complex
10318773,s6,T11,T30,"Here, we demonstrate that TR6 specifically binds two cellular ligands, LIGHT (",herpes virus entry mediator (HVEM)-L,) and ,Fas ligand, (FasL/CD95L).,Not_a_complex
10318773,s6,T13,T14,"Here, we demonstrate that TR6 specifically binds two cellular ligands, LIGHT (herpes virus entry mediator (HVEM)-L) and Fas ligand (",FasL,/,CD95L,).,Not_a_complex
10318773,s6,T29,T13,"Here, we demonstrate that TR6 specifically binds two cellular ligands, ",LIGHT, (herpes virus entry mediator (HVEM)-L) and Fas ligand (,FasL,/CD95L).,Not_a_complex
10318773,s6,T30,T13,"Here, we demonstrate that TR6 specifically binds two cellular ligands, LIGHT (herpes virus entry mediator (HVEM)-L) and ",Fas ligand, (,FasL,/CD95L).,Not_a_complex
10318773,s6,T29,T14,"Here, we demonstrate that TR6 specifically binds two cellular ligands, ",LIGHT, (herpes virus entry mediator (HVEM)-L) and Fas ligand (FasL/,CD95L,).,Not_a_complex
10318773,s6,T30,T14,"Here, we demonstrate that TR6 specifically binds two cellular ligands, LIGHT (herpes virus entry mediator (HVEM)-L) and ",Fas ligand, (FasL/,CD95L,).,Not_a_complex
10318773,s6,T29,T30,"Here, we demonstrate that TR6 specifically binds two cellular ligands, ",LIGHT, (herpes virus entry mediator (HVEM)-L) and ,Fas ligand, (FasL/CD95L).,Not_a_complex
10318773,s8,T15,T32,,TR6, inhibited ,LIGHT,-induced cytotoxicity in HT29 cells.,Not_a_complex
10318773,s9,T16,T17,It has been shown that LIGHT triggers apoptosis of various tumor cells including HT29 cells that express both ,lymphotoxin beta receptor, (,LTbetaR,) and HVEM/TR2 receptors.,Not_a_complex
10318773,s9,T16,T18,It has been shown that LIGHT triggers apoptosis of various tumor cells including HT29 cells that express both ,lymphotoxin beta receptor, (LTbetaR) and ,HVEM,/TR2 receptors.,Not_a_complex
10318773,s9,T16,T19,It has been shown that LIGHT triggers apoptosis of various tumor cells including HT29 cells that express both ,lymphotoxin beta receptor, (LTbetaR) and HVEM/,TR2, receptors.,Not_a_complex
10318773,s9,T33,T16,It has been shown that ,LIGHT, triggers apoptosis of various tumor cells including HT29 cells that express both ,lymphotoxin beta receptor, (LTbetaR) and HVEM/TR2 receptors.,Not_a_complex
10318773,s9,T17,T18,It has been shown that LIGHT triggers apoptosis of various tumor cells including HT29 cells that express both lymphotoxin beta receptor (,LTbetaR,) and ,HVEM,/TR2 receptors.,Not_a_complex
10318773,s9,T17,T19,It has been shown that LIGHT triggers apoptosis of various tumor cells including HT29 cells that express both lymphotoxin beta receptor (,LTbetaR,) and HVEM/,TR2, receptors.,Not_a_complex
10318773,s9,T33,T17,It has been shown that ,LIGHT, triggers apoptosis of various tumor cells including HT29 cells that express both lymphotoxin beta receptor (,LTbetaR,) and HVEM/TR2 receptors.,Not_a_complex
10318773,s9,T18,T19,It has been shown that LIGHT triggers apoptosis of various tumor cells including HT29 cells that express both lymphotoxin beta receptor (LTbetaR) and ,HVEM,/,TR2, receptors.,Not_a_complex
10318773,s9,T33,T18,It has been shown that ,LIGHT, triggers apoptosis of various tumor cells including HT29 cells that express both lymphotoxin beta receptor (LTbetaR) and ,HVEM,/TR2 receptors.,Not_a_complex
10318773,s9,T33,T19,It has been shown that ,LIGHT, triggers apoptosis of various tumor cells including HT29 cells that express both lymphotoxin beta receptor (LTbetaR) and HVEM/,TR2, receptors.,Not_a_complex
10318773,s10,T34,T21,Our data suggest that TR6 inhibits the interactions of ,LIGHT, with ,HVEM,"/TR2 and LTbetaR, thereby suppressing LIGHT- mediated HT29 cell death.",Complex_formation
10318773,s10,T34,T22,Our data suggest that TR6 inhibits the interactions of ,LIGHT, with HVEM/,TR2," and LTbetaR, thereby suppressing LIGHT- mediated HT29 cell death.",Complex_formation
10318773,s10,T34,T23,Our data suggest that TR6 inhibits the interactions of ,LIGHT, with HVEM/TR2 and ,LTbetaR,", thereby suppressing LIGHT- mediated HT29 cell death.",Complex_formation
10318773,s10,T20,T21,Our data suggest that ,TR6, inhibits the interactions of LIGHT with ,HVEM,"/TR2 and LTbetaR, thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T20,T22,Our data suggest that ,TR6, inhibits the interactions of LIGHT with HVEM/,TR2," and LTbetaR, thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T20,T23,Our data suggest that ,TR6, inhibits the interactions of LIGHT with HVEM/TR2 and ,LTbetaR,", thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T20,T34,Our data suggest that ,TR6, inhibits the interactions of ,LIGHT," with HVEM/TR2 and LTbetaR, thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T20,T35,Our data suggest that ,TR6," inhibits the interactions of LIGHT with HVEM/TR2 and LTbetaR, thereby suppressing ",LIGHT,- mediated HT29 cell death.,Not_a_complex
10318773,s10,T21,T22,Our data suggest that TR6 inhibits the interactions of LIGHT with ,HVEM,/,TR2," and LTbetaR, thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T21,T23,Our data suggest that TR6 inhibits the interactions of LIGHT with ,HVEM,/TR2 and ,LTbetaR,", thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T21,T35,Our data suggest that TR6 inhibits the interactions of LIGHT with ,HVEM,"/TR2 and LTbetaR, thereby suppressing ",LIGHT,- mediated HT29 cell death.,Not_a_complex
10318773,s10,T22,T23,Our data suggest that TR6 inhibits the interactions of LIGHT with HVEM/,TR2, and ,LTbetaR,", thereby suppressing LIGHT- mediated HT29 cell death.",Not_a_complex
10318773,s10,T22,T35,Our data suggest that TR6 inhibits the interactions of LIGHT with HVEM/,TR2," and LTbetaR, thereby suppressing ",LIGHT,- mediated HT29 cell death.,Not_a_complex
10318773,s10,T23,T35,Our data suggest that TR6 inhibits the interactions of LIGHT with HVEM/TR2 and ,LTbetaR,", thereby suppressing ",LIGHT,- mediated HT29 cell death.,Not_a_complex
10318773,s10,T34,T35,Our data suggest that TR6 inhibits the interactions of ,LIGHT," with HVEM/TR2 and LTbetaR, thereby suppressing ",LIGHT,- mediated HT29 cell death.,Not_a_complex
10318773,s11,T24,T36,"Thus, ",TR6, may play a regulatory role for suppressing in ,FasL,"- and LIGHT-mediated cell death. 
",Not_a_complex
10318773,s11,T24,T37,"Thus, ",TR6, may play a regulatory role for suppressing in FasL- and ,LIGHT,"-mediated cell death. 
",Not_a_complex
10318773,s11,T36,T37,"Thus, TR6 may play a regulatory role for suppressing in ",FasL,- and ,LIGHT,"-mediated cell death. 
",Not_a_complex
