10330189,s0,T1,T2,Nuclear localization and formation of ,beta-catenin,-,lymphoid enhancer factor 1," complexes are not sufficient for activation of gene expression. 
",Complex_formation
10330189,s1,T3,T19,"In response to activation of the Wnt signaling pathway, ",beta-catenin," accumulates in the nucleus, where it cooperates with ",LEF/TCF, (for lymphoid enhancer factor and T-cell factor) transcription factors to activate gene expression.,Complex_formation
10330189,s1,T3,T26,"In response to activation of the Wnt signaling pathway, ",beta-catenin," accumulates in the nucleus, where it cooperates with LEF/TCF (for ",lymphoid enhancer factor and T-cell factor,) transcription factors to activate gene expression.,Complex_formation
10330189,s1,T20,T19,In response to activation of the ,Wnt," signaling pathway, beta-catenin accumulates in the nucleus, where it cooperates with ",LEF/TCF, (for lymphoid enhancer factor and T-cell factor) transcription factors to activate gene expression.,Not_a_complex
10330189,s1,T19,T26,"In response to activation of the Wnt signaling pathway, beta-catenin accumulates in the nucleus, where it cooperates with ",LEF/TCF, (for ,lymphoid enhancer factor and T-cell factor,) transcription factors to activate gene expression.,Not_a_complex
10330189,s1,T20,T26,In response to activation of the ,Wnt," signaling pathway, beta-catenin accumulates in the nucleus, where it cooperates with LEF/TCF (for ",lymphoid enhancer factor and T-cell factor,) transcription factors to activate gene expression.,Not_a_complex
10330189,s1,T20,T3,In response to activation of the ,Wnt," signaling pathway, ",beta-catenin," accumulates in the nucleus, where it cooperates with LEF/TCF (for lymphoid enhancer factor and T-cell factor) transcription factors to activate gene expression.",Not_a_complex
10330189,s3,T5,T21,We demonstrate here that ,beta-catenin, can be imported into the nucleus independently of ,LEF/TCF," binding, and it may also be exported from nuclei.",Complex_formation
10330189,s4,T6,T10,We have introduced a small deletion within ,beta-catenin," (Delta19) that disrupts binding to LEF-1, E-cadherin, and APC but not ",axin,.,Complex_formation
10330189,s4,T6,T7,We have introduced a small deletion within ,beta-catenin, (Delta19) that disrupts binding to ,LEF-1,", E-cadherin, and APC but not axin.",Complex_formation
10330189,s4,T6,T8,We have introduced a small deletion within ,beta-catenin," (Delta19) that disrupts binding to LEF-1, ",E-cadherin,", and APC but not axin.",Complex_formation
10330189,s4,T6,T9,We have introduced a small deletion within ,beta-catenin," (Delta19) that disrupts binding to LEF-1, E-cadherin, and ",APC, but not axin.,Complex_formation
10330189,s4,T7,T10,We have introduced a small deletion within beta-catenin (Delta19) that disrupts binding to ,LEF-1,", E-cadherin, and APC but not ",axin,.,Not_a_complex
10330189,s4,T7,T8,We have introduced a small deletion within beta-catenin (Delta19) that disrupts binding to ,LEF-1,", ",E-cadherin,", and APC but not axin.",Not_a_complex
10330189,s4,T7,T9,We have introduced a small deletion within beta-catenin (Delta19) that disrupts binding to ,LEF-1,", E-cadherin, and ",APC, but not axin.,Not_a_complex
10330189,s4,T8,T10,"We have introduced a small deletion within beta-catenin (Delta19) that disrupts binding to LEF-1, ",E-cadherin,", and APC but not ",axin,.,Not_a_complex
10330189,s4,T8,T9,"We have introduced a small deletion within beta-catenin (Delta19) that disrupts binding to LEF-1, ",E-cadherin,", and ",APC, but not axin.,Not_a_complex
10330189,s4,T9,T10,"We have introduced a small deletion within beta-catenin (Delta19) that disrupts binding to LEF-1, E-cadherin, and ",APC, but not ,axin,.,Not_a_complex
10330189,s6,T12,T23,The nuclear localization of Delta19 definitively demonstrates that the mechanisms by which ,beta-catenin, localizes in the nucleus are completely independent of ,LEF/TCF, factors.,Not_a_complex
10330189,s7,T13,T14,,beta-Catenin, and ,LEF-1," complexes can activate reporter gene expression in a transformed T-lymphocyte cell line (Jurkat) but not in normal T lymphocytes, even though both factors are nuclear.",Complex_formation
10330189,s9,T16,T17,Excess beta-catenin can squelch reporter gene activation by ,LEF-1,-,beta-catenin, complexes but not activation by the transcription factor VP16.,Complex_formation
10330189,s9,T15,T16,Excess ,beta-catenin, can squelch reporter gene activation by ,LEF-1,-beta-catenin complexes but not activation by the transcription factor VP16.,Not_a_complex
10330189,s9,T15,T17,Excess ,beta-catenin, can squelch reporter gene activation by LEF-1-,beta-catenin, complexes but not activation by the transcription factor VP16.,Not_a_complex
10330189,s9,T15,T18,Excess ,beta-catenin, can squelch reporter gene activation by LEF-1-beta-catenin complexes but not activation by the transcription factor ,VP16,.,Not_a_complex
10330189,s9,T16,T18,Excess beta-catenin can squelch reporter gene activation by ,LEF-1,-beta-catenin complexes but not activation by the transcription factor ,VP16,.,Not_a_complex
10330189,s9,T17,T18,Excess beta-catenin can squelch reporter gene activation by LEF-1-,beta-catenin, complexes but not activation by the transcription factor ,VP16,.,Not_a_complex
