10446999,s0,T1,T7,Induction of a functional ,vitamin D receptor, in ,all-trans-retinoic acid,"-induced monocytic differentiation of M2-type leukemic blast cells. 
",Not_a_complex
10446999,s1,T10,T11,Different types of acute myeloid leukemia blast cells were induced to differentiate in vitro with all-trans-retinoic acid (ATRA) and ,vitamin D3, (,VD,).,Not_a_complex
10446999,s1,T8,T10,Different types of acute myeloid leukemia blast cells were induced to differentiate in vitro with ,all-trans-retinoic acid, (ATRA) and ,vitamin D3, (VD).,Not_a_complex
10446999,s1,T8,T11,Different types of acute myeloid leukemia blast cells were induced to differentiate in vitro with ,all-trans-retinoic acid, (ATRA) and vitamin D3 (,VD,).,Not_a_complex
10446999,s1,T8,T9,Different types of acute myeloid leukemia blast cells were induced to differentiate in vitro with ,all-trans-retinoic acid, (,ATRA,) and vitamin D3 (VD).,Not_a_complex
10446999,s1,T9,T10,Different types of acute myeloid leukemia blast cells were induced to differentiate in vitro with all-trans-retinoic acid (,ATRA,) and ,vitamin D3, (VD).,Not_a_complex
10446999,s1,T9,T11,Different types of acute myeloid leukemia blast cells were induced to differentiate in vitro with all-trans-retinoic acid (,ATRA,) and vitamin D3 (,VD,).,Not_a_complex
10446999,s2,T12,T13,"M0/M1 leukemic cells are not sensitive to differentiating agents, whereas M3 leukemic cells are induced to undergo granulocytic differentiation after ",ATRA, treatment but are not sensitive to ,VD,.,Not_a_complex
10446999,s4,T14,T15,"To gain some insight into the maturation of M2-type leukemic cells, we studied the molecular mechanisms underlying monocytic differentiation induced by ",ATRA, and ,VD, in spontaneous M2 blast cells as well as in Kasumi-1 cells (an acute myeloid leukemia M2-type cell line).,Not_a_complex
10446999,s5,T17,T16,Our results indicate that ,ATRA, as well as ,VD, efficiently increases the nuclear abundance of VD receptor (VDR) and promotes monocytic differentiation.,Not_a_complex
10446999,s5,T16,T2,Our results indicate that ATRA as well as ,VD, efficiently increases the nuclear abundance of ,VD receptor, (VDR) and promotes monocytic differentiation.,Not_a_complex
10446999,s5,T17,T2,Our results indicate that ,ATRA, as well as VD efficiently increases the nuclear abundance of ,VD receptor, (VDR) and promotes monocytic differentiation.,Not_a_complex
10446999,s5,T2,T3,Our results indicate that ATRA as well as VD efficiently increases the nuclear abundance of ,VD receptor, (,VDR,) and promotes monocytic differentiation.,Not_a_complex
10446999,s5,T16,T3,Our results indicate that ATRA as well as ,VD, efficiently increases the nuclear abundance of VD receptor (,VDR,) and promotes monocytic differentiation.,Not_a_complex
10446999,s5,T17,T3,Our results indicate that ,ATRA, as well as VD efficiently increases the nuclear abundance of VD receptor (,VDR,) and promotes monocytic differentiation.,Not_a_complex
10446999,s6,T4,T5,,VDR, is functionally active in ATRA-treated Kasumi-1 cells because it efficiently heterodimerizes with ,retinoid X receptor,", binds to a DR3-type vitamin D-responsive element, and activates the transcription of a vitamin D-responsive element-regulated reporter gene.",Complex_formation
10446999,s6,T18,T19,VDR is functionally active in ,ATRA,"-treated Kasumi-1 cells because it efficiently heterodimerizes with retinoid X receptor, binds to a DR3-type ",vitamin D,"-responsive element, and activates the transcription of a vitamin D-responsive element-regulated reporter gene.",Not_a_complex
10446999,s6,T18,T20,VDR is functionally active in ,ATRA,"-treated Kasumi-1 cells because it efficiently heterodimerizes with retinoid X receptor, binds to a DR3-type vitamin D-responsive element, and activates the transcription of a ",vitamin D,-responsive element-regulated reporter gene.,Not_a_complex
10446999,s6,T19,T20,"VDR is functionally active in ATRA-treated Kasumi-1 cells because it efficiently heterodimerizes with retinoid X receptor, binds to a DR3-type ",vitamin D,"-responsive element, and activates the transcription of a ",vitamin D,-responsive element-regulated reporter gene.,Not_a_complex
10446999,s6,T4,T18,,VDR, is functionally active in ,ATRA,"-treated Kasumi-1 cells because it efficiently heterodimerizes with retinoid X receptor, binds to a DR3-type vitamin D-responsive element, and activates the transcription of a vitamin D-responsive element-regulated reporter gene.",Not_a_complex
10446999,s6,T4,T19,,VDR," is functionally active in ATRA-treated Kasumi-1 cells because it efficiently heterodimerizes with retinoid X receptor, binds to a DR3-type ",vitamin D,"-responsive element, and activates the transcription of a vitamin D-responsive element-regulated reporter gene.",Not_a_complex
10446999,s6,T4,T20,,VDR," is functionally active in ATRA-treated Kasumi-1 cells because it efficiently heterodimerizes with retinoid X receptor, binds to a DR3-type vitamin D-responsive element, and activates the transcription of a ",vitamin D,-responsive element-regulated reporter gene.,Not_a_complex
10446999,s6,T18,T5,VDR is functionally active in ,ATRA,-treated Kasumi-1 cells because it efficiently heterodimerizes with ,retinoid X receptor,", binds to a DR3-type vitamin D-responsive element, and activates the transcription of a vitamin D-responsive element-regulated reporter gene.",Not_a_complex
10446999,s6,T5,T19,VDR is functionally active in ATRA-treated Kasumi-1 cells because it efficiently heterodimerizes with ,retinoid X receptor,", binds to a DR3-type ",vitamin D,"-responsive element, and activates the transcription of a vitamin D-responsive element-regulated reporter gene.",Not_a_complex
10446999,s6,T5,T20,VDR is functionally active in ATRA-treated Kasumi-1 cells because it efficiently heterodimerizes with ,retinoid X receptor,", binds to a DR3-type vitamin D-responsive element, and activates the transcription of a ",vitamin D,-responsive element-regulated reporter gene.,Not_a_complex
10446999,s7,T21,T22,"Consistent with these findings, ",VD,-responsive genes are induced by ,ATRA," treatment of Kasumi-1 cells, suggesting that the genetic program underlying monocytic differentiation is activated.",Not_a_complex
10446999,s8,T23,T6,The molecular mechanism by which ,ATRA, increases the nuclear abundance of a functional ,VDR," is still unknown, but our data clearly indicate that the M2 leukemic cell context is only permissive of monocytic differentiation.",Not_a_complex
