10598587,s0,T1,T7,Effect of ligand and DNA binding on the interaction between ,human transcription intermediary factor 1alpha, and ,estrogen receptors,". 
",Complex_formation
10598587,s3,T8,T10,"In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between ",estrogen receptors, (ERs) and the ,transcription intermediary factor hTIF1alpha, (human transcriptional intermediary factor 1alpha).,Complex_formation
10598587,s3,T8,T11,"In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between ",estrogen receptors, (ERs) and the transcription intermediary factor hTIF1alpha (,human transcriptional intermediary factor 1alpha,).,Complex_formation
10598587,s3,T9,T10,"In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (",ERs,) and the ,transcription intermediary factor hTIF1alpha, (human transcriptional intermediary factor 1alpha).,Complex_formation
10598587,s3,T9,T11,"In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (",ERs,) and the transcription intermediary factor hTIF1alpha (,human transcriptional intermediary factor 1alpha,).,Complex_formation
10598587,s3,T10,T11,"In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between estrogen receptors (ERs) and the ",transcription intermediary factor hTIF1alpha, (,human transcriptional intermediary factor 1alpha,).,Not_a_complex
10598587,s3,T8,T9,"In the present study, we have investigated how ligand and DNA binding influence the in vitro interaction between ",estrogen receptors, (,ERs,) and the transcription intermediary factor hTIF1alpha (human transcriptional intermediary factor 1alpha).,Not_a_complex
10598587,s7,T12,T2,We demonstrated that the leucine-charged domain of ,hTIF1alpha, is sufficient to interact with ERE-bound ,ERalpha, in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with TIF1alpha.,Complex_formation
10598587,s7,T3,T4,We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ,ERalpha, onto DNA does not significantly affect its hormone-dependent association with ,TIF1alpha,.,Complex_formation
10598587,s7,T2,T3,We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ,ERalpha, in a ligand-dependent manner and showed that binding of ,ERalpha, onto DNA does not significantly affect its hormone-dependent association with TIF1alpha.,Not_a_complex
10598587,s7,T2,T4,We demonstrated that the leucine-charged domain of hTIF1alpha is sufficient to interact with ERE-bound ,ERalpha, in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with ,TIF1alpha,.,Not_a_complex
10598587,s7,T12,T3,We demonstrated that the leucine-charged domain of ,hTIF1alpha, is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ,ERalpha, onto DNA does not significantly affect its hormone-dependent association with TIF1alpha.,Not_a_complex
10598587,s7,T12,T4,We demonstrated that the leucine-charged domain of ,hTIF1alpha, is sufficient to interact with ERE-bound ERalpha in a ligand-dependent manner and showed that binding of ERalpha onto DNA does not significantly affect its hormone-dependent association with ,TIF1alpha,.,Not_a_complex
10598587,s8,T13,T5,"Finally, we show that, mainly in the absence of hormone, ",hTIF1alpha, interacts better with ,ERbeta," than with ERalpha independently of the presence of ERE. 
",Complex_formation
10598587,s8,T13,T6,"Finally, we show that, mainly in the absence of hormone, ",hTIF1alpha, interacts better with ERbeta than with ,ERalpha," independently of the presence of ERE. 
",Complex_formation
10598587,s8,T5,T6,"Finally, we show that, mainly in the absence of hormone, hTIF1alpha interacts better with ",ERbeta, than with ,ERalpha," independently of the presence of ERE. 
",Not_a_complex
