10831604_18,s0,T1,T10,The finding that ,JIL-1, associates with the ,MSL, complex is based on physical interaction assays such as coimmunoprecipitation and GST pull-down experiments.,Complex_formation
10831604_18,s0,T1,T14,The finding that ,JIL-1, associates with the MSL complex is based on physical interaction assays such as coimmunoprecipitation and ,GST, pull-down experiments.,Not_a_complex
10831604_18,s0,T10,T14,The finding that JIL-1 associates with the ,MSL, complex is based on physical interaction assays such as coimmunoprecipitation and ,GST, pull-down experiments.,Not_a_complex
10831604_18,s1,T2,T11,These approaches require a fairly stable interaction between ,JIL-1, and the ,MSL, complex making it unlikely that this association depends on the presence of the roX RNAs.,Complex_formation
10831604_18,s2,T12,T13,This is in contrast to the MLE product that is not found as part of the ,MSL," complex during chromatographic separation (Copps et al. 1998), a finding consistent with it being the only one of the known ",MSL, complex proteins to be lost from the male X chromosomes upon treatment with RNase (Richter et al. 1996).,Not_a_complex
10831604_18,s2,T4,T12,This is in contrast to the ,MLE, product that is not found as part of the ,MSL," complex during chromatographic separation (Copps et al. 1998), a finding consistent with it being the only one of the known MSL complex proteins to be lost from the male X chromosomes upon treatment with RNase (Richter et al. 1996).",Not_a_complex
10831604_18,s2,T4,T13,This is in contrast to the ,MLE," product that is not found as part of the MSL complex during chromatographic separation (Copps et al. 1998), a finding consistent with it being the only one of the known ",MSL, complex proteins to be lost from the male X chromosomes upon treatment with RNase (Richter et al. 1996).,Not_a_complex
10831604_18,s3,T5,T15,"Moreover, the finding that addition of GST-",JIL-1, fusion protein to S2 cell extracts can be used to pull down the ,MSL, complex indicates that this association can occur in vitro and suggests that the JIL-1 kinase can interact with the preassembled MSL complex.,Complex_formation
10831604_18,s3,T6,T16,"Moreover, the finding that addition of GST-JIL-1 fusion protein to S2 cell extracts can be used to pull down the MSL complex indicates that this association can occur in vitro and suggests that the ",JIL-1 kinase, can interact with the preassembled ,MSL, complex.,Complex_formation
10831604_18,s3,T15,T16,"Moreover, the finding that addition of GST-JIL-1 fusion protein to S2 cell extracts can be used to pull down the ",MSL, complex indicates that this association can occur in vitro and suggests that the JIL-1 kinase can interact with the preassembled ,MSL, complex.,Not_a_complex
10831604_18,s3,T19,T15,"Moreover, the finding that addition of ",GST,-JIL-1 fusion protein to S2 cell extracts can be used to pull down the ,MSL, complex indicates that this association can occur in vitro and suggests that the JIL-1 kinase can interact with the preassembled MSL complex.,Not_a_complex
10831604_18,s3,T19,T16,"Moreover, the finding that addition of ",GST,-JIL-1 fusion protein to S2 cell extracts can be used to pull down the MSL complex indicates that this association can occur in vitro and suggests that the JIL-1 kinase can interact with the preassembled ,MSL, complex.,Not_a_complex
