11337495,s0,T7,T37,Tyrosine phosphorylation of ,p85, relieves its inhibitory activity on ,phosphatidylinositol 3-kinase,". 
",Not_a_complex
11337495,s1,T10,T11,"Under resting conditions, the p85 regulatory subunit of phosphatidylinositol 3-kinase (",PI3K,) serves to both stabilize and inactivate the ,p110, catalytic subunit.,Not_a_complex
11337495,s1,T8,T10,"Under resting conditions, the ",p85, regulatory subunit of phosphatidylinositol 3-kinase (,PI3K,) serves to both stabilize and inactivate the p110 catalytic subunit.,Not_a_complex
11337495,s1,T8,T11,"Under resting conditions, the ",p85, regulatory subunit of phosphatidylinositol 3-kinase (PI3K) serves to both stabilize and inactivate the ,p110, catalytic subunit.,Not_a_complex
11337495,s1,T8,T9,"Under resting conditions, the ",p85, regulatory subunit of ,phosphatidylinositol 3-kinase, (PI3K) serves to both stabilize and inactivate the p110 catalytic subunit.,Not_a_complex
11337495,s1,T9,T10,"Under resting conditions, the p85 regulatory subunit of ",phosphatidylinositol 3-kinase, (,PI3K,) serves to both stabilize and inactivate the p110 catalytic subunit.,Not_a_complex
11337495,s1,T9,T11,"Under resting conditions, the p85 regulatory subunit of ",phosphatidylinositol 3-kinase, (PI3K) serves to both stabilize and inactivate the ,p110, catalytic subunit.,Not_a_complex
11337495,s2,T12,T13,The inhibitory activity of ,p85, is relieved by occupancy of the NH(2)-terminal SH2 domain of ,p85, by phosphorylated tyrosine.,Not_a_complex
11337495,s3,T15,T16,"Src family kinases phosphorylate tyrosine 688 in p85, a process that we have shown to be reversed by the activity of the ",p85,-associated SH2 domain-containing phosphatase ,SHP1,.,Complex_formation
11337495,s3,T14,T15,,Src," family kinases phosphorylate tyrosine 688 in p85, a process that we have shown to be reversed by the activity of the ",p85,-associated SH2 domain-containing phosphatase SHP1.,Not_a_complex
11337495,s3,T14,T16,,Src," family kinases phosphorylate tyrosine 688 in p85, a process that we have shown to be reversed by the activity of the p85-associated SH2 domain-containing phosphatase ",SHP1,.,Not_a_complex
11337495,s3,T14,T38,,Src, family kinases phosphorylate tyrosine 688 in ,p85,", a process that we have shown to be reversed by the activity of the p85-associated SH2 domain-containing phosphatase SHP1.",Not_a_complex
