11340081,s0,T24,T25,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the N-WASP-",Arp2,/,3," pathway. 
",Complex_formation
11340081,s0,T1,T2,,Nck," and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the ",N-WASP,"-Arp2/3 pathway. 
",Not_a_complex
11340081,s0,T1,T24,,Nck," and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the N-WASP-",Arp2,"/3 pathway. 
",Not_a_complex
11340081,s0,T1,T25,,Nck," and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the N-WASP-Arp2/",3," pathway. 
",Not_a_complex
11340081,s0,T1,T26,,Nck," and phosphatidylinositol 4,5-bisphosphate synergistically activate ",actin," polymerization through the N-WASP-Arp2/3 pathway. 
",Not_a_complex
11340081,s0,T1,T36,,Nck, and ,"phosphatidylinositol 4,5-bisphosphate"," synergistically activate actin polymerization through the N-WASP-Arp2/3 pathway. 
",Not_a_complex
11340081,s0,T2,T24,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the ",N-WASP,-,Arp2,"/3 pathway. 
",Not_a_complex
11340081,s0,T2,T25,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the ",N-WASP,-Arp2/,3," pathway. 
",Not_a_complex
11340081,s0,T26,T2,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate ",actin, polymerization through the ,N-WASP,"-Arp2/3 pathway. 
",Not_a_complex
11340081,s0,T36,T2,Nck and ,"phosphatidylinositol 4,5-bisphosphate", synergistically activate actin polymerization through the ,N-WASP,"-Arp2/3 pathway. 
",Not_a_complex
11340081,s0,T26,T24,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate ",actin, polymerization through the N-WASP-,Arp2,"/3 pathway. 
",Not_a_complex
11340081,s0,T36,T24,Nck and ,"phosphatidylinositol 4,5-bisphosphate", synergistically activate actin polymerization through the N-WASP-,Arp2,"/3 pathway. 
",Not_a_complex
11340081,s0,T26,T25,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate ",actin, polymerization through the N-WASP-Arp2/,3," pathway. 
",Not_a_complex
11340081,s0,T36,T25,Nck and ,"phosphatidylinositol 4,5-bisphosphate", synergistically activate actin polymerization through the N-WASP-Arp2/,3," pathway. 
",Not_a_complex
11340081,s0,T36,T26,Nck and ,"phosphatidylinositol 4,5-bisphosphate", synergistically activate ,actin," polymerization through the N-WASP-Arp2/3 pathway. 
",Not_a_complex
11340081,s1,T27,T28,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,/,3," complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T3,T27,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,"/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T3,T28,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/,3," complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T37,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin, filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Complex_formation
11340081,s1,T4,T27,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,"/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T4,T28,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/,3," complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T5,T27,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,"/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T5,T28,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/,3," complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T6,T27,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (,N-WASP,) regulate the nucleation of actin filaments through their interaction with the ,Arp2,"/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T6,T28,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (,N-WASP,) regulate the nucleation of actin filaments through their interaction with the Arp2/,3," complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T37,T7,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin, filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T41,T7,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Complex_formation
11340081,s1,T37,T27,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin, filaments through their interaction with the ,Arp2,"/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T27,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T27,T41,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,/3 complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T37,T28,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin, filaments through their interaction with the Arp2/,3," complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T28,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/,3, complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T28,T41,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/,3, complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T3,T37,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin," filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T3,T38,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T3,T4,The ,Wiskott-Aldrich syndrome protein, (,WASP,") and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T3,T41,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T3,T5,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative ,neural WASP," (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T3,T6,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (,N-WASP,") regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T3,T7,The ,Wiskott-Aldrich syndrome protein, (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T37,T41,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin, filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T41,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T4,T37,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (N-WASP) regulate the nucleation of ,actin," filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T4,T38,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T4,T41,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T4,T5,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative ,neural WASP," (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T4,T6,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (,N-WASP,") regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T4,T7,The Wiskott-Aldrich syndrome protein (,WASP,) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T5,T37,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (N-WASP) regulate the nucleation of ,actin," filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T5,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T5,T41,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T5,T6,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (,N-WASP,") regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T5,T7,The Wiskott-Aldrich syndrome protein (WASP) and its relative ,neural WASP, (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T6,T37,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (,N-WASP,) regulate the nucleation of ,actin," filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T6,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (,N-WASP,) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound Cdc42 and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s1,T6,T41,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (,N-WASP,) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to ,GTP,"-bound Cdc42 and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T6,T7,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (,N-WASP,) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T27,T7,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the ,Arp2,/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T28,T7,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/,3, complex and are regulated in turn by binding to GTP-bound ,Cdc42," and phosphatidylinositol 4,5-bisphosphate.",Not_a_complex
11340081,s1,T7,T38,The Wiskott-Aldrich syndrome protein (WASP) and its relative neural WASP (N-WASP) regulate the nucleation of actin filaments through their interaction with the Arp2/3 complex and are regulated in turn by binding to GTP-bound ,Cdc42, and ,"phosphatidylinositol 4,5-bisphosphate",.,Not_a_complex
11340081,s2,T8,T10,The ,Nck, Src homology (SH) 2/3 adaptor binds via its SH3 domains to a proline-rich region on ,WASP, and N-WASP and has been implicated in recruitment of these proteins to sites of tyrosine phosphorylation.,Complex_formation
11340081,s2,T8,T11,The ,Nck, Src homology (SH) 2/3 adaptor binds via its SH3 domains to a proline-rich region on WASP and ,N-WASP, and has been implicated in recruitment of these proteins to sites of tyrosine phosphorylation.,Complex_formation
11340081,s2,T9,T10,The Nck ,Src homology (SH) 2/3 adaptor, binds via its SH3 domains to a proline-rich region on ,WASP, and N-WASP and has been implicated in recruitment of these proteins to sites of tyrosine phosphorylation.,Complex_formation
11340081,s2,T9,T11,The Nck ,Src homology (SH) 2/3 adaptor, binds via its SH3 domains to a proline-rich region on WASP and ,N-WASP, and has been implicated in recruitment of these proteins to sites of tyrosine phosphorylation.,Complex_formation
11340081,s2,T10,T11,The Nck Src homology (SH) 2/3 adaptor binds via its SH3 domains to a proline-rich region on ,WASP, and ,N-WASP, and has been implicated in recruitment of these proteins to sites of tyrosine phosphorylation.,Not_a_complex
11340081,s2,T8,T9,The ,Nck, ,Src homology (SH) 2/3 adaptor, binds via its SH3 domains to a proline-rich region on WASP and N-WASP and has been implicated in recruitment of these proteins to sites of tyrosine phosphorylation.,Not_a_complex
11340081,s3,T30,T31,We show here that Nck SH3 domains dramatically stimulate the rate of nucleation of actin filaments by purified N-WASP in the presence of ,Arp2,/,3, in vitro.,Complex_formation
11340081,s3,T12,T13,We show here that ,Nck, SH3 domains dramatically stimulate the rate of nucleation of actin filaments by purified ,N-WASP, in the presence of Arp2/3 in vitro.,Not_a_complex
11340081,s3,T12,T29,We show here that ,Nck, SH3 domains dramatically stimulate the rate of nucleation of ,actin, filaments by purified N-WASP in the presence of Arp2/3 in vitro.,Not_a_complex
11340081,s3,T12,T30,We show here that ,Nck, SH3 domains dramatically stimulate the rate of nucleation of actin filaments by purified N-WASP in the presence of ,Arp2,/3 in vitro.,Not_a_complex
