11434923,s0,T17,T1,,Rat protein tyrosine phosphatase eta, physically interacts with the PDZ domains of ,syntenin,". 
",Complex_formation
11434923,s2,T3,T4,To identify ,r-PTPeta," interacting proteins, a yeast two-hybrid screening was performed and an insert corresponding to the full-length ",syntenin, cDNA was isolated.,Not_a_complex
11434923,s3,T5,T18,It encodes a protein containing two PDZ domains that mediates the binding of ,syntenin," to proteins such as syndecan, ",proTGF-alpha,", beta-ephrins and neurofascin.",Complex_formation
11434923,s3,T5,T6,It encodes a protein containing two PDZ domains that mediates the binding of ,syntenin, to proteins such as ,syndecan,", proTGF-alpha, beta-ephrins and neurofascin.",Complex_formation
11434923,s3,T5,T7,It encodes a protein containing two PDZ domains that mediates the binding of ,syntenin," to proteins such as syndecan, proTGF-alpha, ",beta-ephrins, and neurofascin.,Complex_formation
11434923,s3,T5,T8,It encodes a protein containing two PDZ domains that mediates the binding of ,syntenin," to proteins such as syndecan, proTGF-alpha, beta-ephrins and ",neurofascin,.,Complex_formation
11434923,s3,T6,T18,It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as ,syndecan,", ",proTGF-alpha,", beta-ephrins and neurofascin.",Not_a_complex
11434923,s3,T6,T7,It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as ,syndecan,", proTGF-alpha, ",beta-ephrins, and neurofascin.,Not_a_complex
11434923,s3,T6,T8,It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as ,syndecan,", proTGF-alpha, beta-ephrins and ",neurofascin,.,Not_a_complex
11434923,s3,T18,T7,"It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, ",proTGF-alpha,", ",beta-ephrins, and neurofascin.,Not_a_complex
11434923,s3,T7,T8,"It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, proTGF-alpha, ",beta-ephrins, and ,neurofascin,.,Not_a_complex
11434923,s3,T18,T8,"It encodes a protein containing two PDZ domains that mediates the binding of syntenin to proteins such as syndecan, ",proTGF-alpha,", beta-ephrins and ",neurofascin,.,Not_a_complex
11434923,s4,T9,T10,We show that ,r-PTPeta, is able to interact with ,syntenin," also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta.",Complex_formation
11434923,s4,T10,T11,We show that r-PTPeta is able to interact with ,syntenin," also in mammalian cells, and although ",syntenin, is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta.,Not_a_complex
11434923,s4,T10,T12,We show that r-PTPeta is able to interact with ,syntenin," also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of ",r-PTPeta,.,Not_a_complex
11434923,s4,T11,T12,"We show that r-PTPeta is able to interact with syntenin also in mammalian cells, and although ",syntenin, is a tyrosine-phosphorylated protein it is not a substrate of ,r-PTPeta,.,Not_a_complex
11434923,s4,T9,T11,We show that ,r-PTPeta," is able to interact with syntenin also in mammalian cells, and although ",syntenin, is a tyrosine-phosphorylated protein it is not a substrate of r-PTPeta.,Not_a_complex
11434923,s4,T9,T12,We show that ,r-PTPeta," is able to interact with syntenin also in mammalian cells, and although syntenin is a tyrosine-phosphorylated protein it is not a substrate of ",r-PTPeta,.,Not_a_complex
11434923,s5,T15,T16,The integrity of both PDZ domains of syntenin and the carboxy-terminal region of r-PTPeta are required for the interaction between ,syntenin, and ,r-PTPeta,". 
",Complex_formation
11434923,s5,T13,T14,The integrity of both PDZ domains of ,syntenin, and the carboxy-terminal region of ,r-PTPeta," are required for the interaction between syntenin and r-PTPeta. 
",Not_a_complex
11434923,s5,T13,T15,The integrity of both PDZ domains of ,syntenin, and the carboxy-terminal region of r-PTPeta are required for the interaction between ,syntenin," and r-PTPeta. 
",Not_a_complex
11434923,s5,T13,T16,The integrity of both PDZ domains of ,syntenin, and the carboxy-terminal region of r-PTPeta are required for the interaction between syntenin and ,r-PTPeta,". 
",Not_a_complex
11434923,s5,T14,T15,The integrity of both PDZ domains of syntenin and the carboxy-terminal region of ,r-PTPeta, are required for the interaction between ,syntenin," and r-PTPeta. 
",Not_a_complex
11434923,s5,T14,T16,The integrity of both PDZ domains of syntenin and the carboxy-terminal region of ,r-PTPeta, are required for the interaction between syntenin and ,r-PTPeta,". 
",Not_a_complex
