12167593,s0,T2,T14,Ubiquitin-protein ligase ,WWP2, binds to and downregulates the ,epithelial Na(+) channel,". 
",Complex_formation
12167593,s0,T1,T14,,Ubiquitin-protein ligase, WWP2 binds to and downregulates the ,epithelial Na(+) channel,". 
",Not_a_complex
12167593,s0,T1,T2,,Ubiquitin-protein ligase, ,WWP2," binds to and downregulates the epithelial Na(+) channel. 
",Not_a_complex
12167593,s1,T15,T16,The ,epithelial Na(+) channel, (,ENaC,) is a critical component of the pathway maintaining salt and water balance.,Not_a_complex
12167593,s1,T15,T26,The ,epithelial Na(+) channel, (ENaC) is a critical component of the pathway maintaining ,salt, and water balance.,Not_a_complex
12167593,s1,T15,T27,The ,epithelial Na(+) channel, (ENaC) is a critical component of the pathway maintaining salt and ,water, balance.,Not_a_complex
12167593,s1,T16,T26,The epithelial Na(+) channel (,ENaC,) is a critical component of the pathway maintaining ,salt, and water balance.,Not_a_complex
12167593,s1,T16,T27,The epithelial Na(+) channel (,ENaC,) is a critical component of the pathway maintaining salt and ,water, balance.,Not_a_complex
12167593,s1,T26,T27,The epithelial Na(+) channel (ENaC) is a critical component of the pathway maintaining ,salt, and ,water, balance.,Not_a_complex
12167593,s2,T3,T4,The channel is regulated by members of the ,Nedd4, family of ,ubiquitin-protein ligases,", which bind to channel subunits and catalyze channel internalization and degradation.",Not_a_complex
12167593,s4,T18,T19,"Here, we test the hypothesis that WW domain-containing protein 2 (WWP2), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ",ENaC,". Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ",ENaC,", as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T5,T18,"Here, we test the hypothesis that ",WW domain-containing protein 2," (WWP2), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ",ENaC,". Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T5,T19,"Here, we test the hypothesis that ",WW domain-containing protein 2," (WWP2), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ",ENaC,", as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T5,T6,"Here, we test the hypothesis that ",WW domain-containing protein 2, (,WWP2,"), a member of the Nedd4 family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T5,T7,"Here, we test the hypothesis that ",WW domain-containing protein 2," (WWP2), a member of the ",Nedd4," family of ubiquitin-protein ligases, is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
12167593,s4,T5,T8,"Here, we test the hypothesis that ",WW domain-containing protein 2," (WWP2), a member of the Nedd4 family of ",ubiquitin-protein ligases,", is a candidate to regulate ENaC. Consistent with this hypothesis, we found that WWP2 is expressed in epithelial tissues that express ENaC, as well as in a wide variety of other tissues.",Not_a_complex
