12242221,s0,T1,T2,Role of the unfolded protein response pathway in regulation of ,INO1, and in the ,sec14," bypass mechanism in Saccharomyces cerevisiae. 
",Not_a_complex
12242221,s1,T3,T15,,INO1,", encoding ",inositol 1-phosphate synthase,", is the most highly regulated of a class of genes containing the repeated element, UAS(INO), in their promoters.",Not_a_complex
12242221,s3,T17,T18,The unfolded protein response (UPR) pathway also is involved in INO1 expression and the ,ire1Delta, and ,hac1Delta, mutants are inositol auxotrophs.,Not_a_complex
12242221,s3,T17,T19,The unfolded protein response (UPR) pathway also is involved in INO1 expression and the ,ire1Delta, and hac1Delta mutants are ,inositol, auxotrophs.,Not_a_complex
12242221,s3,T18,T19,The unfolded protein response (UPR) pathway also is involved in INO1 expression and the ire1Delta and ,hac1Delta, mutants are ,inositol, auxotrophs.,Not_a_complex
12242221,s3,T4,T17,The unfolded protein response (UPR) pathway also is involved in ,INO1, expression and the ,ire1Delta, and hac1Delta mutants are inositol auxotrophs.,Not_a_complex
12242221,s3,T4,T18,The unfolded protein response (UPR) pathway also is involved in ,INO1, expression and the ire1Delta and ,hac1Delta, mutants are inositol auxotrophs.,Not_a_complex
12242221,s3,T4,T19,The unfolded protein response (UPR) pathway also is involved in ,INO1, expression and the ire1Delta and hac1Delta mutants are ,inositol, auxotrophs.,Not_a_complex
12242221,s4,T20,T21,We examined the role of the UPR in transmitting a signal generated in response to ,inositol, deprivation and to alteration of phospholipid biosynthesis created in the sec14(ts) ,cki1Delta, genetic background.,Not_a_complex
12242221,s4,T20,T5,We examined the role of the UPR in transmitting a signal generated in response to ,inositol, deprivation and to alteration of phospholipid biosynthesis created in the ,sec14,(ts) cki1Delta genetic background.,Not_a_complex
12242221,s4,T5,T21,We examined the role of the UPR in transmitting a signal generated in response to inositol deprivation and to alteration of phospholipid biosynthesis created in the ,sec14,(ts) ,cki1Delta, genetic background.,Not_a_complex
12242221,s5,T6,T22,We report that the UPR is required for sustained high-level ,INO1," expression in wild-type strains, but not for transient derepression in response to ",inositol, deprivation.,Not_a_complex
12242221,s6,T7,T23,"Moreover, the UPR is not required for expression or regulation of ",INO1, in response to the change in lipid metabolism that occurs in the sec14(ts) ,cki1Delta, genetic background.,Not_a_complex
12242221,s6,T7,T8,"Moreover, the UPR is not required for expression or regulation of ",INO1, in response to the change in lipid metabolism that occurs in the ,sec14,(ts) cki1Delta genetic background.,Not_a_complex
12242221,s6,T8,T23,"Moreover, the UPR is not required for expression or regulation of INO1 in response to the change in lipid metabolism that occurs in the ",sec14,(ts) ,cki1Delta, genetic background.,Not_a_complex
12242221,s8,T10,T11,"However, we discovered that inactivation of ",Sec14p," leads to activation of the UPR, and that ",sec14," cki1 strains exhibit defective vacuolar morphology, suggesting that the mechanism by which the cki1Delta mutation suppresses the growth and secretory defect of sec14 does not fully restore wild-type morphology.",Not_a_complex
12242221,s8,T10,T12,"However, we discovered that inactivation of ",Sec14p," leads to activation of the UPR, and that sec14 cki1 strains exhibit defective vacuolar morphology, suggesting that the mechanism by which the cki1Delta mutation suppresses the growth and secretory defect of ",sec14, does not fully restore wild-type morphology.,Not_a_complex
12242221,s8,T10,T24,"However, we discovered that inactivation of ",Sec14p," leads to activation of the UPR, and that sec14 ",cki1," strains exhibit defective vacuolar morphology, suggesting that the mechanism by which the cki1Delta mutation suppresses the growth and secretory defect of sec14 does not fully restore wild-type morphology.",Not_a_complex
12242221,s8,T10,T25,"However, we discovered that inactivation of ",Sec14p," leads to activation of the UPR, and that sec14 cki1 strains exhibit defective vacuolar morphology, suggesting that the mechanism by which the ",cki1Delta, mutation suppresses the growth and secretory defect of sec14 does not fully restore wild-type morphology.,Not_a_complex
12242221,s8,T11,T12,"However, we discovered that inactivation of Sec14p leads to activation of the UPR, and that ",sec14," cki1 strains exhibit defective vacuolar morphology, suggesting that the mechanism by which the cki1Delta mutation suppresses the growth and secretory defect of ",sec14, does not fully restore wild-type morphology.,Not_a_complex
12242221,s8,T11,T24,"However, we discovered that inactivation of Sec14p leads to activation of the UPR, and that ",sec14, ,cki1," strains exhibit defective vacuolar morphology, suggesting that the mechanism by which the cki1Delta mutation suppresses the growth and secretory defect of sec14 does not fully restore wild-type morphology.",Not_a_complex
