12486103,s0,T1,T11,The ,PAAD/PYRIN,-family protein ,ASC," is a dual regulator of a conserved step in nuclear factor kappaB activation pathways. 
",Not_a_complex
12486103,s0,T1,T12,The ,PAAD/PYRIN,-family protein ASC is a dual regulator of a conserved step in ,nuclear factor kappaB," activation pathways. 
",Not_a_complex
12486103,s0,T11,T12,The PAAD/PYRIN-family protein ,ASC, is a dual regulator of a conserved step in ,nuclear factor kappaB," activation pathways. 
",Not_a_complex
12486103,s1,T13,T14,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (,ASC,") belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, ",DAPIN,", Pyk).",Not_a_complex
12486103,s1,T13,T15,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (,ASC,") belongs to a large family of proteins that contain a Pyrin, AIM, ",ASC,", and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T13,T16,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (,ASC,") belongs to a large family of proteins that contain a Pyrin, ",AIM,", ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T13,T17,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (,ASC,") belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (",PAAD,") domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T15,T14,"Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ",ASC,", and death domain-like (PAAD) domain (also known as PYRIN, ",DAPIN,", Pyk).",Not_a_complex
12486103,s1,T16,T14,"Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, ",AIM,", ASC, and death domain-like (PAAD) domain (also known as PYRIN, ",DAPIN,", Pyk).",Not_a_complex
12486103,s1,T17,T14,"Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (",PAAD,") domain (also known as PYRIN, ",DAPIN,", Pyk).",Not_a_complex
12486103,s1,T16,T15,"Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, ",AIM,", ",ASC,", and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T15,T17,"Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ",ASC,", and death domain-like (",PAAD,") domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T16,T17,"Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, ",AIM,", ASC, and death domain-like (",PAAD,") domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T13,,Apoptosis-associated speck-like, protein containing a Caspase recruitment domain (,ASC,") belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T14,,Apoptosis-associated speck-like," protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, ",DAPIN,", Pyk).",Not_a_complex
12486103,s1,T2,T15,,Apoptosis-associated speck-like," protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ",ASC,", and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T16,,Apoptosis-associated speck-like," protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, ",AIM,", ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T17,,Apoptosis-associated speck-like," protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (",PAAD,") domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T3,,Apoptosis-associated speck-like, protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a ,Pyrin,", AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T4,,Apoptosis-associated speck-like," protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (PAAD) domain (also known as ",PYRIN,", DAPIN, Pyk).",Not_a_complex
12486103,s1,T2,T5,,Apoptosis-associated speck-like," protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a Pyrin, AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, ",Pyk,).,Not_a_complex
12486103,s1,T13,T3,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (,ASC,) belongs to a large family of proteins that contain a ,Pyrin,", AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T3,T14,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a ,Pyrin,", AIM, ASC, and death domain-like (PAAD) domain (also known as PYRIN, ",DAPIN,", Pyk).",Not_a_complex
12486103,s1,T3,T15,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a ,Pyrin,", AIM, ",ASC,", and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T3,T16,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a ,Pyrin,", ",AIM,", ASC, and death domain-like (PAAD) domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
12486103,s1,T3,T17,Apoptosis-associated speck-like protein containing a Caspase recruitment domain (ASC) belongs to a large family of proteins that contain a ,Pyrin,", AIM, ASC, and death domain-like (",PAAD,") domain (also known as PYRIN, DAPIN, Pyk).",Not_a_complex
