1372388,s0,T1,T2,A lymphoid cell-specific nuclear factor containing ,c-Rel,-like proteins preferentially interacts with ,interleukin-6," kappa B-related motifs whose activities are repressed in lymphoid cells. 
",Not_a_complex
1372388,s0,T1,T25,A lymphoid cell-specific nuclear factor containing ,c-Rel,-like proteins preferentially interacts with interleukin-6 ,kappa B,"-related motifs whose activities are repressed in lymphoid cells. 
",Not_a_complex
1372388,s0,T2,T25,A lymphoid cell-specific nuclear factor containing c-Rel-like proteins preferentially interacts with ,interleukin-6, ,kappa B,"-related motifs whose activities are repressed in lymphoid cells. 
",Not_a_complex
1372388,s1,T4,T5,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and p65 subunits of nuclear factor kappa B. We show here that ",c-Rel, binds to kappa B sites as homodimers as well as heterodimers with ,p50,.,Complex_formation
1372388,s1,T20,T21,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the ",p50, and ,p65, subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T23,T20,The proto-oncoprotein c-Rel is a member of the ,nuclear factor kappa B transcription factor," family, which includes the ",p50, and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T20,T24,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the ",p50, and p65 subunits of ,nuclear factor kappa B,. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T20,T26,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the ",p50, and p65 subunits of nuclear factor kappa B. We show here that c-Rel binds to ,kappa B, sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T23,T21,The proto-oncoprotein c-Rel is a member of the ,nuclear factor kappa B transcription factor," family, which includes the p50 and ",p65, subunits of nuclear factor kappa B. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T21,T24,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and ",p65, subunits of ,nuclear factor kappa B,. We show here that c-Rel binds to kappa B sites as homodimers as well as heterodimers with p50.,Not_a_complex
1372388,s1,T21,T26,"The proto-oncoprotein c-Rel is a member of the nuclear factor kappa B transcription factor family, which includes the p50 and ",p65, subunits of nuclear factor kappa B. We show here that c-Rel binds to ,kappa B, sites as homodimers as well as heterodimers with p50.,Not_a_complex
