14697212,s0,T1,T2,,FBP11, regulates nuclear localization of ,N-WASP," and inhibits N-WASP-dependent microspike formation. 
",Not_a_complex
14697212,s0,T1,T3,,FBP11, regulates nuclear localization of N-WASP and inhibits ,N-WASP,"-dependent microspike formation. 
",Not_a_complex
14697212,s0,T2,T3,FBP11 regulates nuclear localization of ,N-WASP, and inhibits ,N-WASP,"-dependent microspike formation. 
",Not_a_complex
14697212,s1,T4,T23,,WASP, family proteins are involved in cortical ,actin, cytoskeleton reorganization.,Not_a_complex
14697212,s2,T24,T25,"Neural Wiskott-Aldrich syndrome protein (N-WASP), a ubiquitously expressed WASP homologous protein, directly binds with Cdc42, activating ",Arp2,/,3, complex.,Complex_formation
14697212,s2,T5,T8,,Neural Wiskott-Aldrich syndrome protein," (N-WASP), a ubiquitously expressed WASP homologous protein, directly binds with ",Cdc42,", activating Arp2/3 complex.",Complex_formation
14697212,s2,T6,T8,Neural Wiskott-Aldrich syndrome protein (,N-WASP,"), a ubiquitously expressed WASP homologous protein, directly binds with ",Cdc42,", activating Arp2/3 complex.",Complex_formation
14697212,s2,T5,T24,,Neural Wiskott-Aldrich syndrome protein," (N-WASP), a ubiquitously expressed WASP homologous protein, directly binds with Cdc42, activating ",Arp2,/3 complex.,Not_a_complex
14697212,s2,T5,T25,,Neural Wiskott-Aldrich syndrome protein," (N-WASP), a ubiquitously expressed WASP homologous protein, directly binds with Cdc42, activating Arp2/",3, complex.,Not_a_complex
14697212,s2,T5,T6,,Neural Wiskott-Aldrich syndrome protein, (,N-WASP,"), a ubiquitously expressed WASP homologous protein, directly binds with Cdc42, activating Arp2/3 complex.",Not_a_complex
14697212,s2,T5,T7,,Neural Wiskott-Aldrich syndrome protein," (N-WASP), a ubiquitously expressed ",WASP," homologous protein, directly binds with Cdc42, activating Arp2/3 complex.",Not_a_complex
14697212,s2,T6,T24,Neural Wiskott-Aldrich syndrome protein (,N-WASP,"), a ubiquitously expressed WASP homologous protein, directly binds with Cdc42, activating ",Arp2,/3 complex.,Not_a_complex
14697212,s2,T6,T25,Neural Wiskott-Aldrich syndrome protein (,N-WASP,"), a ubiquitously expressed WASP homologous protein, directly binds with Cdc42, activating Arp2/",3, complex.,Not_a_complex
14697212,s2,T6,T7,Neural Wiskott-Aldrich syndrome protein (,N-WASP,"), a ubiquitously expressed ",WASP," homologous protein, directly binds with Cdc42, activating Arp2/3 complex.",Not_a_complex
14697212,s2,T7,T24,"Neural Wiskott-Aldrich syndrome protein (N-WASP), a ubiquitously expressed ",WASP," homologous protein, directly binds with Cdc42, activating ",Arp2,/3 complex.,Not_a_complex
14697212,s2,T7,T25,"Neural Wiskott-Aldrich syndrome protein (N-WASP), a ubiquitously expressed ",WASP," homologous protein, directly binds with Cdc42, activating Arp2/",3, complex.,Not_a_complex
