15066998,s2,T1,T2,,Tuberin, (,TSC2,) is a tumor suppressor gene.,Not_a_complex
15066998,s5,T16,T17,Tuberin strongly augments ,transforming growth factor (TGF)-beta1," signal transduction pathways, including ",SMAD, activation.,Not_a_complex
15066998,s5,T5,T16,,Tuberin, strongly augments ,transforming growth factor (TGF)-beta1," signal transduction pathways, including SMAD activation.",Not_a_complex
15066998,s5,T5,T17,,Tuberin," strongly augments transforming growth factor (TGF)-beta1 signal transduction pathways, including ",SMAD, activation.,Not_a_complex
15066998,s6,T6,T7,We also demonstrate that the amino-terminal region of ,tuberin, interacts specifically with the MH2 domain of ,SMAD2, and SMAD3 proteins to regulate TGF-beta1-responsive genes such as p21(CIP).,Complex_formation
15066998,s6,T6,T8,We also demonstrate that the amino-terminal region of ,tuberin, interacts specifically with the MH2 domain of SMAD2 and ,SMAD3, proteins to regulate TGF-beta1-responsive genes such as p21(CIP).,Complex_formation
15066998,s6,T18,T19,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of SMAD2 and SMAD3 proteins to regulate ,TGF-beta1,-responsive genes such as ,p21,(CIP).,Not_a_complex
15066998,s6,T18,T20,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of SMAD2 and SMAD3 proteins to regulate ,TGF-beta1,-responsive genes such as p21(,CIP,).,Not_a_complex
15066998,s6,T19,T20,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of SMAD2 and SMAD3 proteins to regulate TGF-beta1-responsive genes such as ,p21,(,CIP,).,Not_a_complex
15066998,s6,T6,T18,We also demonstrate that the amino-terminal region of ,tuberin, interacts specifically with the MH2 domain of SMAD2 and SMAD3 proteins to regulate ,TGF-beta1,-responsive genes such as p21(CIP).,Not_a_complex
15066998,s6,T6,T19,We also demonstrate that the amino-terminal region of ,tuberin, interacts specifically with the MH2 domain of SMAD2 and SMAD3 proteins to regulate TGF-beta1-responsive genes such as ,p21,(CIP).,Not_a_complex
15066998,s6,T6,T20,We also demonstrate that the amino-terminal region of ,tuberin, interacts specifically with the MH2 domain of SMAD2 and SMAD3 proteins to regulate TGF-beta1-responsive genes such as p21(,CIP,).,Not_a_complex
15066998,s6,T7,T18,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of ,SMAD2, and SMAD3 proteins to regulate ,TGF-beta1,-responsive genes such as p21(CIP).,Not_a_complex
15066998,s6,T7,T19,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of ,SMAD2, and SMAD3 proteins to regulate TGF-beta1-responsive genes such as ,p21,(CIP).,Not_a_complex
15066998,s6,T7,T20,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of ,SMAD2, and SMAD3 proteins to regulate TGF-beta1-responsive genes such as p21(,CIP,).,Not_a_complex
15066998,s6,T7,T8,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of ,SMAD2, and ,SMAD3, proteins to regulate TGF-beta1-responsive genes such as p21(CIP).,Not_a_complex
15066998,s6,T8,T18,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of SMAD2 and ,SMAD3, proteins to regulate ,TGF-beta1,-responsive genes such as p21(CIP).,Not_a_complex
15066998,s6,T8,T19,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of SMAD2 and ,SMAD3, proteins to regulate TGF-beta1-responsive genes such as ,p21,(CIP).,Not_a_complex
15066998,s6,T8,T20,We also demonstrate that the amino-terminal region of tuberin interacts specifically with the MH2 domain of SMAD2 and ,SMAD3, proteins to regulate TGF-beta1-responsive genes such as p21(,CIP,).,Not_a_complex
15066998,s7,T10,T11,Inhibition of tuberin expression by ,Tsc2," antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(",KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T10,T12,Inhibition of tuberin expression by ,Tsc2," antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T10,T21,Inhibition of tuberin expression by ,Tsc2, antisense greatly reduces the ability of ,TGF-beta," to transcriptionally regulate p21(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T10,T22,Inhibition of tuberin expression by ,Tsc2, antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,"(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T10,T23,Inhibition of tuberin expression by ,Tsc2, antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(,CIP,"), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T10,T24,Inhibition of tuberin expression by ,Tsc2," antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), ",p27,"(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T10,T25,Inhibition of tuberin expression by ,Tsc2," antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of ",TGF-beta1,.,Not_a_complex
15066998,s7,T11,T12,"Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(",KIP,"), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T21,T11,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta," to transcriptionally regulate p21(CIP), p27(",KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T22,T11,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,"(CIP), p27(",KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T23,T11,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(,CIP,"), p27(",KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T24,T11,"Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), ",p27,(,KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T11,T25,"Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(",KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of ",TGF-beta1,.,Not_a_complex
15066998,s7,T21,T12,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta," to transcriptionally regulate p21(CIP), p27(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T22,T12,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,"(CIP), p27(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T23,T12,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(,CIP,"), p27(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T24,T12,"Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), ",p27,"(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T12,T25,"Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of ,TGF-beta1,.,Not_a_complex
15066998,s7,T21,T22,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta, to transcriptionally regulate ,p21,"(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T21,T23,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta, to transcriptionally regulate p21(,CIP,"), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T21,T24,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta," to transcriptionally regulate p21(CIP), ",p27,"(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T21,T25,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta," to transcriptionally regulate p21(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of ",TGF-beta1,.,Not_a_complex
15066998,s7,T22,T23,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,(,CIP,"), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T22,T24,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,"(CIP), ",p27,"(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T22,T25,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,"(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of ",TGF-beta1,.,Not_a_complex
15066998,s7,T23,T24,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(,CIP,"), ",p27,"(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T23,T25,Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(,CIP,"), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of ",TGF-beta1,.,Not_a_complex
15066998,s7,T24,T25,"Inhibition of tuberin expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), ",p27,"(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of ",TGF-beta1,.,Not_a_complex
15066998,s7,T9,T10,Inhibition of ,tuberin, expression by ,Tsc2," antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T9,T11,Inhibition of ,tuberin," expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(",KIP,"), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T9,T12,Inhibition of ,tuberin," expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate p21(CIP), p27(KIP), and ",cyclin A, leading to an abrogation of the antiproliferative effects of TGF-beta1.,Not_a_complex
15066998,s7,T9,T21,Inhibition of ,tuberin, expression by Tsc2 antisense greatly reduces the ability of ,TGF-beta," to transcriptionally regulate p21(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
15066998,s7,T9,T22,Inhibition of ,tuberin, expression by Tsc2 antisense greatly reduces the ability of TGF-beta to transcriptionally regulate ,p21,"(CIP), p27(KIP), and cyclin A leading to an abrogation of the antiproliferative effects of TGF-beta1.",Not_a_complex
