15564593,s4,T2,T3,To isolate proteins that may control ,HCN," channel expression or function, we performed yeast two-hybrid screens using the C-terminal cytoplasmic tails of the ",HCN, proteins as bait.,Not_a_complex
15564593,s5,T4,T8,"We identified a brain-specific protein, which has been previously termed ",TRIP8b," (for TPR-containing Rab8b interacting protein) and PEX5Rp (for Pex5p-related protein), that specifically interacts with all four ",HCN, channels through a conserved sequence in their C-terminal tails.,Complex_formation
15564593,s5,T5,T8,"We identified a brain-specific protein, which has been previously termed TRIP8b (for ",TPR-containing Rab8b interacting protein,") and PEX5Rp (for Pex5p-related protein), that specifically interacts with all four ",HCN, channels through a conserved sequence in their C-terminal tails.,Complex_formation
15564593,s5,T6,T8,"We identified a brain-specific protein, which has been previously termed TRIP8b (for TPR-containing Rab8b interacting protein) and ",PEX5Rp," (for Pex5p-related protein), that specifically interacts with all four ",HCN, channels through a conserved sequence in their C-terminal tails.,Complex_formation
15564593,s5,T7,T8,"We identified a brain-specific protein, which has been previously termed TRIP8b (for TPR-containing Rab8b interacting protein) and PEX5Rp (for ",Pex5p-related protein,"), that specifically interacts with all four ",HCN, channels through a conserved sequence in their C-terminal tails.,Complex_formation
15564593,s5,T4,T5,"We identified a brain-specific protein, which has been previously termed ",TRIP8b, (for ,TPR-containing Rab8b interacting protein,") and PEX5Rp (for Pex5p-related protein), that specifically interacts with all four HCN channels through a conserved sequence in their C-terminal tails.",Not_a_complex
15564593,s5,T4,T6,"We identified a brain-specific protein, which has been previously termed ",TRIP8b, (for TPR-containing Rab8b interacting protein) and ,PEX5Rp," (for Pex5p-related protein), that specifically interacts with all four HCN channels through a conserved sequence in their C-terminal tails.",Not_a_complex
15564593,s5,T4,T7,"We identified a brain-specific protein, which has been previously termed ",TRIP8b, (for TPR-containing Rab8b interacting protein) and PEX5Rp (for ,Pex5p-related protein,"), that specifically interacts with all four HCN channels through a conserved sequence in their C-terminal tails.",Not_a_complex
15564593,s5,T5,T6,"We identified a brain-specific protein, which has been previously termed TRIP8b (for ",TPR-containing Rab8b interacting protein,) and ,PEX5Rp," (for Pex5p-related protein), that specifically interacts with all four HCN channels through a conserved sequence in their C-terminal tails.",Not_a_complex
15564593,s5,T5,T7,"We identified a brain-specific protein, which has been previously termed TRIP8b (for ",TPR-containing Rab8b interacting protein,) and PEX5Rp (for ,Pex5p-related protein,"), that specifically interacts with all four HCN channels through a conserved sequence in their C-terminal tails.",Not_a_complex
15564593,s5,T6,T7,"We identified a brain-specific protein, which has been previously termed TRIP8b (for TPR-containing Rab8b interacting protein) and ",PEX5Rp, (for ,Pex5p-related protein,"), that specifically interacts with all four HCN channels through a conserved sequence in their C-terminal tails.",Not_a_complex
15564593,s6,T9,T22,In situ hybridization and immunohistochemistry show that ,TRIP8b, and ,HCN1," are colocalized, particularly within dendritic arbors of hippocampal CA1 and neocortical layer V pyramidal neurons.",Not_a_complex
15564593,s7,T24,T11,"The dendritic expression of TRIP8b in layer V pyramidal neurons is disrupted after deletion of HCN1 through homologous recombination, demonstrating a key in vivo interaction between ",HCN1, and ,TRIP8b,.,Complex_formation
15564593,s7,T10,T11,The dendritic expression of ,TRIP8b," in layer V pyramidal neurons is disrupted after deletion of HCN1 through homologous recombination, demonstrating a key in vivo interaction between HCN1 and ",TRIP8b,.,Not_a_complex
15564593,s7,T10,T23,The dendritic expression of ,TRIP8b, in layer V pyramidal neurons is disrupted after deletion of ,HCN1," through homologous recombination, demonstrating a key in vivo interaction between HCN1 and TRIP8b.",Not_a_complex
15564593,s7,T10,T24,The dendritic expression of ,TRIP8b," in layer V pyramidal neurons is disrupted after deletion of HCN1 through homologous recombination, demonstrating a key in vivo interaction between ",HCN1, and TRIP8b.,Not_a_complex
15564593,s7,T23,T11,The dendritic expression of TRIP8b in layer V pyramidal neurons is disrupted after deletion of ,HCN1," through homologous recombination, demonstrating a key in vivo interaction between HCN1 and ",TRIP8b,.,Not_a_complex
15564593,s7,T23,T24,The dendritic expression of TRIP8b in layer V pyramidal neurons is disrupted after deletion of ,HCN1," through homologous recombination, demonstrating a key in vivo interaction between ",HCN1, and TRIP8b.,Not_a_complex
15564593,s8,T12,T13,,TRIP8b, dramatically alters the trafficking of ,HCN," channels heterologously expressed in Xenopus oocytes and human embryonic kidney 293 cells, causing a specific decrease in surface expression of HCN protein and I(h) density, with a pronounced intracellular accumulation of HCN protein that is colocalized in discrete cytoplasmic clusters with TRIP8b.",Not_a_complex
15564593,s8,T12,T14,,TRIP8b," dramatically alters the trafficking of HCN channels heterologously expressed in Xenopus oocytes and human embryonic kidney 293 cells, causing a specific decrease in surface expression of ",HCN," protein and I(h) density, with a pronounced intracellular accumulation of HCN protein that is colocalized in discrete cytoplasmic clusters with TRIP8b.",Not_a_complex
