17283187,s1,T2,T3,The cytotoxic lymphocyte protease ,granzyme B, (,GzmB,) can promote apoptosis through direct processing and activation of members of the caspase family.,Not_a_complex
17283187,s2,T4,T13,,GzmB," can also cleave the BH3-only protein, ",BID,", to promote caspase-independent mitochondrial permeabilization.",Not_a_complex
17283187,s2,T4,T5,,GzmB, can also cleave the ,BH3-only protein,", BID, to promote caspase-independent mitochondrial permeabilization.",Not_a_complex
17283187,s2,T5,T13,GzmB can also cleave the ,BH3-only protein,", ",BID,", to promote caspase-independent mitochondrial permeabilization.",Not_a_complex
17283187,s4,T7,T14,We show that human and mouse ,GzmB, exhibit radical differences in their ability to cleave ,BID,", as well as several other key substrates, such as ICAD and caspase-8.",Not_a_complex
17283187,s4,T7,T8,We show that human and mouse ,GzmB," exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ",ICAD, and caspase-8.,Not_a_complex
17283187,s4,T7,T9,We show that human and mouse ,GzmB," exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ICAD and ",caspase-8,.,Not_a_complex
17283187,s4,T14,T8,We show that human and mouse GzmB exhibit radical differences in their ability to cleave ,BID,", as well as several other key substrates, such as ",ICAD, and caspase-8.,Not_a_complex
17283187,s4,T8,T9,"We show that human and mouse GzmB exhibit radical differences in their ability to cleave BID, as well as several other key substrates, such as ",ICAD, and ,caspase-8,.,Not_a_complex
17283187,s4,T14,T9,We show that human and mouse GzmB exhibit radical differences in their ability to cleave ,BID,", as well as several other key substrates, such as ICAD and ",caspase-8,.,Not_a_complex
17283187,s5,T10,T11,"Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse ",GzmB,", but failed to do so in response to human ",GzmB,. These data demonstrate that human and murine GzmB are distinct enzymes with different substrate preferences.,Not_a_complex
17283187,s5,T10,T12,"Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse ",GzmB,", but failed to do so in response to human GzmB. These data demonstrate that human and murine ",GzmB, are distinct enzymes with different substrate preferences.,Not_a_complex
17283187,s5,T11,T12,"Moreover, pharmacological inhibition of caspases clonogenically rescued human and mouse target cells from apoptosis initiated by mouse GzmB, but failed to do so in response to human ",GzmB,. These data demonstrate that human and murine ,GzmB, are distinct enzymes with different substrate preferences.,Not_a_complex
