17666399,s0,T1,T19,Ubiquitination of ,beta-arrestin, links seven-transmembrane receptor endocytosis and ,ERK," activation. 
",Not_a_complex
17666399,s1,T2,T20,,Beta-arrestin2, and its ubiquitination play crucial roles in both internalization and signaling of ,seven-transmembrane receptors, (7TMRs).,Not_a_complex
17666399,s1,T2,T21,,Beta-arrestin2, and its ubiquitination play crucial roles in both internalization and signaling of seven-transmembrane receptors (,7TMRs,).,Not_a_complex
17666399,s1,T20,T21,Beta-arrestin2 and its ubiquitination play crucial roles in both internalization and signaling of ,seven-transmembrane receptors, (,7TMRs,).,Not_a_complex
17666399,s2,T3,T33,To understand the connection between ubiquitination and the endocytic and signaling functions of ,beta-arrestin,", we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ",ubiquitin, acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T3,T34,To understand the connection between ubiquitination and the endocytic and signaling functions of ,beta-arrestin,", we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-",ubiquitin, (Ub) chimera.,Not_a_complex
17666399,s2,T3,T37,To understand the connection between ubiquitination and the endocytic and signaling functions of ,beta-arrestin,", we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (",Ub,) chimera.,Not_a_complex
17666399,s2,T3,T4,To understand the connection between ubiquitination and the endocytic and signaling functions of ,beta-arrestin,", we generated a ",beta-arrestin2," mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (Ub) chimera.",Not_a_complex
17666399,s2,T3,T5,To understand the connection between ubiquitination and the endocytic and signaling functions of ,beta-arrestin,", we generated a beta-arrestin2 mutant that is defective in ubiquitination (",beta-arrestin2(0K),"), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (Ub) chimera.",Not_a_complex
17666399,s2,T3,T6,To understand the connection between ubiquitination and the endocytic and signaling functions of ,beta-arrestin,", we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated ",beta-arrestin2,-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T33,T34,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ",ubiquitin, acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-,ubiquitin, (Ub) chimera.,Not_a_complex
17666399,s2,T33,T37,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ",ubiquitin, acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (,Ub,) chimera.,Not_a_complex
17666399,s2,T34,T37,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-",ubiquitin, (,Ub,) chimera.,Not_a_complex
17666399,s2,T4,T33,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a ",beta-arrestin2," mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ",ubiquitin, acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T4,T34,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a ",beta-arrestin2," mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-",ubiquitin, (Ub) chimera.,Not_a_complex
17666399,s2,T4,T37,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a ",beta-arrestin2," mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (",Ub,) chimera.,Not_a_complex
17666399,s2,T4,T5,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a ",beta-arrestin2, mutant that is defective in ubiquitination (,beta-arrestin2(0K),"), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (Ub) chimera.",Not_a_complex
17666399,s2,T4,T6,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a ",beta-arrestin2," mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated ",beta-arrestin2,-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T5,T33,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (",beta-arrestin2(0K),"), by mutating all of the ",ubiquitin, acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T5,T34,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (",beta-arrestin2(0K),"), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-",ubiquitin, (Ub) chimera.,Not_a_complex
17666399,s2,T5,T37,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (",beta-arrestin2(0K),"), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated beta-arrestin2-ubiquitin (",Ub,) chimera.,Not_a_complex
17666399,s2,T5,T6,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (",beta-arrestin2(0K),"), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated ",beta-arrestin2,-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T33,T6,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ",ubiquitin, acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated ,beta-arrestin2,-ubiquitin (Ub) chimera.,Not_a_complex
17666399,s2,T6,T34,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated ",beta-arrestin2,-,ubiquitin, (Ub) chimera.,Not_a_complex
17666399,s2,T6,T37,"To understand the connection between ubiquitination and the endocytic and signaling functions of beta-arrestin, we generated a beta-arrestin2 mutant that is defective in ubiquitination (beta-arrestin2(0K)), by mutating all of the ubiquitin acceptor lysines to arginines and compared its properties with the wild type and a stably ubiquitinated ",beta-arrestin2,-ubiquitin (,Ub,) chimera.,Not_a_complex
17666399,s3,T7,T22,In vitro translated ,beta-arrestin2, and beta-arrestin2(0K) displayed equivalent binding to recombinant ,beta(2)-adrenergic receptor," (beta(2)AR) reconstituted in vesicles, whereas beta-arrestin2-Ub bound approximately 4-fold more.",Complex_formation
17666399,s3,T7,T23,In vitro translated ,beta-arrestin2, and beta-arrestin2(0K) displayed equivalent binding to recombinant beta(2)-adrenergic receptor (,beta(2)AR)," reconstituted in vesicles, whereas beta-arrestin2-Ub bound approximately 4-fold more.",Complex_formation
17666399,s3,T8,T22,In vitro translated beta-arrestin2 and ,beta-arrestin2(0K), displayed equivalent binding to recombinant ,beta(2)-adrenergic receptor," (beta(2)AR) reconstituted in vesicles, whereas beta-arrestin2-Ub bound approximately 4-fold more.",Complex_formation
17666399,s3,T8,T23,In vitro translated beta-arrestin2 and ,beta-arrestin2(0K), displayed equivalent binding to recombinant beta(2)-adrenergic receptor (,beta(2)AR)," reconstituted in vesicles, whereas beta-arrestin2-Ub bound approximately 4-fold more.",Complex_formation
17666399,s3,T22,T9,In vitro translated beta-arrestin2 and beta-arrestin2(0K) displayed equivalent binding to recombinant ,beta(2)-adrenergic receptor," (beta(2)AR) reconstituted in vesicles, whereas ",beta-arrestin2,-Ub bound approximately 4-fold more.,Complex_formation
17666399,s3,T23,T9,In vitro translated beta-arrestin2 and beta-arrestin2(0K) displayed equivalent binding to recombinant beta(2)-adrenergic receptor (,beta(2)AR)," reconstituted in vesicles, whereas ",beta-arrestin2,-Ub bound approximately 4-fold more.,Complex_formation
17666399,s3,T22,T23,In vitro translated beta-arrestin2 and beta-arrestin2(0K) displayed equivalent binding to recombinant ,beta(2)-adrenergic receptor, (,beta(2)AR)," reconstituted in vesicles, whereas beta-arrestin2-Ub bound approximately 4-fold more.",Not_a_complex
17666399,s3,T22,T35,In vitro translated beta-arrestin2 and beta-arrestin2(0K) displayed equivalent binding to recombinant ,beta(2)-adrenergic receptor," (beta(2)AR) reconstituted in vesicles, whereas beta-arrestin2-",Ub, bound approximately 4-fold more.,Not_a_complex
17666399,s3,T23,T35,In vitro translated beta-arrestin2 and beta-arrestin2(0K) displayed equivalent binding to recombinant beta(2)-adrenergic receptor (,beta(2)AR)," reconstituted in vesicles, whereas beta-arrestin2-",Ub, bound approximately 4-fold more.,Not_a_complex
