18828915_31,s1,T13,T12,"With the aim of identifying differentially expressed genes with novel telomeric roles, we compared the list of ",cdc13,-1 suppressors to genes differentially expressed in the ,cdc13,"-1 microarrays, and found that 22 genes were common to both (Figure 6a and Table 3).",Not_a_complex
18828915_31,s4,T1,T15,We were particularly interested in a gene called ,BNA2,", because it was highly and significantly up-regulated in ",cdc13,-1 strains (Figure 6b).,Not_a_complex
18828915_31,s6,T3,T16,Biogrid analysis revealed that ,BNA2, interacts genetically with a ,cdc13,"-1 suppressor, NPT1 , as co-deletion of these genes is synthetically lethal (Figure 6c).",Not_a_complex
18828915_31,s6,T3,T4,Biogrid analysis revealed that ,BNA2," interacts genetically with a cdc13-1 suppressor, ",NPT1," , as co-deletion of these genes is synthetically lethal (Figure 6c).",Not_a_complex
18828915_31,s6,T16,T4,Biogrid analysis revealed that BNA2 interacts genetically with a ,cdc13,"-1 suppressor, ",NPT1," , as co-deletion of these genes is synthetically lethal (Figure 6c).",Not_a_complex
18828915_31,s7,T5,T6,,NPT1, is not differentially expressed when telomeres are uncapped in ,cdc3,-1 strains.,Not_a_complex
18828915_31,s8,T17,T10,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of ",nicotinic acid," (an NAD+ precursor) from tryptophan via the kynurenine pathway, while NPT1 encodes a ",nicotinate phosphoribosyltransferase," that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T18,T10,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from ",tryptophan," via the kynurenine pathway, while NPT1 encodes a ",nicotinate phosphoribosyltransferase," that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T19,T10,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the ",kynurenine," pathway, while NPT1 encodes a ",nicotinate phosphoribosyltransferase," that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T17,T18,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of ",nicotinic acid, (an NAD+ precursor) from ,tryptophan," via the kynurenine pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T17,T19,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of ",nicotinic acid, (an NAD+ precursor) from tryptophan via the ,kynurenine," pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T18,T19,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from ",tryptophan, via the ,kynurenine," pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T7,T10,,BNA2," encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the kynurenine pathway, while NPT1 encodes a ",nicotinate phosphoribosyltransferase," that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T7,T17,,BNA2," encodes a tryptophan 2,3-dioxygenase required for biosynthesis of ",nicotinic acid," (an NAD+ precursor) from tryptophan via the kynurenine pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T7,T18,,BNA2," encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from ",tryptophan," via the kynurenine pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T7,T19,,BNA2," encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the ",kynurenine," pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T7,T8,,BNA2, encodes a ,"tryptophan 2,3-dioxygenase"," required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the kynurenine pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T7,T9,,BNA2," encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the kynurenine pathway, while ",NPT1," encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T8,T10,BNA2 encodes a ,"tryptophan 2,3-dioxygenase"," required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the kynurenine pathway, while NPT1 encodes a ",nicotinate phosphoribosyltransferase," that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T8,T17,BNA2 encodes a ,"tryptophan 2,3-dioxygenase", required for biosynthesis of ,nicotinic acid," (an NAD+ precursor) from tryptophan via the kynurenine pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T8,T18,BNA2 encodes a ,"tryptophan 2,3-dioxygenase", required for biosynthesis of nicotinic acid (an NAD+ precursor) from ,tryptophan," via the kynurenine pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T8,T19,BNA2 encodes a ,"tryptophan 2,3-dioxygenase", required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the ,kynurenine," pathway, while NPT1 encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T8,T9,BNA2 encodes a ,"tryptophan 2,3-dioxygenase"," required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the kynurenine pathway, while ",NPT1," encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T9,T10,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the kynurenine pathway, while ",NPT1, encodes a ,nicotinate phosphoribosyltransferase," that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T17,T9,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of ",nicotinic acid," (an NAD+ precursor) from tryptophan via the kynurenine pathway, while ",NPT1," encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T18,T9,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from ",tryptophan," via the kynurenine pathway, while ",NPT1," encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
18828915_31,s8,T19,T9,"BNA2 encodes a tryptophan 2,3-dioxygenase required for biosynthesis of nicotinic acid (an NAD+ precursor) from tryptophan via the ",kynurenine," pathway, while ",NPT1," encodes a nicotinate phosphoribosyltransferase that acts in the salvage pathway of NAD+ biosynthesis and is required for telomeric silencing.
",Not_a_complex
