20230746_10,s0,T1,T16,As the first step in exploring the mechanism of ,Ams2," proteolysis, we examined the role of the ",proteasome, pathway in this process.,Not_a_complex
20230746_10,s1,T2,T14,"In fission yeast, the ",mts2,+ and mts3+ gene products have been identified as subunits of the ,26S proteasome,.,Not_a_complex
20230746_10,s1,T2,T3,"In fission yeast, the ",mts2,+ and ,mts3,+ gene products have been identified as subunits of the 26S proteasome.,Not_a_complex
20230746_10,s1,T3,T14,"In fission yeast, the mts2+ and ",mts3,+ gene products have been identified as subunits of the ,26S proteasome,.,Not_a_complex
20230746_10,s2,T4,T15,We used temperature-sensitive mutations ,mts2,-1 and mts3-1 to inactivate ,proteasome, function.,Not_a_complex
20230746_10,s2,T4,T5,We used temperature-sensitive mutations ,mts2,-1 and ,mts3,-1 to inactivate proteasome function.,Not_a_complex
20230746_10,s2,T5,T15,We used temperature-sensitive mutations mts2-1 and ,mts3,-1 to inactivate ,proteasome, function.,Not_a_complex
20230746_10,s3,T17,T18,Mutant cells carrying ,pREP41,-Ams2 were cultured at the restrictive temperature (36degreesC) for 3 hr and Ams2 synthesis was repressed by addition of ,thiamine, and CHX as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T17,T19,Mutant cells carrying ,pREP41,-Ams2 were cultured at the restrictive temperature (36degreesC) for 3 hr and Ams2 synthesis was repressed by addition of thiamine and ,CHX, as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T18,T19,Mutant cells carrying pREP41-Ams2 were cultured at the restrictive temperature (36degreesC) for 3 hr and Ams2 synthesis was repressed by addition of ,thiamine, and ,CHX, as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T17,T6,Mutant cells carrying ,pREP41,-,Ams2, were cultured at the restrictive temperature (36degreesC) for 3 hr and Ams2 synthesis was repressed by addition of thiamine and CHX as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T6,T18,Mutant cells carrying pREP41-,Ams2, were cultured at the restrictive temperature (36degreesC) for 3 hr and Ams2 synthesis was repressed by addition of ,thiamine, and CHX as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T6,T19,Mutant cells carrying pREP41-,Ams2, were cultured at the restrictive temperature (36degreesC) for 3 hr and Ams2 synthesis was repressed by addition of thiamine and ,CHX, as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T6,T7,Mutant cells carrying pREP41-,Ams2, were cultured at the restrictive temperature (36degreesC) for 3 hr and ,Ams2, synthesis was repressed by addition of thiamine and CHX as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T17,T7,Mutant cells carrying ,pREP41,-Ams2 were cultured at the restrictive temperature (36degreesC) for 3 hr and ,Ams2, synthesis was repressed by addition of thiamine and CHX as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T7,T18,Mutant cells carrying pREP41-Ams2 were cultured at the restrictive temperature (36degreesC) for 3 hr and ,Ams2, synthesis was repressed by addition of ,thiamine, and CHX as described above (Figure 2A).,Not_a_complex
20230746_10,s3,T7,T19,Mutant cells carrying pREP41-Ams2 were cultured at the restrictive temperature (36degreesC) for 3 hr and ,Ams2, synthesis was repressed by addition of thiamine and ,CHX, as described above (Figure 2A).,Not_a_complex
20230746_10,s4,T10,T11,"Whereas Ams2 underwent rapid proteolysis in wild-type cells (Figures 2A and 2B, open circles), degradation of Ams2 was markedly decreased in arrested ",mts2,-1 (filled circles) and ,mts3,-1 (data not shown) cells.,Not_a_complex
20230746_10,s4,T8,T10,Whereas ,Ams2," underwent rapid proteolysis in wild-type cells (Figures 2A and 2B, open circles), degradation of Ams2 was markedly decreased in arrested ",mts2,-1 (filled circles) and mts3-1 (data not shown) cells.,Not_a_complex
20230746_10,s4,T8,T11,Whereas ,Ams2," underwent rapid proteolysis in wild-type cells (Figures 2A and 2B, open circles), degradation of Ams2 was markedly decreased in arrested mts2-1 (filled circles) and ",mts3,-1 (data not shown) cells.,Not_a_complex
20230746_10,s4,T8,T9,Whereas ,Ams2," underwent rapid proteolysis in wild-type cells (Figures 2A and 2B, open circles), degradation of ",Ams2, was markedly decreased in arrested mts2-1 (filled circles) and mts3-1 (data not shown) cells.,Not_a_complex
20230746_10,s4,T9,T10,"Whereas Ams2 underwent rapid proteolysis in wild-type cells (Figures 2A and 2B, open circles), degradation of ",Ams2, was markedly decreased in arrested ,mts2,-1 (filled circles) and mts3-1 (data not shown) cells.,Not_a_complex
20230746_10,s4,T9,T11,"Whereas Ams2 underwent rapid proteolysis in wild-type cells (Figures 2A and 2B, open circles), degradation of ",Ams2, was markedly decreased in arrested mts2-1 (filled circles) and ,mts3,-1 (data not shown) cells.,Not_a_complex
20230746_10,s5,T12,T21,These observations indicated that ,Ams2, proteolysis requires the ,proteasome,"-dependent pathway.
",Not_a_complex
