20457806,s0,T1,T18,,Mds3, regulates morphogenesis in Candida albicans through the ,TOR," pathway. 
",Not_a_complex
20457806,s3,T2,T3,,Mds3, was identified as a regulator of pH-dependent morphogenesis that functions in parallel with the classic ,Rim101, pH-sensing pathway.,Not_a_complex
20457806,s4,T19,T24,Microarray analyses revealed that mds3 Delta/Delta cells had an expression profile indicative of a hyperactive ,TOR," pathway, including the preferential expression of genes encoding ribosomal proteins and a decreased expression of genes involved in ",nitrogen, source utilization.,Not_a_complex
20457806,s4,T4,T19,Microarray analyses revealed that ,mds3, Delta/Delta cells had an expression profile indicative of a hyperactive ,TOR," pathway, including the preferential expression of genes encoding ribosomal proteins and a decreased expression of genes involved in nitrogen source utilization.",Not_a_complex
20457806,s4,T4,T24,Microarray analyses revealed that ,mds3," Delta/Delta cells had an expression profile indicative of a hyperactive TOR pathway, including the preferential expression of genes encoding ribosomal proteins and a decreased expression of genes involved in ",nitrogen, source utilization.,Not_a_complex
20457806,s5,T25,T20,The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by ,rapamycin,", an inhibitor of ",TOR,", and this rescue was lost in strains carrying the rapamycin-resistant TOR1-1 allele or an rbp1 Delta/Delta deletion.",Not_a_complex
20457806,s5,T20,T26,"The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by rapamycin, an inhibitor of ",TOR,", and this rescue was lost in strains carrying the ",rapamycin,-resistant TOR1-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T25,T26,The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by ,rapamycin,", an inhibitor of TOR, and this rescue was lost in strains carrying the ",rapamycin,-resistant TOR1-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T5,T20,The transcriptional and morphological defects of the ,mds3," Delta/Delta mutant were rescued by rapamycin, an inhibitor of ",TOR,", and this rescue was lost in strains carrying the rapamycin-resistant TOR1-1 allele or an rbp1 Delta/Delta deletion.",Not_a_complex
20457806,s5,T5,T25,The transcriptional and morphological defects of the ,mds3, Delta/Delta mutant were rescued by ,rapamycin,", an inhibitor of TOR, and this rescue was lost in strains carrying the rapamycin-resistant TOR1-1 allele or an rbp1 Delta/Delta deletion.",Not_a_complex
20457806,s5,T5,T26,The transcriptional and morphological defects of the ,mds3," Delta/Delta mutant were rescued by rapamycin, an inhibitor of TOR, and this rescue was lost in strains carrying the ",rapamycin,-resistant TOR1-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T5,T6,The transcriptional and morphological defects of the ,mds3," Delta/Delta mutant were rescued by rapamycin, an inhibitor of TOR, and this rescue was lost in strains carrying the rapamycin-resistant ",TOR1,-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T5,T7,The transcriptional and morphological defects of the ,mds3," Delta/Delta mutant were rescued by rapamycin, an inhibitor of TOR, and this rescue was lost in strains carrying the rapamycin-resistant TOR1-1 allele or an ",rbp1, Delta/Delta deletion.,Not_a_complex
20457806,s5,T20,T6,"The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by rapamycin, an inhibitor of ",TOR,", and this rescue was lost in strains carrying the rapamycin-resistant ",TOR1,-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T25,T6,The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by ,rapamycin,", an inhibitor of TOR, and this rescue was lost in strains carrying the rapamycin-resistant ",TOR1,-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T26,T6,"The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by rapamycin, an inhibitor of TOR, and this rescue was lost in strains carrying the ",rapamycin,-resistant ,TOR1,-1 allele or an rbp1 Delta/Delta deletion.,Not_a_complex
20457806,s5,T6,T7,"The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by rapamycin, an inhibitor of TOR, and this rescue was lost in strains carrying the rapamycin-resistant ",TOR1,-1 allele or an ,rbp1, Delta/Delta deletion.,Not_a_complex
20457806,s5,T20,T7,"The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by rapamycin, an inhibitor of ",TOR,", and this rescue was lost in strains carrying the rapamycin-resistant TOR1-1 allele or an ",rbp1, Delta/Delta deletion.,Not_a_complex
20457806,s5,T25,T7,The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by ,rapamycin,", an inhibitor of TOR, and this rescue was lost in strains carrying the rapamycin-resistant TOR1-1 allele or an ",rbp1, Delta/Delta deletion.,Not_a_complex
20457806,s5,T26,T7,"The transcriptional and morphological defects of the mds3 Delta/Delta mutant were rescued by rapamycin, an inhibitor of TOR, and this rescue was lost in strains carrying the ",rapamycin,-resistant TOR1-1 allele or an ,rbp1, Delta/Delta deletion.,Not_a_complex
20457806,s6,T21,T10,"Rapamycin also rescued the transcriptional and morphological defects associated with the loss of Sit4, a ",TOR," pathway effector, but not the loss of Rim101 or ",Ras1,.,Not_a_complex
20457806,s6,T27,T10,,Rapamycin," also rescued the transcriptional and morphological defects associated with the loss of Sit4, a TOR pathway effector, but not the loss of Rim101 or ",Ras1,.,Not_a_complex
20457806,s6,T27,T21,,Rapamycin," also rescued the transcriptional and morphological defects associated with the loss of Sit4, a ",TOR," pathway effector, but not the loss of Rim101 or Ras1.",Not_a_complex
20457806,s6,T8,T10,Rapamycin also rescued the transcriptional and morphological defects associated with the loss of ,Sit4,", a TOR pathway effector, but not the loss of Rim101 or ",Ras1,.,Not_a_complex
20457806,s6,T8,T21,Rapamycin also rescued the transcriptional and morphological defects associated with the loss of ,Sit4,", a ",TOR," pathway effector, but not the loss of Rim101 or Ras1.",Not_a_complex
20457806,s6,T27,T8,,Rapamycin, also rescued the transcriptional and morphological defects associated with the loss of ,Sit4,", a TOR pathway effector, but not the loss of Rim101 or Ras1.",Not_a_complex
20457806,s6,T8,T9,Rapamycin also rescued the transcriptional and morphological defects associated with the loss of ,Sit4,", a TOR pathway effector, but not the loss of ",Rim101, or Ras1.,Not_a_complex
20457806,s6,T9,T10,"Rapamycin also rescued the transcriptional and morphological defects associated with the loss of Sit4, a TOR pathway effector, but not the loss of ",Rim101, or ,Ras1,.,Not_a_complex
20457806,s6,T21,T9,"Rapamycin also rescued the transcriptional and morphological defects associated with the loss of Sit4, a ",TOR," pathway effector, but not the loss of ",Rim101, or Ras1.,Not_a_complex
20457806,s6,T27,T9,,Rapamycin," also rescued the transcriptional and morphological defects associated with the loss of Sit4, a TOR pathway effector, but not the loss of ",Rim101, or Ras1.,Not_a_complex
