20581839,s0,T7,T1,Interplay between ,Cdh1, and ,JNK," activity during the cell cycle. 
",Not_a_complex
20581839,s1,T15,T8,The ,ubiquitin ligase, ,APC/C,(Cdh1) coordinates degradation of key cell cycle regulators.,Not_a_complex
20581839,s1,T8,T9,The ubiquitin ligase ,APC/C,(,Cdh1,) coordinates degradation of key cell cycle regulators.,Not_a_complex
20581839,s1,T15,T9,The ,ubiquitin ligase, APC/C(,Cdh1,) coordinates degradation of key cell cycle regulators.,Not_a_complex
20581839,s2,T10,T11,We report here that a nuclear-localized portion of the stress-activated kinase JNK is degraded by the ,APC/C,(,Cdh1,) during exit from mitosis and the G1 phase of the cell cycle.,Not_a_complex
20581839,s2,T2,T10,We report here that a nuclear-localized portion of the stress-activated kinase ,JNK, is degraded by the ,APC/C,(Cdh1) during exit from mitosis and the G1 phase of the cell cycle.,Not_a_complex
20581839,s2,T2,T11,We report here that a nuclear-localized portion of the stress-activated kinase ,JNK, is degraded by the APC/C(,Cdh1,) during exit from mitosis and the G1 phase of the cell cycle.,Not_a_complex
20581839,s4,T12,T13,"Moreover, JNK phosphorylates ",Cdh1," directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the ",APC/C," during G2/M. This regulatory mechanism between JNK and Cdh1 reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T12,T14,"Moreover, JNK phosphorylates ",Cdh1," directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between JNK and ",Cdh1," reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T13,T14,"Moreover, JNK phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the ",APC/C, during G2/M. This regulatory mechanism between JNK and ,Cdh1," reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T4,T12,"Moreover, ",JNK, phosphorylates ,Cdh1," directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between JNK and Cdh1 reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T4,T13,"Moreover, ",JNK," phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the ",APC/C," during G2/M. This regulatory mechanism between JNK and Cdh1 reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T4,T14,"Moreover, ",JNK," phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between JNK and ",Cdh1," reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T4,T5,"Moreover, ",JNK," phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between ",JNK," and Cdh1 reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T4,T6,"Moreover, ",JNK," phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between JNK and Cdh1 reveals an important function for ",JNK," during the cell cycle. 
",Not_a_complex
20581839,s4,T12,T5,"Moreover, JNK phosphorylates ",Cdh1," directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between ",JNK," and Cdh1 reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T13,T5,"Moreover, JNK phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the ",APC/C, during G2/M. This regulatory mechanism between ,JNK," and Cdh1 reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T5,T14,"Moreover, JNK phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between ",JNK, and ,Cdh1," reveals an important function for JNK during the cell cycle. 
",Not_a_complex
20581839,s4,T5,T6,"Moreover, JNK phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between ",JNK, and Cdh1 reveals an important function for ,JNK," during the cell cycle. 
",Not_a_complex
20581839,s4,T12,T6,"Moreover, JNK phosphorylates ",Cdh1," directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between JNK and Cdh1 reveals an important function for ",JNK," during the cell cycle. 
",Not_a_complex
20581839,s4,T13,T6,"Moreover, JNK phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the ",APC/C, during G2/M. This regulatory mechanism between JNK and Cdh1 reveals an important function for ,JNK," during the cell cycle. 
",Not_a_complex
20581839,s4,T14,T6,"Moreover, JNK phosphorylates Cdh1 directly, during G2 and early mitosis, changing its subcellular localization and attenuating its ability to activate the APC/C during G2/M. This regulatory mechanism between JNK and ",Cdh1, reveals an important function for ,JNK," during the cell cycle. 
",Not_a_complex
