21402695,s0,T1,T21,Pivotal role of the C2 domain of the ,Smurf1, ,ubiquitin ligase," in substrate selection. 
",Not_a_complex
21402695,s1,T19,T18,The C2-WW-HECT-type ubiquitin ligases Smurf1 and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of ,bone morphogenetic protein,", ",Wnt,", and RhoA signaling pathways.",Not_a_complex
21402695,s1,T20,T18,The C2-WW-HECT-type ,ubiquitin ligases," Smurf1 and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, ",Wnt,", and RhoA signaling pathways.",Not_a_complex
21402695,s1,T20,T19,The C2-WW-HECT-type ,ubiquitin ligases, Smurf1 and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of ,bone morphogenetic protein,", Wnt, and RhoA signaling pathways.",Not_a_complex
21402695,s1,T2,T18,The C2-WW-HECT-type ubiquitin ligases ,Smurf1," and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, ",Wnt,", and RhoA signaling pathways.",Not_a_complex
21402695,s1,T2,T19,The C2-WW-HECT-type ubiquitin ligases ,Smurf1, and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of ,bone morphogenetic protein,", Wnt, and RhoA signaling pathways.",Not_a_complex
21402695,s1,T20,T2,The C2-WW-HECT-type ,ubiquitin ligases, ,Smurf1," and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, Wnt, and RhoA signaling pathways.",Not_a_complex
21402695,s1,T2,T3,The C2-WW-HECT-type ubiquitin ligases ,Smurf1, and ,Smurf2," play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, Wnt, and RhoA signaling pathways.",Not_a_complex
21402695,s1,T2,T4,The C2-WW-HECT-type ubiquitin ligases ,Smurf1," and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, Wnt, and ",RhoA, signaling pathways.,Not_a_complex
21402695,s1,T3,T18,The C2-WW-HECT-type ubiquitin ligases Smurf1 and ,Smurf2," play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, ",Wnt,", and RhoA signaling pathways.",Not_a_complex
21402695,s1,T3,T19,The C2-WW-HECT-type ubiquitin ligases Smurf1 and ,Smurf2, play a critical role in embryogenesis and adult bone homeostasis via regulation of ,bone morphogenetic protein,", Wnt, and RhoA signaling pathways.",Not_a_complex
21402695,s1,T20,T3,The C2-WW-HECT-type ,ubiquitin ligases, Smurf1 and ,Smurf2," play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, Wnt, and RhoA signaling pathways.",Not_a_complex
21402695,s1,T3,T4,The C2-WW-HECT-type ubiquitin ligases Smurf1 and ,Smurf2," play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, Wnt, and ",RhoA, signaling pathways.,Not_a_complex
21402695,s1,T18,T4,"The C2-WW-HECT-type ubiquitin ligases Smurf1 and Smurf2 play a critical role in embryogenesis and adult bone homeostasis via regulation of bone morphogenetic protein, ",Wnt,", and ",RhoA, signaling pathways.,Not_a_complex
