2196387,s0,T6,T8,Inducible nuclear factor binding to the ,kappa B, elements of the human immunodeficiency virus enhancer in T cells can be blocked by ,cyclosporin A," in a signal-dependent manner. 
",Not_a_complex
2196387,s0,T9,T6,,Inducible nuclear factor, binding to the ,kappa B," elements of the human immunodeficiency virus enhancer in T cells can be blocked by cyclosporin A in a signal-dependent manner. 
",Not_a_complex
2196387,s0,T9,T8,,Inducible nuclear factor, binding to the kappa B elements of the human immunodeficiency virus enhancer in T cells can be blocked by ,cyclosporin A," in a signal-dependent manner. 
",Not_a_complex
2196387,s1,T5,T1,,Cyclosporin A," (CsA) is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for ",interleukin-2,.,Not_a_complex
2196387,s1,T7,T1,Cyclosporin A (,CsA,") is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for ",interleukin-2,.,Not_a_complex
2196387,s1,T5,T7,,Cyclosporin A, (,CsA,") is thought to exert its immunosuppressive effects by inhibiting the expression of a distinct set of lymphokine genes which are induced upon T-cell activation, among them the gene coding for interleukin-2.",Not_a_complex
2196387,s4,T11,T12,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The ,kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T11,T13,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ,phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T11,T14,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ,phorbol myristate acetate,-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T12,T13,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ,phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T12,T14,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ,phorbol myristate acetate,-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T13,T14,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the NFAT-1 complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ",phytohemagglutinin, whereas ,phorbol myristate acetate,-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T2,T11,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the ",NFAT-1," complex within the interleukin-2 enhancer, is inhibited in the presence of ",CsA,. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T2,T12,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the ",NFAT-1," complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The ",kappa B,-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T2,T13,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the ",NFAT-1," complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen ",phytohemagglutinin, whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T2,T14,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the ",NFAT-1," complex within the interleukin-2 enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas ",phorbol myristate acetate,-mediated activation is completely insensitive to the drug.,Not_a_complex
2196387,s4,T2,T3,"Here we report that the formation of two distinct mitogen-inducible DNA-binding complexes, the kappa B complex within the HIV enhancer and the ",NFAT-1, complex within the ,interleukin-2," enhancer, is inhibited in the presence of CsA. The kappa B-binding activity with the HIV enhancer is inhibited only if it is activated via the mitogen phytohemagglutinin whereas phorbol myristate acetate-mediated activation is completely insensitive to the drug.",Not_a_complex
