22155231,s0,T18,T1,The Brucella TIR-like protein ,TcpB, interacts with the death domain of ,MyD88,". 
",Complex_formation
22155231,s3,T23,T2,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that ",TcpB, interacts directly with ,MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Complex_formation
22155231,s3,T3,T24,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with ",TIRAP,", the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Complex_formation
22155231,s3,T25,T3,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of ",TcpB, with ,TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Complex_formation
22155231,s3,T26,T4,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with MyD88 and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,-,MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Complex_formation
22155231,s3,T2,T24,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with ",TcpB,". Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T2,T25,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88, and that this interaction is significantly stronger than the interaction of ,TcpB," with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T2,T26,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the ",TcpB,"-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T2,T27,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and ",TcpB, does not interact with the isolated TIR domain of MyD88.,Not_a_complex
22155231,s3,T2,T3,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88, and that this interaction is significantly stronger than the interaction of TcpB with ,TIRAP,", the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-MyD88 interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
22155231,s3,T2,T4,"Using protein-fragment complementation assays based on Gaussia luciferase and green fluorescent protein, we find that TcpB interacts directly with ",MyD88," and that this interaction is significantly stronger than the interaction of TcpB with TIRAP, the only other adaptor protein that detectably interacts with TcpB. Surprisingly, the TcpB-",MyD88," interaction depends on the death domain (DD) of MyD88, and TcpB does not interact with the isolated TIR domain of MyD88.",Not_a_complex
