22238360,s0,T1,T25,Dissection of the ,NUP107, nuclear pore subcomplex reveals a novel interaction with spindle assembly checkpoint protein ,MAD1," in Caenorhabditis elegans. 
",Complex_formation
22238360,s5,T4,T5,Caenorhabditis elegans ,NUP107,/,npp-5, mutants display temperature-dependent lethality.,Not_a_complex
22238360,s6,T6,T27,"Surprisingly, ",NPP-5, is dispensable for incorporation of most ,nucleoporins, into nuclear pores and for nuclear protein import.,Not_a_complex
22238360,s7,T10,T11,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another ",NUP107," complex member, whereas recruitment of ",NUP96,/NPP-10C and ELYS/MEL-28 is NPP-5 independent.,Complex_formation
22238360,s7,T10,T12,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another ",NUP107," complex member, whereas recruitment of NUP96/NPP-10C and ",ELYS,/MEL-28 is NPP-5 independent.,Complex_formation
22238360,s7,T10,T13,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another ",NUP107," complex member, whereas recruitment of NUP96/NPP-10C and ELYS/",MEL-28, is NPP-5 independent.,Complex_formation
22238360,s7,T10,T26,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another ",NUP107," complex member, whereas recruitment of NUP96/",NPP-10C, and ELYS/MEL-28 is NPP-5 independent.,Complex_formation
22238360,s7,T8,T10,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,"/NPP-15, another ",NUP107," complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is NPP-5 independent.",Complex_formation
22238360,s7,T9,T10,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/",NPP-15,", another ",NUP107," complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is NPP-5 independent.",Complex_formation
22238360,s7,T10,T14,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another ",NUP107," complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is ",NPP-5, independent.,Not_a_complex
22238360,s7,T11,T12,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of ",NUP96,/NPP-10C and ,ELYS,/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T11,T13,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of ",NUP96,/NPP-10C and ELYS/,MEL-28, is NPP-5 independent.,Not_a_complex
22238360,s7,T11,T14,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of ",NUP96,/NPP-10C and ELYS/MEL-28 is ,NPP-5, independent.,Not_a_complex
22238360,s7,T11,T26,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of ",NUP96,/,NPP-10C, and ELYS/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T12,T13,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ",ELYS,/,MEL-28, is NPP-5 independent.,Not_a_complex
22238360,s7,T12,T14,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ",ELYS,/MEL-28 is ,NPP-5, independent.,Not_a_complex
22238360,s7,T26,T12,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/",NPP-10C, and ,ELYS,/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T13,T14,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/",MEL-28, is ,NPP-5, independent.,Not_a_complex
22238360,s7,T26,T13,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/",NPP-10C, and ELYS/,MEL-28, is NPP-5 independent.,Not_a_complex
22238360,s7,T26,T14,"In contrast, NPP-5 is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/",NPP-10C, and ELYS/MEL-28 is ,NPP-5, independent.,Not_a_complex
22238360,s7,T7,T10,"In contrast, ",NPP-5," is essential for proper kinetochore localization of NUP133/NPP-15, another ",NUP107," complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is NPP-5 independent.",Not_a_complex
22238360,s7,T7,T11,"In contrast, ",NPP-5," is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of ",NUP96,/NPP-10C and ELYS/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T7,T12,"In contrast, ",NPP-5," is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ",ELYS,/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T7,T13,"In contrast, ",NPP-5," is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/",MEL-28, is NPP-5 independent.,Not_a_complex
22238360,s7,T7,T14,"In contrast, ",NPP-5," is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is ",NPP-5, independent.,Not_a_complex
22238360,s7,T7,T26,"In contrast, ",NPP-5," is essential for proper kinetochore localization of NUP133/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/",NPP-10C, and ELYS/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T7,T8,"In contrast, ",NPP-5, is essential for proper kinetochore localization of ,NUP133,"/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is NPP-5 independent.",Not_a_complex
22238360,s7,T7,T9,"In contrast, ",NPP-5, is essential for proper kinetochore localization of NUP133/,NPP-15,", another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is NPP-5 independent.",Not_a_complex
22238360,s7,T8,T11,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,"/NPP-15, another NUP107 complex member, whereas recruitment of ",NUP96,/NPP-10C and ELYS/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T8,T12,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,"/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ",ELYS,/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T8,T13,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,"/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/",MEL-28, is NPP-5 independent.,Not_a_complex
22238360,s7,T8,T14,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,"/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is ",NPP-5, independent.,Not_a_complex
22238360,s7,T8,T26,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,"/NPP-15, another NUP107 complex member, whereas recruitment of NUP96/",NPP-10C, and ELYS/MEL-28 is NPP-5 independent.,Not_a_complex
22238360,s7,T8,T9,"In contrast, NPP-5 is essential for proper kinetochore localization of ",NUP133,/,NPP-15,", another NUP107 complex member, whereas recruitment of NUP96/NPP-10C and ELYS/MEL-28 is NPP-5 independent.",Not_a_complex
