22904036,s0,T1,T19,The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the ,Mig1,/,2," transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s0,T23,T1,The filamentous growth ,MAPK, Pathway Responds to Glucose Starvation Through the ,Mig1,"/2 transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s0,T26,T1,The filamentous growth MAPK Pathway Responds to ,Glucose, Starvation Through the ,Mig1,"/2 transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s0,T23,T19,The filamentous growth ,MAPK, Pathway Responds to Glucose Starvation Through the Mig1/,2," transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s0,T26,T19,The filamentous growth MAPK Pathway Responds to ,Glucose, Starvation Through the Mig1/,2," transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s0,T23,T26,The filamentous growth ,MAPK, Pathway Responds to ,Glucose," Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
",Not_a_complex
22904036,s3,T25,T2,We characterized a newly identified ,MAPK," regulatory protein of the filamentous growth pathway, ",Opy2,.,Not_a_complex
22904036,s4,T3,T4,A two-hybrid screen with the cytosolic domain of ,Opy2," uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, ",Mig1,", and its close functional homolog, Mig2.",Complex_formation
22904036,s4,T3,T5,A two-hybrid screen with the cytosolic domain of ,Opy2," uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, ",Mig2,.,Complex_formation
22904036,s4,T3,T28,A two-hybrid screen with the cytosolic domain of ,Opy2, uncovered new interacting partners including a transcriptional repressor that functions in the ,AMPK," pathway, Mig1, and its close functional homolog, Mig2.",Not_a_complex
22904036,s4,T28,T4,A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the ,AMPK," pathway, ",Mig1,", and its close functional homolog, Mig2.",Not_a_complex
22904036,s4,T4,T5,"A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, ",Mig1,", and its close functional homolog, ",Mig2,.,Not_a_complex
22904036,s4,T28,T5,A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the ,AMPK," pathway, Mig1, and its close functional homolog, ",Mig2,.,Not_a_complex
22904036,s5,T27,T29,Mig1 and Mig2 coregulated the filamentous growth pathway in response to ,glucose," limitation, as did the ",AMP kinase, Snf1.,Not_a_complex
22904036,s5,T6,T27,,Mig1, and Mig2 coregulated the filamentous growth pathway in response to ,glucose," limitation, as did the AMP kinase Snf1.",Not_a_complex
22904036,s5,T6,T29,,Mig1," and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the ",AMP kinase, Snf1.,Not_a_complex
22904036,s5,T6,T7,,Mig1, and ,Mig2," coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1.",Not_a_complex
22904036,s5,T6,T8,,Mig1," and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase ",Snf1,.,Not_a_complex
22904036,s5,T7,T27,Mig1 and ,Mig2, coregulated the filamentous growth pathway in response to ,glucose," limitation, as did the AMP kinase Snf1.",Not_a_complex
22904036,s5,T7,T29,Mig1 and ,Mig2," coregulated the filamentous growth pathway in response to glucose limitation, as did the ",AMP kinase, Snf1.,Not_a_complex
22904036,s5,T7,T8,Mig1 and ,Mig2," coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase ",Snf1,.,Not_a_complex
22904036,s5,T27,T8,Mig1 and Mig2 coregulated the filamentous growth pathway in response to ,glucose," limitation, as did the AMP kinase ",Snf1,.,Not_a_complex
22904036,s5,T29,T8,"Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the ",AMP kinase, ,Snf1,.,Not_a_complex
22904036,s6,T10,T12,"In addition to associating with Opy2, ",Mig1, and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ,Msb2,", the MAP kinase kinase Ste7, and the MAP kinase Kss1.",Complex_formation
22904036,s6,T10,T13,"In addition to associating with Opy2, ",Mig1," and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the MAP kinase Kss1.",Complex_formation
22904036,s6,T10,T14,"In addition to associating with Opy2, ",Mig1," and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase ",Kss1,.,Complex_formation
22904036,s6,T11,T12,"In addition to associating with Opy2, Mig1 and ",Mig2, interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ,Msb2,", the MAP kinase kinase Ste7, and the MAP kinase Kss1.",Complex_formation
