23620299_19,s1,T24,T1,Of the five ,KEOPS," subunits, ",Kae1, is the sole subunit universally conserved across all three domains of life.,Not_a_complex
23620299_19,s2,T2,T25,"Hence, we reasoned that ",Kae1, contributed an essential core function within ,KEOPS," and that Bud32, Cgi121, Pcc1 and Gon7 evolved to augment or regulate Kae1.",Not_a_complex
23620299_19,s2,T2,T3,"Hence, we reasoned that ",Kae1, contributed an essential core function within KEOPS and that ,Bud32,", Cgi121, Pcc1 and Gon7 evolved to augment or regulate Kae1.",Not_a_complex
23620299_19,s2,T2,T4,"Hence, we reasoned that ",Kae1," contributed an essential core function within KEOPS and that Bud32, ",Cgi121,", Pcc1 and Gon7 evolved to augment or regulate Kae1.",Not_a_complex
23620299_19,s2,T2,T5,"Hence, we reasoned that ",Kae1," contributed an essential core function within KEOPS and that Bud32, Cgi121, ",Pcc1, and Gon7 evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T2,T6,"Hence, we reasoned that ",Kae1," contributed an essential core function within KEOPS and that Bud32, Cgi121, Pcc1 and ",Gon7, evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T2,T7,"Hence, we reasoned that ",Kae1," contributed an essential core function within KEOPS and that Bud32, Cgi121, Pcc1 and Gon7 evolved to augment or regulate ",Kae1,.,Not_a_complex
23620299_19,s2,T25,T3,"Hence, we reasoned that Kae1 contributed an essential core function within ",KEOPS, and that ,Bud32,", Cgi121, Pcc1 and Gon7 evolved to augment or regulate Kae1.",Not_a_complex
23620299_19,s2,T3,T4,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that ",Bud32,", ",Cgi121,", Pcc1 and Gon7 evolved to augment or regulate Kae1.",Not_a_complex
23620299_19,s2,T3,T5,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that ",Bud32,", Cgi121, ",Pcc1, and Gon7 evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T3,T6,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that ",Bud32,", Cgi121, Pcc1 and ",Gon7, evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T3,T7,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that ",Bud32,", Cgi121, Pcc1 and Gon7 evolved to augment or regulate ",Kae1,.,Not_a_complex
23620299_19,s2,T25,T4,"Hence, we reasoned that Kae1 contributed an essential core function within ",KEOPS," and that Bud32, ",Cgi121,", Pcc1 and Gon7 evolved to augment or regulate Kae1.",Not_a_complex
23620299_19,s2,T4,T5,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that Bud32, ",Cgi121,", ",Pcc1, and Gon7 evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T4,T6,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that Bud32, ",Cgi121,", Pcc1 and ",Gon7, evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T4,T7,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that Bud32, ",Cgi121,", Pcc1 and Gon7 evolved to augment or regulate ",Kae1,.,Not_a_complex
23620299_19,s2,T25,T5,"Hence, we reasoned that Kae1 contributed an essential core function within ",KEOPS," and that Bud32, Cgi121, ",Pcc1, and Gon7 evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T5,T6,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that Bud32, Cgi121, ",Pcc1, and ,Gon7, evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T5,T7,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that Bud32, Cgi121, ",Pcc1, and Gon7 evolved to augment or regulate ,Kae1,.,Not_a_complex
23620299_19,s2,T25,T6,"Hence, we reasoned that Kae1 contributed an essential core function within ",KEOPS," and that Bud32, Cgi121, Pcc1 and ",Gon7, evolved to augment or regulate Kae1.,Not_a_complex
23620299_19,s2,T6,T7,"Hence, we reasoned that Kae1 contributed an essential core function within KEOPS and that Bud32, Cgi121, Pcc1 and ",Gon7, evolved to augment or regulate ,Kae1,.,Not_a_complex
23620299_19,s2,T25,T7,"Hence, we reasoned that Kae1 contributed an essential core function within ",KEOPS," and that Bud32, Cgi121, Pcc1 and Gon7 evolved to augment or regulate ",Kae1,.,Not_a_complex
23620299_19,s3,T8,T9,"Interestingly, eukaryotic cells harbor a ",Kae1," paralog, ",Qri7,", which is targeted to mitochondria.",Not_a_complex
23620299_19,s4,T10,T26,"Consistent with the predicted paralogous relationship, redirection of ",Qri7, from the mitochondria to the cytoplasm via deletion of the mitochondrial targeting sequence enabled rescue of the slow growth phenotype of a ,kae1Delta, yeast strain.,Not_a_complex
