24186360,s0,T31,T1,Counteracting neuronal ,nitric oxide, synthase proteasomal degradation improves glucose transport in ,insulin,"-resistant skeletal muscle from Zucker fa/fa rats. 
",Not_a_complex
24186360,s1,T2,T25,AIMS/HYPOTHESIS: ,Insulin,-mediated ,glucose," transport and utilisation are decreased in skeletal muscle from type 2 diabetic and glucose-intolerant individuals because of alterations in insulin receptor signalling, GLUT4 translocation to the plasma membrane and microvascular blood flow.",Not_a_complex
24186360,s1,T2,T26,AIMS/HYPOTHESIS: ,Insulin,-mediated glucose transport and utilisation are decreased in skeletal muscle from type 2 diabetic and ,glucose,"-intolerant individuals because of alterations in insulin receptor signalling, GLUT4 translocation to the plasma membrane and microvascular blood flow.",Not_a_complex
24186360,s1,T2,T3,AIMS/HYPOTHESIS: ,Insulin,-mediated glucose transport and utilisation are decreased in skeletal muscle from type 2 diabetic and glucose-intolerant individuals because of alterations in ,insulin," receptor signalling, GLUT4 translocation to the plasma membrane and microvascular blood flow.",Not_a_complex
24186360,s1,T2,T4,AIMS/HYPOTHESIS: ,Insulin,"-mediated glucose transport and utilisation are decreased in skeletal muscle from type 2 diabetic and glucose-intolerant individuals because of alterations in insulin receptor signalling, ",GLUT4, translocation to the plasma membrane and microvascular blood flow.,Not_a_complex
24186360,s1,T25,T26,AIMS/HYPOTHESIS: Insulin-mediated ,glucose, transport and utilisation are decreased in skeletal muscle from type 2 diabetic and ,glucose,"-intolerant individuals because of alterations in insulin receptor signalling, GLUT4 translocation to the plasma membrane and microvascular blood flow.",Not_a_complex
24186360,s1,T25,T3,AIMS/HYPOTHESIS: Insulin-mediated ,glucose, transport and utilisation are decreased in skeletal muscle from type 2 diabetic and glucose-intolerant individuals because of alterations in ,insulin," receptor signalling, GLUT4 translocation to the plasma membrane and microvascular blood flow.",Not_a_complex
24186360,s1,T26,T3,AIMS/HYPOTHESIS: Insulin-mediated glucose transport and utilisation are decreased in skeletal muscle from type 2 diabetic and ,glucose,-intolerant individuals because of alterations in ,insulin," receptor signalling, GLUT4 translocation to the plasma membrane and microvascular blood flow.",Not_a_complex
24186360,s1,T3,T4,AIMS/HYPOTHESIS: Insulin-mediated glucose transport and utilisation are decreased in skeletal muscle from type 2 diabetic and glucose-intolerant individuals because of alterations in ,insulin," receptor signalling, ",GLUT4, translocation to the plasma membrane and microvascular blood flow.,Not_a_complex
24186360,s1,T25,T4,AIMS/HYPOTHESIS: Insulin-mediated ,glucose," transport and utilisation are decreased in skeletal muscle from type 2 diabetic and glucose-intolerant individuals because of alterations in insulin receptor signalling, ",GLUT4, translocation to the plasma membrane and microvascular blood flow.,Not_a_complex
24186360,s1,T26,T4,AIMS/HYPOTHESIS: Insulin-mediated glucose transport and utilisation are decreased in skeletal muscle from type 2 diabetic and ,glucose,"-intolerant individuals because of alterations in insulin receptor signalling, ",GLUT4, translocation to the plasma membrane and microvascular blood flow.,Not_a_complex
24186360,s2,T16,T17,Catalytic activity of the muscle-specific isoform of ,neuronal nitric oxide synthase, (,nNOS,") also participates in the regulation of glucose transport and appears to be decreased in a relevant animal model of drastic insulin resistance, the obese Zucker fa/fa rat.",Not_a_complex
24186360,s2,T16,T27,Catalytic activity of the muscle-specific isoform of ,neuronal nitric oxide synthase, (nNOS) also participates in the regulation of ,glucose," transport and appears to be decreased in a relevant animal model of drastic insulin resistance, the obese Zucker fa/fa rat.",Not_a_complex
24186360,s2,T17,T27,Catalytic activity of the muscle-specific isoform of neuronal nitric oxide synthase (,nNOS,) also participates in the regulation of ,glucose," transport and appears to be decreased in a relevant animal model of drastic insulin resistance, the obese Zucker fa/fa rat.",Not_a_complex
24186360,s2,T16,T5,Catalytic activity of the muscle-specific isoform of ,neuronal nitric oxide synthase, (nNOS) also participates in the regulation of glucose transport and appears to be decreased in a relevant animal model of drastic ,insulin," resistance, the obese Zucker fa/fa rat.",Not_a_complex
24186360,s2,T17,T5,Catalytic activity of the muscle-specific isoform of neuronal nitric oxide synthase (,nNOS,) also participates in the regulation of glucose transport and appears to be decreased in a relevant animal model of drastic ,insulin," resistance, the obese Zucker fa/fa rat.",Not_a_complex
