24608665_11,s0,T3,T1,MCF7 cells were grown in 10 cm plates to 40% confluency and transfected (Roche Xtreme Gene 9) with ,HA,-,DBC2, or pcDNA3-empty vector for 16 hours.,Not_a_complex
24608665_11,s1,T10,T11,"Cells were washed twice with cold PBS supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM Hepes pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% ",glycerol,", 20 mM ",sodium molybdate, and Roche protease inhibitor cocktail).,Not_a_complex
24608665_11,s1,T17,T10,Cells were washed twice with cold PBS supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM ,Hepes," pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% ",glycerol,", 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
24608665_11,s1,T17,T11,Cells were washed twice with cold PBS supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM ,Hepes," pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% glycerol, 20 mM ",sodium molybdate, and Roche protease inhibitor cocktail).,Not_a_complex
24608665_11,s1,T4,T10,Cells were washed twice with cold ,PBS," supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM Hepes pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% ",glycerol,", 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
24608665_11,s1,T4,T11,Cells were washed twice with cold ,PBS," supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM Hepes pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% glycerol, 20 mM ",sodium molybdate, and Roche protease inhibitor cocktail).,Not_a_complex
24608665_11,s1,T4,T17,Cells were washed twice with cold ,PBS, supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM ,Hepes," pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% glycerol, 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
24608665_11,s1,T4,T5,Cells were washed twice with cold ,PBS, supplemented with 20 mM ,sodium molybdate," and then lysed with HNET buffer (20 mM Hepes pH 7.7 with KOH, 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% glycerol, 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
24608665_11,s1,T4,T6,Cells were washed twice with cold ,PBS, supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM Hepes pH 7.7 with ,KOH,", 100 mM NaCl, 2 mM EGTA, 0.5% NP-40, 5% glycerol, 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
24608665_11,s1,T4,T7,Cells were washed twice with cold ,PBS," supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM Hepes pH 7.7 with KOH, 100 mM ",NaCl,", 2 mM EGTA, 0.5% NP-40, 5% glycerol, 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
24608665_11,s1,T4,T8,Cells were washed twice with cold ,PBS," supplemented with 20 mM sodium molybdate and then lysed with HNET buffer (20 mM Hepes pH 7.7 with KOH, 100 mM NaCl, 2 mM ",EGTA,", 0.5% NP-40, 5% glycerol, 20 mM sodium molybdate and Roche protease inhibitor cocktail).",Not_a_complex
