25144774_28,s1,T1,T2,According to Han et al. ,p38a, and ,p38b," appear to have partial functional redundancy, because both isoforms are similarly activated in response to stress-inducing or inflammatory stimuli in cell culture experiments.",Not_a_complex
25144774_28,s3,T3,T4,"But the compensatory mechanism may be elusive when one isoform is only down-regulated in specific neurons that are not necessary for survival (e.g. the clock neurons): Lengthened free-running rhythms in DD just occurred, when either ",p38b, or ,p38a," levels in clock neurons were reduced, but not completely absent from the entire fly.",Not_a_complex
25144774_28,s5,T5,T10,As ,p38a, mRNA levels were not increased in p38bDelta45 flies and p38b mRNA levels were not elevated in ,p38aDelta1," (Fig. S8), normal wildtype p38a or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T5,T6,As ,p38a, mRNA levels were not increased in p38bDelta45 flies and ,p38b," mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype p38a or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T5,T7,As ,p38a," mRNA levels were not increased in p38bDelta45 flies and p38b mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype ",p38a," or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T5,T8,As ,p38a," mRNA levels were not increased in p38bDelta45 flies and p38b mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype p38a or ",p38b," levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T5,T9,As ,p38a, mRNA levels were not increased in ,p38bDelta45," flies and p38b mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype p38a or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T6,T10,As p38a mRNA levels were not increased in p38bDelta45 flies and ,p38b, mRNA levels were not elevated in ,p38aDelta1," (Fig. S8), normal wildtype p38a or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T6,T7,As p38a mRNA levels were not increased in p38bDelta45 flies and ,p38b," mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype ",p38a," or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T6,T8,As p38a mRNA levels were not increased in p38bDelta45 flies and ,p38b," mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype p38a or ",p38b," levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T9,T6,As p38a mRNA levels were not increased in ,p38bDelta45, flies and ,p38b," mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype p38a or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T10,T7,As p38a mRNA levels were not increased in p38bDelta45 flies and p38b mRNA levels were not elevated in ,p38aDelta1," (Fig. S8), normal wildtype ",p38a," or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T7,T8,"As p38a mRNA levels were not increased in p38bDelta45 flies and p38b mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype ",p38a, or ,p38b," levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T9,T7,As p38a mRNA levels were not increased in ,p38bDelta45," flies and p38b mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype ",p38a," or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T10,T8,As p38a mRNA levels were not increased in p38bDelta45 flies and p38b mRNA levels were not elevated in ,p38aDelta1," (Fig. S8), normal wildtype p38a or ",p38b," levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T9,T8,As p38a mRNA levels were not increased in ,p38bDelta45," flies and p38b mRNA levels were not elevated in p38aDelta1 (Fig. S8), normal wildtype p38a or ",p38b," levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
25144774_28,s5,T9,T10,As p38a mRNA levels were not increased in ,p38bDelta45, flies and p38b mRNA levels were not elevated in ,p38aDelta1," (Fig. S8), normal wildtype p38a or p38b levels seem to be sufficient to drive circadian rhythms in complete absence of the other isoform.
",Not_a_complex
