25161877_7,s0,T1,T8,,Emi1, and ,Emi2, also exhibit DB-independent inhibitory activities against the polyubiquitylation of the APC/C target proteins.,Not_a_complex
25161877_7,s0,T1,T9,,Emi1, and Emi2 also exhibit DB-independent inhibitory activities against the polyubiquitylation of the ,APC/C, target proteins.,Not_a_complex
25161877_7,s0,T8,T9,Emi1 and ,Emi2, also exhibit DB-independent inhibitory activities against the polyubiquitylation of the ,APC/C, target proteins.,Not_a_complex
25161877_7,s1,T2,T10,The inhibitory activity of ,Emi1," requires its C-terminal region, which corresponds to the C-terminal tail of ",Emi2,.,Not_a_complex
25161877_7,s2,T11,T12,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,-,Cdh1,", in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).",Not_a_complex
25161877_7,s2,T11,T13,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with ",E2C,/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T11,T14,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/UBE2C/UBCH10 (",ubiquitin chain-initiating E2,) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T11,T15,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or ",E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T11,T16,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by ,APC/C,"-Cdh1, in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (",ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T12,T13,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with ",E2C,/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T12,T14,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/UBE2C/UBCH10 (",ubiquitin chain-initiating E2,) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T12,T15,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or ",E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T12,T16,The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-,Cdh1,", in combination with E2C/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or E2S/UBE2S (",ubiquitin chain-extending E2,).,Not_a_complex
25161877_7,s2,T13,T14,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/UBE2C/UBCH10 (,ubiquitin chain-initiating E2,) and/or E2S/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
25161877_7,s2,T13,T15,"The ZBR-RL fragment of Emi1 has inhibitory activity against polyubiquitin chain formation on the target protein by APC/C-Cdh1, in combination with ",E2C,/UBE2C/UBCH10 (ubiquitin chain-initiating E2) and/or ,E2S,/UBE2S (ubiquitin chain-extending E2).,Not_a_complex
