26126536,s0,T1,T2,,Protein Arginine Methyltransferase 1, Methylates ,Smurf2,". 
",Not_a_complex
26126536,s1,T22,T23,"Smurf2, a member of the HECT domain E3 ligase family, is well known for its role as a negative regulator of TGF-beta signaling by targeting ",Smads, and ,TGF-beta receptor,.,Not_a_complex
26126536,s1,T25,T22,"Smurf2, a member of the HECT domain ",E3 ligase," family, is well known for its role as a negative regulator of TGF-beta signaling by targeting ",Smads, and TGF-beta receptor.,Not_a_complex
26126536,s1,T26,T22,"Smurf2, a member of the HECT domain E3 ligase family, is well known for its role as a negative regulator of ",TGF-beta, signaling by targeting ,Smads, and TGF-beta receptor.,Not_a_complex
26126536,s1,T25,T23,"Smurf2, a member of the HECT domain ",E3 ligase," family, is well known for its role as a negative regulator of TGF-beta signaling by targeting Smads and ",TGF-beta receptor,.,Not_a_complex
26126536,s1,T26,T23,"Smurf2, a member of the HECT domain E3 ligase family, is well known for its role as a negative regulator of ",TGF-beta, signaling by targeting Smads and ,TGF-beta receptor,.,Not_a_complex
26126536,s1,T25,T26,"Smurf2, a member of the HECT domain ",E3 ligase," family, is well known for its role as a negative regulator of ",TGF-beta, signaling by targeting Smads and TGF-beta receptor.,Not_a_complex
26126536,s1,T3,T22,,Smurf2,", a member of the HECT domain E3 ligase family, is well known for its role as a negative regulator of TGF-beta signaling by targeting ",Smads, and TGF-beta receptor.,Not_a_complex
26126536,s1,T3,T23,,Smurf2,", a member of the HECT domain E3 ligase family, is well known for its role as a negative regulator of TGF-beta signaling by targeting Smads and ",TGF-beta receptor,.,Not_a_complex
26126536,s1,T3,T25,,Smurf2,", a member of the HECT domain ",E3 ligase," family, is well known for its role as a negative regulator of TGF-beta signaling by targeting Smads and TGF-beta receptor.",Not_a_complex
26126536,s1,T3,T26,,Smurf2,", a member of the HECT domain E3 ligase family, is well known for its role as a negative regulator of ",TGF-beta, signaling by targeting Smads and TGF-beta receptor.,Not_a_complex
26126536,s4,T5,T6,"In this report, we demonstrated methylation of ",Smurf2, by ,PRMT1,.,Not_a_complex
26126536,s5,T7,T8,In vitro methylation assay showed that ,Smurf2,", not ",Smurf1,", was methylated by PRMT1.",Not_a_complex
26126536,s5,T7,T9,In vitro methylation assay showed that ,Smurf2,", not Smurf1, was methylated by ",PRMT1,.,Not_a_complex
26126536,s5,T8,T9,"In vitro methylation assay showed that Smurf2, not ",Smurf1,", was methylated by ",PRMT1,.,Not_a_complex
26126536,s6,T10,T11,"Among the type I PRMT family, only ",PRMT1, showed activity for ,Smurf2,.,Not_a_complex
26126536,s7,T12,T13,Transiently expressed ,Smurf2, was methylated by ,PRMT1,", indicating Smurf2 is a novel substrate of PRMT1.",Not_a_complex
26126536,s7,T12,T14,Transiently expressed ,Smurf2," was methylated by PRMT1, indicating ",Smurf2, is a novel substrate of PRMT1.,Not_a_complex
26126536,s7,T12,T15,Transiently expressed ,Smurf2," was methylated by PRMT1, indicating Smurf2 is a novel substrate of ",PRMT1,.,Not_a_complex
26126536,s7,T13,T14,Transiently expressed Smurf2 was methylated by ,PRMT1,", indicating ",Smurf2, is a novel substrate of PRMT1.,Not_a_complex
26126536,s7,T13,T15,Transiently expressed Smurf2 was methylated by ,PRMT1,", indicating Smurf2 is a novel substrate of ",PRMT1,.,Not_a_complex
26126536,s7,T14,T15,"Transiently expressed Smurf2 was methylated by PRMT1, indicating ",Smurf2, is a novel substrate of ,PRMT1,.,Not_a_complex
26126536,s10,T17,T18,Knockdown of ,PRMT1, resulted in increased ,Smurf2, expression as well as inhibition of TGF-beta-mediated reporter activity.,Not_a_complex
26126536,s10,T17,T27,Knockdown of ,PRMT1, resulted in increased Smurf2 expression as well as inhibition of ,TGF-beta,-mediated reporter activity.,Not_a_complex
26126536,s10,T18,T27,Knockdown of PRMT1 resulted in increased ,Smurf2, expression as well as inhibition of ,TGF-beta,-mediated reporter activity.,Not_a_complex
26126536,s11,T19,T20,Although it is unclear whether or not increased ,Smurf2," expression can be directly attributed to lack of methylation of arginine residues, our results suggest that methylation by ",PRMT1," may regulate Smurf2 stability and control TGF-beta signaling. 
",Not_a_complex
26126536,s11,T19,T21,Although it is unclear whether or not increased ,Smurf2," expression can be directly attributed to lack of methylation of arginine residues, our results suggest that methylation by PRMT1 may regulate ",Smurf2," stability and control TGF-beta signaling. 
",Not_a_complex
26126536,s11,T19,T24,Although it is unclear whether or not increased ,Smurf2," expression can be directly attributed to lack of methylation of arginine residues, our results suggest that methylation by PRMT1 may regulate Smurf2 stability and control ",TGF-beta," signaling. 
",Not_a_complex
26126536,s11,T20,T21,"Although it is unclear whether or not increased Smurf2 expression can be directly attributed to lack of methylation of arginine residues, our results suggest that methylation by ",PRMT1, may regulate ,Smurf2," stability and control TGF-beta signaling. 
",Not_a_complex
26126536,s11,T20,T24,"Although it is unclear whether or not increased Smurf2 expression can be directly attributed to lack of methylation of arginine residues, our results suggest that methylation by ",PRMT1, may regulate Smurf2 stability and control ,TGF-beta," signaling. 
",Not_a_complex
26126536,s11,T21,T24,"Although it is unclear whether or not increased Smurf2 expression can be directly attributed to lack of methylation of arginine residues, our results suggest that methylation by PRMT1 may regulate ",Smurf2, stability and control ,TGF-beta," signaling. 
",Not_a_complex
