26686640_10,s0,T1,T2,,Mcm10,", as the most enigmatic essential firing factor, has been proposed to participate in a novel step during CMG activation and origin unwinding through ",Mcm10, depletion in yeast and Xenopus.,Not_a_complex
26686640_10,s1,T3,T4,To directly address whether ,Mcm10," functions in MCM DH splitting prior to or during origin unwinding, we monitored the relative DH levels during S phase progression in a conditional ",Mcm10, depletion background.,Not_a_complex
26686640_10,s2,T17,T5,We combined both temperature induced (td) and ,auxin, induced (aid) degrons to deplete endogenous ,Mcm10, proteins.,Not_a_complex
26686640_10,s3,T18,T19,The td and aid degrons were turned on by switching to growth at 37degreesC and adding ,indole-3-acetic acid, (,IAA,"), respectively.",Not_a_complex
26686640_10,s4,T16,T11,The Ubr1 and ,Tir1, ,ubiquitin ligases, were induced by galactose.,Not_a_complex
26686640_10,s4,T6,T11,The ,Ubr1, and Tir1 ,ubiquitin ligases, were induced by galactose.,Not_a_complex
26686640_10,s4,T6,T16,The ,Ubr1, and ,Tir1, ubiquitin ligases were induced by galactose.,Not_a_complex
26686640_10,s5,T20,T21,The cellular Mcm10 protein was barely detectable after incubation in ,galactose, for 1h and shifting to 37degreesC in the presence of ,auxin," for another 2h (Figure 2C, lane 4), leading to cell death in the absence of WT Mcm10 (Figure S2B).",Not_a_complex
26686640_10,s5,T7,T20,The cellular ,Mcm10, protein was barely detectable after incubation in ,galactose," for 1h and shifting to 37degreesC in the presence of auxin for another 2h (Figure 2C, lane 4), leading to cell death in the absence of WT Mcm10 (Figure S2B).",Not_a_complex
26686640_10,s5,T7,T21,The cellular ,Mcm10, protein was barely detectable after incubation in galactose for 1h and shifting to 37degreesC in the presence of ,auxin," for another 2h (Figure 2C, lane 4), leading to cell death in the absence of WT Mcm10 (Figure S2B).",Not_a_complex
26686640_10,s5,T7,T8,The cellular ,Mcm10," protein was barely detectable after incubation in galactose for 1h and shifting to 37degreesC in the presence of auxin for another 2h (Figure 2C, lane 4), leading to cell death in the absence of WT ",Mcm10, (Figure S2B).,Not_a_complex
