28330605_15,s0,T6,T7,"As an integral subunit of the proteasome complex, ",Rpn1, associates with several neighboring subunits in the ,19S,.,Complex_formation
28330605_15,s0,T5,T6,As an integral subunit of the ,proteasome," complex, ",Rpn1, associates with several neighboring subunits in the 19S.,Not_a_complex
28330605_15,s0,T5,T7,As an integral subunit of the ,proteasome," complex, Rpn1 associates with several neighboring subunits in the ",19S,.,Not_a_complex
28330605_15,s1,T9,T8,Does this leave sufficient surface area exposed to bind its ligands such as ,UBLs, or ,polyUb,?,Not_a_complex
28330605_15,s2,T10,T1,From current cryoEM-derived ,proteasome," models (PDB 4cr2), Rpn1 is situated peripherally on the 19S RP touching two AAA ATPase subunits ",Rpt1, and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T11,T1,"From current cryoEM-derived proteasome models (PDB 4cr2), ",Rpn1, is situated peripherally on the 19S RP touching two AAA ATPase subunits ,Rpt1, and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T12,T1,From current cryoEM-derived proteasome models (PDB ,4cr2,"), Rpn1 is situated peripherally on the 19S RP touching two AAA ATPase subunits ",Rpt1, and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T13,T1,"From current cryoEM-derived proteasome models (PDB 4cr2), Rpn1 is situated peripherally on the ",19S, RP touching two AAA ATPase subunits ,Rpt1, and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T14,T1,"From current cryoEM-derived proteasome models (PDB 4cr2), Rpn1 is situated peripherally on the 19S RP touching two ",AAA ATPase, subunits ,Rpt1, and Rpt2 (Figure S3).,Not_a_complex
28330605_15,s2,T1,T2,"From current cryoEM-derived proteasome models (PDB 4cr2), Rpn1 is situated peripherally on the 19S RP touching two AAA ATPase subunits ",Rpt1, and ,Rpt2, (Figure S3).,Not_a_complex
28330605_15,s2,T10,T11,From current cryoEM-derived ,proteasome," models (PDB 4cr2), ",Rpn1, is situated peripherally on the 19S RP touching two AAA ATPase subunits Rpt1 and Rpt2 (Figure S3).,Not_a_complex
