28784611_2,s0,T6,T10,Many eukaryotic cells divide by assembling and constricting an ,actin,- and ,myosin,-based contractile ring (CR) that is physically linked to the plasma membrane (PM).,Not_a_complex
28784611_2,s1,T9,T1,"In this study, we report that <i>Schizosaccharomyces pombe</i> cells lacking <i>",efr3,"</i>, which encodes a conserved PM scaffold for the ",phosphatidylinositol-4 kinase Stt4,", build CRs that can slide away from the cell middle during anaphase in a myosin V-dependent manner.",Complex_formation
28784611_2,s2,T2,T3,The ,Efr3,-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the ,Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein, Cdc15 and paxillin Pxl1.,Not_a_complex
28784611_2,s2,T2,T4,The ,Efr3,-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein ,Cdc15, and paxillin Pxl1.,Not_a_complex
28784611_2,s2,T2,T7,The ,Efr3,-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein Cdc15 and ,paxillin, Pxl1.,Not_a_complex
28784611_2,s2,T2,T8,The ,Efr3,-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein Cdc15 and paxillin ,Pxl1,.,Not_a_complex
28784611_2,s2,T3,T4,The Efr3-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the ,Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein, ,Cdc15, and paxillin Pxl1.,Not_a_complex
28784611_2,s2,T3,T7,The Efr3-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the ,Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein, Cdc15 and ,paxillin, Pxl1.,Not_a_complex
28784611_2,s2,T3,T8,The Efr3-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the ,Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein, Cdc15 and paxillin ,Pxl1,.,Not_a_complex
28784611_2,s2,T4,T7,The Efr3-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein ,Cdc15, and ,paxillin, Pxl1.,Not_a_complex
28784611_2,s2,T4,T8,The Efr3-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein ,Cdc15, and paxillin ,Pxl1,.,Not_a_complex
28784611_2,s2,T7,T8,The Efr3-dependent CR-anchoring mechanism is distinct from previously reported pathways dependent on the Fes/CIP4 homology Bin-Amphiphysin-Rvs167 (F-BAR) protein Cdc15 and ,paxillin, ,Pxl1,.,Not_a_complex
